Date,Close/Last,Volume,Open,High,Low
06/29/2021,$112.3,5795062,$112.65,$112.75,$111.61
06/28/2021,$113,5141769,$113.26,$114.11,$112.84
06/25/2021,$112.98,11709350,$112.9,$113.59,$112.14
06/24/2021,$114.74,7712631,$114.42,$116.19,$114.26
06/23/2021,$114,3837260,$114.55,$115.025,$113.95
06/22/2021,$114.7,4360184,$114.49,$115.2837,$113.88
06/21/2021,$114.73,4666098,$113.69,$115.25,$112.77
06/18/2021,$113.12,7415414,$113.64,$114.2,$113.05
06/17/2021,$114.9,4172600,$114.98,$115.89,$114.03
06/16/2021,$115.53,6670187,$116.22,$116.525,$115.17
06/15/2021,$115.83,3590566,$115.36,$115.94,$114.52
06/14/2021,$115.4,4427568,$115.07,$115.48,$114.1853
06/11/2021,$115.42,4471372,$116.24,$116.36,$114.87
06/10/2021,$116.24,6263789,$114.36,$116.99,$114.15
06/09/2021,$114,4884039,$112.88,$114.42,$112.7384
06/08/2021,$112.34,4114199,$112.68,$113.09,$111.82
06/07/2021,$113.01,5570097,$112.71,$114.106,$112.33
06/04/2021,$112.36,4255407,$112.4,$113.11,$112.16
06/03/2021,$112.21,6286320,$111.12,$112.41,$110.65
06/02/2021,$111.4,8100988,$112.41,$112.66,$110.85
06/01/2021,$112.21,6846216,$113.7,$113.99,$112.04
05/28/2021,$113.2,7104319,$113.33,$114.48,$112.86
05/27/2021,$112.32,26406030,$115.12,$115.2,$112.02
05/26/2021,$114.7,5802748,$114.53,$114.74,$113.7624
05/25/2021,$114.56,6574215,$115.97,$116,$114.1922
05/24/2021,$115.91,4813816,$116.59,$116.81,$115.59
05/21/2021,$116.12,5577829,$117.52,$118.28,$116.06
05/20/2021,$117.11,5526137,$115.34,$117.34,$115.12
05/19/2021,$115.85,6433640,$116.46,$116.5,$114.38
05/18/2021,$117.21,8174939,$116.11,$117.9,$115.32
05/17/2021,$116.89,6182139,$116.77,$117.705,$116.56
05/14/2021,$116.43,6268522,$117.36,$117.59,$116.38
05/13/2021,$116.6,6558241,$115.55,$117.2,$115.01
05/12/2021,$114.96,6208253,$114.85,$116,$114.44
05/11/2021,$114.89,5784574,$115.48,$116.57,$114.38
05/10/2021,$116.22,7093305,$116.38,$117.2,$115.965
05/07/2021,$115.75,6808151,$116.38,$116.93,$114.9601
05/06/2021,$116.08,5803752,$115,$116.18,$114.16
05/05/2021,$115.78,5388097,$114.31,$116.2799,$113.95
05/04/2021,$113.9,8151372,$114.62,$115.94,$113.05
05/03/2021,$114.68,9138220,$112.4,$115.1,$111.59
04/30/2021,$111.5,10575430,$111.47,$112.31,$110.11
04/29/2021,$110.89,6766679,$112.38,$112.61,$110.33
04/28/2021,$111.93,5115980,$111.68,$112.57,$111.32
04/27/2021,$111.44,3522943,$111.25,$111.85,$110.58
04/26/2021,$111.39,5202284,$111.56,$112.04,$110.85
04/23/2021,$111.38,4611077,$109.71,$111.7699,$109.55
04/22/2021,$110.05,5045956,$110.65,$111.09,$109.61
04/21/2021,$110.8,6181058,$109.79,$111.44,$109.35
04/20/2021,$109.03,5411835,$108.12,$109.56,$108.05
04/19/2021,$108.61,4542929,$107.97,$108.73,$107.12
04/16/2021,$107.91,8207672,$107.49,$108.5499,$107.14
04/15/2021,$106.89,5730463,$105.99,$106.95,$105.62
04/14/2021,$105.9,7766721,$106.22,$106.67,$105.58
04/13/2021,$108.22,6165094,$108.03,$108.355,$107.03
04/12/2021,$108.25,5647491,$107.82,$108.57,$107.36
04/09/2021,$107.54,5977497,$106.39,$107.72,$106.05
04/08/2021,$106.1,5881841,$105.4,$106.92,$105.35
04/07/2021,$105.21,8037315,$105.53,$106.13,$104.17
04/06/2021,$105.38,8522498,$105.85,$106.28,$104.88
04/05/2021,$106.14,10584400,$109.08,$109.08,$105.4
04/01/2021,$108.52,5091745,$108.92,$108.9822,$107.32
03/31/2021,$108.22,9047971,$106.88,$109.18,$106.8
03/30/2021,$106.79,5354134,$106.86,$107.03,$105.8701
03/29/2021,$106.73,5472684,$105.76,$107,$105.49
03/26/2021,$105.98,6596922,$103.87,$106.12,$103.84
03/25/2021,$103.88,6281528,$102.9,$104.15,$102.05
03/24/2021,$103.06,9420087,$104.82,$105.33,$103.05
03/23/2021,$104.84,6111636,$105.37,$105.94,$104.51
03/22/2021,$105.9,7627195,$103.5,$106.4,$102.88
03/19/2021,$103.42,10899060,$103.93,$104.43,$102.92
03/18/2021,$103.77,8679096,$104,$104.99,$103.42
03/17/2021,$105.04,19445590,$103.76,$105.09,$102.8
03/16/2021,$110.84,5570225,$109.95,$111.08,$109.9
03/15/2021,$110.26,6644483,$108.67,$110.36,$108.36
03/12/2021,$108.22,5341219,$107.8,$108.58,$107.3717
03/11/2021,$107.87,4671403,$108.13,$108.63,$107.34
03/10/2021,$108,5762619,$107.39,$108.36,$107.05
03/09/2021,$106.79,6857541,$106.48,$108.69,$106.44
03/08/2021,$106.11,6049384,$106.85,$108.155,$105.804
03/05/2021,$106.7,7277808,$106.01,$106.99,$104.07
03/04/2021,$105.65,7503733,$106.5,$107.75,$104.95
03/03/2021,$106.71,7218708,$106.86,$107.14,$105.46
03/02/2021,$107.85,5487024,$108.85,$109.38,$107.81
03/01/2021,$108.41,4710324,$108.53,$109.21,$108.0738
02/26/2021,$107.74,9249970,$107.68,$108.58,$105.36
02/25/2021,$107.33,6237641,$108.48,$109.3,$107.0658
02/24/2021,$108.69,7626186,$106,$109.44,$105.6016
02/23/2021,$106.27,7058613,$106.97,$107.6,$105.96
02/22/2021,$107.06,10272480,$104.66,$107.68,$104.23
02/19/2021,$105.01,6702445,$106.23,$106.7,$104.91
02/18/2021,$106.06,5386643,$105.32,$106.61,$105.21
02/17/2021,$106.29,6940412,$104.7,$106.75,$104.15
02/16/2021,$104.2,5637257,$105.33,$106.19,$104.02
02/12/2021,$104.44,3738364,$103.76,$104.57,$103.15
02/11/2021,$103.75,5090055,$104.57,$104.68,$103.32
02/10/2021,$104.05,7446005,$105.98,$106.13,$103.72
02/09/2021,$105.4,5506938,$106,$106.5,$105.11
02/08/2021,$106.84,9201107,$108.885,$108.98,$105.81
02/05/2021,$108.73,7250979,$109.63,$110.27,$108.44
02/04/2021,$108.53,9077784,$106.87,$108.875,$105.25
02/03/2021,$106.95,12101870,$106.2,$107.57,$104.01
02/02/2021,$103.47,10481300,$102.88,$104.31,$102.5
02/01/2021,$102.3,7518153,$103,$103.8927,$101.86
01/29/2021,$102.48,9380386,$104,$104.49,$101.8117
01/28/2021,$104.21,8534301,$104,$105.1381,$103.11
01/27/2021,$102.79,11887850,$106.28,$106.7,$102.59
01/26/2021,$108.8,5554641,$111.3,$111.3,$108.56
01/25/2021,$110.5,6928189,$109.73,$111.23,$109.21
01/22/2021,$110.86,5185463,$110.65,$111.6,$109.48
01/21/2021,$111.26,5416967,$112.63,$112.75,$110.76
01/20/2021,$112.62,6554574,$112.91,$113.1,$111.47
01/19/2021,$112.18,7723822,$111.25,$112.31,$110.26
01/15/2021,$110.52,9196450,$111.2,$111.56,$109.48
01/14/2021,$111.63,8268761,$110.7,$112.69,$109.5
01/13/2021,$112.45,9821321,$109.8,$113.41,$109.7
01/12/2021,$109.78,6114537,$109.22,$110.78,$109.12
01/11/2021,$109.02,6334195,$107.065,$109.56,$107.065
01/08/2021,$107.27,5345883,$106.84,$107.53,$105.762
01/07/2021,$106.71,8196046,$106.11,$107.0642,$105.5663
01/06/2021,$105.58,11017470,$104.75,$107.19,$104.18
01/05/2021,$106.5,6823826,$105.41,$107.02,$104.63
01/04/2021,$105.41,9523377,$107.18,$107.35,$103.86
12/31/2020,$107.15,6148110,$105.26,$107.28,$104.85
12/30/2020,$105.27,5328415,$105.11,$106.227,$105.1
12/29/2020,$104.7,5096383,$103.95,$105.37,$103.95
12/28/2020,$103.45,3948909,$103.65,$103.875,$102.72
12/24/2020,$103.26,1378649,$103.11,$103.39,$102.6
12/23/2020,$103.28,3659423,$103.06,$103.925,$102.91
12/22/2020,$102.8,4003900,$103.41,$103.5,$102.01
12/21/2020,$103.71,6664598,$102.76,$103.92,$101.5478
12/18/2020,$104.45,13906760,$105.03,$105.06,$103.1999
12/17/2020,$104.89,6360647,$104.86,$105.5,$104.11
12/16/2020,$104.64,9182062,$102.5,$105.41,$101.9034
12/15/2020,$102.82,12101020,$105.44,$105.45,$102.32
12/14/2020,$104.2,8272746,$107.43,$108.07,$104.09
12/11/2020,$106.34,5205199,$107.01,$107.415,$105.58
12/10/2020,$107.49,6285704,$109.06,$109.07,$106.67
12/09/2020,$108.67,7350722,$107.9,$109.15,$107.63
12/08/2020,$107.69,6688195,$105.7,$108.35,$105.6
12/07/2020,$105.84,6532493,$107.04,$107.21,$104.96
12/04/2020,$107.28,7235820,$105.02,$107.31,$105.02
12/03/2020,$104.74,4693555,$105,$105.7,$104.3
12/02/2020,$104.99,5492166,$104,$105.38,$103.32
12/01/2020,$104.04,7625102,$105.05,$106.38,$104.04
11/30/2020,$104.58,20726460,$105.12,$105.415,$103.6484
11/27/2020,$104.89,4418751,$104.98,$105.8,$104.3
11/25/2020,$104.2,6368079,$103.82,$104.46,$103.39
11/24/2020,$103.96,9325898,$102.88,$104.82,$102.58
11/23/2020,$102.18,7546710,$101.94,$102.76,$101.065
11/20/2020,$100.84,9684787,$99.95,$101.83,$98.62
11/19/2020,$99.67,7550296,$98.76,$100.15,$98.59
11/18/2020,$98.72,8880632,$100,$100.29,$98.68
11/17/2020,$99.21,11593470,$99.37,$100.26,$98.74
11/16/2020,$98.36,8611255,$99.96,$100.54,$98.33
11/13/2020,$99.04,6890643,$97.41,$99.55,$97.4
11/12/2020,$97.6,7649145,$97.5,$97.745,$96.28
11/11/2020,$98.15,9476508,$99.15,$99.87,$97.765
11/10/2020,$98.87,12267220,$96.01,$99.13,$95.625
11/09/2020,$95.12,11028940,$95.74,$96.95,$94.67
11/06/2020,$92.85,7006928,$92.975,$93.65,$91.7101
11/05/2020,$93.69,8012967,$95.36,$95.52,$93
11/04/2020,$94.5,25848970,$93.135,$97.49,$92.6703
11/03/2020,$87.96,8518756,$89.14,$89.385,$87.43
11/02/2020,$88.25,10781360,$86.03,$88.5401,$86
10/30/2020,$85.1,18095150,$83.195,$86.14,$83
10/29/2020,$80.67,8876696,$80.5,$81.3697,$79.1101
10/28/2020,$80.49,11480180,$81.35,$82.21,$80.235
10/27/2020,$82.71,6705599,$84,$84.26,$82.68
10/26/2020,$83.92,7986251,$84.09,$84.32,$82.81
10/23/2020,$84.34,4238703,$84.64,$85.15,$83.94
10/22/2020,$84.31,8081607,$83.02,$84.89,$82.92
10/21/2020,$82.89,9776877,$83.58,$84.14,$82.56
10/20/2020,$84.25,6933177,$84.19,$84.83,$83.42
10/19/2020,$84.31,10287990,$86.59,$86.79,$84.13
10/16/2020,$86.27,5362675,$85.89,$87.15,$85.757
10/15/2020,$85.23,6193769,$85.41,$85.74,$84.96
10/14/2020,$86.07,5864506,$86.83,$87.1122,$85.9
10/13/2020,$87.83,7851718,$88.01,$88.8,$87.47
10/12/2020,$88.32,7314932,$88.17,$88.6,$87.32
10/09/2020,$87.7,6005779,$87.41,$88.7,$87.35
10/08/2020,$87.34,5535131,$87.27,$88.58,$86.92
10/07/2020,$87.07,5899660,$86.16,$87.2977,$86.03
10/06/2020,$85.89,8743761,$87.97,$88.06,$85.71
10/05/2020,$87.93,5984220,$86.49,$88.18,$86.21
10/02/2020,$86.12,5554326,$86.5,$87.35,$86.05
10/01/2020,$87.14,8777328,$88.17,$88.17,$86.73
09/30/2020,$87.59,8209345,$87,$88.44,$86.81
09/29/2020,$86.89,5510185,$87.11,$87.28,$86.31
