Date,Close/Last,Volume,Open,High,Low
06/29/2021,$164.25,2785869,$165.57,$166.32,$163.23
06/28/2021,$164.78,3433417,$168.62,$168.845,$163.2
06/25/2021,$169.45,9185989,$168.45,$170.41,$168.45
06/24/2021,$168.21,2417124,$167.055,$168.58,$166.41
06/23/2021,$166.02,2327649,$165.03,$166.86,$164.79
06/22/2021,$164.5,2697851,$163.42,$165.24,$162.46
06/21/2021,$164.9,3681406,$160.08,$165.21,$159.13
06/18/2021,$158.17,6900458,$158.7,$159.67,$157.25
06/17/2021,$162.13,4194569,$165.97,$165.9971,$160.53
06/16/2021,$164.68,3281606,$165.78,$166.65,$164.27
06/15/2021,$166.27,3726439,$163.93,$166.9,$163.8
06/14/2021,$163.81,2125719,$164.3,$164.88,$163.11
06/11/2021,$164.51,1630124,$163,$164.54,$162.51
06/10/2021,$162.23,3024778,$165.18,$165.21,$162.12
06/09/2021,$164.09,2700099,$165.27,$166.14,$163.8
06/08/2021,$166.51,2486506,$164.86,$167.14,$163.63
06/07/2021,$165.92,2516443,$165.63,$166.65,$165.37
06/04/2021,$165,3239263,$165,$165.73,$163.32
06/03/2021,$164.52,2454835,$163.68,$165.42,$162.82
06/02/2021,$164.12,3384656,$164.61,$165.69,$163.32
06/01/2021,$163.76,3827978,$162.51,$164.11,$161.55
05/28/2021,$160.13,2437025,$160.26,$160.635,$158.86
05/27/2021,$159.74,2828368,$159.98,$160.29,$158.85
05/26/2021,$158.58,3731658,$158.16,$159.38,$157.37
05/25/2021,$158.01,2484248,$159.07,$160.08,$157.74
05/24/2021,$158.64,1956937,$157.7,$158.905,$156.95
05/21/2021,$156.87,3424122,$156.7,$158.81,$156.3459
05/20/2021,$155.53,3031135,$155.47,$156.251,$153.93
05/19/2021,$154.73,3527061,$152.07,$154.775,$151.72
05/18/2021,$154.99,2417796,$157.36,$158.3,$154.86
05/17/2021,$156.86,1541383,$157.05,$157.3751,$155.88
05/14/2021,$157.15,1892786,$155.39,$157.935,$154.53
05/13/2021,$154.08,2269772,$152.41,$154.81,$151.81
05/12/2021,$152.3,3487353,$154.72,$155.9,$152.07
05/11/2021,$154.43,3900087,$156.46,$157.79,$153.65
05/10/2021,$158.68,2987640,$159.75,$160.69,$158.5
05/07/2021,$158.98,2617982,$155.61,$159.26,$155.34
05/06/2021,$156.88,2798825,$156.86,$157.505,$154.02
05/05/2021,$156.39,2194909,$154.87,$156.73,$154.32
05/04/2021,$154.53,3025258,$154.48,$155.74,$152.8401
05/03/2021,$154.8,2726404,$154.59,$156.05,$154.01
04/30/2021,$153.35,2712846,$153.6,$154.04,$152.48
04/29/2021,$154.63,2636183,$153.85,$155.08,$152.09
04/28/2021,$152.54,2584455,$150.68,$153.455,$149.44
04/27/2021,$150.36,2692069,$150.7,$150.88,$148.85
04/26/2021,$150.34,4821052,$146.8,$151.12,$145.56
