Date,Close/Last,Volume,Open,High,Low
06/29/2021,$81.86,1740610,$81.59,$82.04,$81.29
06/28/2021,$81.65,2290310,$82.43,$82.43,$81.225
06/25/2021,$82.19,6398287,$81.6,$82.53,$81.57
06/24/2021,$81.4,1972668,$81.24,$81.78,$80.98
06/23/2021,$80.93,3107230,$81.29,$81.63,$80.91
06/22/2021,$81.33,1937332,$81.52,$81.68,$81.14
06/21/2021,$81.51,2042330,$81.14,$81.72,$80.41
06/18/2021,$80.82,4311338,$80.61,$81.45,$80.28
06/17/2021,$81.15,2668295,$81.5,$81.955,$80.77
06/16/2021,$81.77,1911197,$82.07,$82.48,$81.56
06/15/2021,$81.95,2286273,$82.77,$82.9,$81.55
06/14/2021,$82.77,2994508,$82.3,$82.82,$81.62
06/11/2021,$82.24,6107155,$84.25,$84.5,$82.115
06/10/2021,$84.09,3455650,$82.34,$84.1708,$82.29
06/09/2021,$82.35,1707238,$81.37,$82.38,$81.17
06/08/2021,$81.09,2489505,$81.62,$81.69,$80.255
06/07/2021,$81.26,2752969,$82.31,$82.41,$81.15
06/04/2021,$82.25,1938274,$82.13,$82.44,$81.93
06/03/2021,$81.69,2397170,$81.13,$81.87,$80.66
06/02/2021,$81.6,2461078,$82.29,$82.43,$81.3
06/01/2021,$82.14,3355568,$82.46,$82.78,$82.015
05/28/2021,$82.12,3617313,$82.29,$82.64,$81.88
05/27/2021,$81.81,5048553,$82.52,$82.53,$81.19
05/26/2021,$82.42,2994817,$81.73,$82.72,$81.48
05/25/2021,$82.35,2330549,$82.55,$82.85,$82.24
05/24/2021,$82.77,1676442,$83.23,$83.53,$82.74
05/21/2021,$83.06,1596172,$83.07,$83.885,$83.04
05/20/2021,$82.96,1950293,$82.51,$83.42,$82.44
05/19/2021,$82.48,1765564,$82.7,$82.88,$82.03
05/18/2021,$82.93,2110785,$82.51,$83.4,$82.08
05/17/2021,$82.85,2372666,$83.85,$84.18,$82.78
05/14/2021,$83.86,2193458,$83.72,$84.38,$83.505
05/13/2021,$83.4,2956411,$83.05,$83.83,$82.85
05/12/2021,$83.1,2426125,$83.45,$83.92,$83.025
05/11/2021,$83.58,4241243,$86.46,$86.7573,$83.54
05/10/2021,$86.49,3584434,$87.18,$87.57,$86.46
05/07/2021,$86.62,2486524,$87.47,$87.92,$86.4
05/06/2021,$87.53,1989136,$86.54,$87.58,$86.35
05/05/2021,$86.7,1958749,$87.38,$87.38,$86.14
05/04/2021,$87.44,2732711,$86.93,$87.66,$86.27
05/03/2021,$86.54,2005039,$86.02,$86.855,$85.7
04/30/2021,$85.69,2805517,$85.6,$85.96,$84.91
04/29/2021,$85.35,2486885,$87.56,$87.56,$83.83
04/28/2021,$86.99,1999588,$86.89,$87.23,$86.44
04/27/2021,$86.76,1657255,$86.97,$87.21,$86.17
04/26/2021,$87.36,1644260,$88,$88,$87.01
04/23/2021,$87.87,2377322,$87.86,$88.32,$87.48
04/22/2021,$88.01,2423033,$87.89,$88.3,$87.29
04/21/2021,$87.9,1839825,$87.74,$88.1133,$87.37
04/20/2021,$87.07,2041414,$86.66,$87.96,$86.57
04/19/2021,$86.52,2706586,$86.43,$86.72,$85.742
04/16/2021,$86.56,2884613,$86.26,$86.85,$85.901
04/15/2021,$85.8,2879702,$84.7,$86.415,$84.65
04/14/2021,$84.64,1576522,$84.8,$84.94,$84.17
04/13/2021,$84.79,1504745,$83.78,$85.25,$83.73
04/12/2021,$84.54,1726383,$85,$85.4899,$84.384
04/09/2021,$84.92,2781339,$84.31,$84.925,$83.8
04/08/2021,$84,2174715,$84.84,$85.29,$83.95
04/07/2021,$84.69,1017244,$85.04,$85.23,$84.3047
04/06/2021,$84.92,1885859,$84.66,$85.26,$84.43
04/05/2021,$85.28,1893895,$84.75,$85.695,$84.34
04/01/2021,$84.32,2298628,$84.13,$84.54,$83.38
03/31/2021,$84.34,3100150,$85.65,$85.86,$84.29
03/30/2021,$85.58,3778850,$85.77,$86.38,$85.115
03/29/2021,$86.03,3124074,$85.48,$86.555,$84.72
03/26/2021,$85.95,4634117,$83.41,$86.09,$83.17
03/25/2021,$83.41,3635129,$82.53,$83.62,$82.125
03/24/2021,$82.08,2282944,$81.19,$82.45,$81.03
03/23/2021,$81.6,2732455,$81.4,$82.576,$81.25
03/22/2021,$81.24,3121410,$79.8,$81.54,$79.51
03/19/2021,$80.3,3976479,$79.79,$80.83,$79.47
03/18/2021,$79.86,2060073,$79.59,$80.52,$79.51
03/17/2021,$79.69,3792688,$79.13,$80.21,$78.68
03/16/2021,$78.93,1919799,$78.68,$78.96,$78.025
03/15/2021,$78.67,1482734,$78.01,$78.69,$77.56
03/12/2021,$77.96,1462524,$78,$78.38,$77.55
03/11/2021,$77.74,1637565,$77.64,$78.04,$77.105
03/10/2021,$77.72,2089402,$77.35,$77.87,$76.96
03/09/2021,$77.27,1976580,$78.55,$79.16,$77.24
03/08/2021,$78.28,1553543,$78.21,$79.3,$77.65
03/05/2021,$78.06,2456370,$76.91,$78.3,$76.83
03/04/2021,$76.42,3920393,$77.17,$77.278,$75.9
03/03/2021,$77.15,2469758,$77.26,$77.58,$76.51
03/02/2021,$77.68,3433439,$78.42,$78.99,$77.63
03/01/2021,$77.94,3914140,$78.07,$78.39,$77.6
02/26/2021,$77.69,4875383,$78.81,$78.94,$76.8
02/25/2021,$78.65,2613109,$78.22,$78.9,$77.98
02/24/2021,$78.51,2503715,$78.25,$78.67,$77.48
02/23/2021,$78.14,3434420,$79.45,$80.39,$77.95
02/22/2021,$78.87,2653457,$77.95,$79.1,$77.68
02/19/2021,$78.44,2926452,$78.83,$79.14,$77.85
02/18/2021,$78.83,2185373,$77.8,$79.33,$77.53
02/17/2021,$77.68,3570486,$77.34,$77.87,$76.85
02/16/2021,$77.8,2665795,$78.68,$79.09,$77.26
02/12/2021,$78.73,3542798,$78,$78.98,$77.76
02/11/2021,$77.86,1798892,$78.13,$78.17,$77.62
02/10/2021,$77.61,5499655,$77.53,$78.06,$77.03
02/09/2021,$76.99,1804150,$77.65,$77.715,$76.755
02/08/2021,$77.6,2204574,$77.54,$78.165,$77.01
02/05/2021,$77.3,1824508,$77.48,$78.06,$77.14
02/04/2021,$77.18,3495813,$76.68,$80.49,$76.56
02/03/2021,$77.29,2488897,$76.33,$77.87,$75.8425
02/02/2021,$76.52,4132569,$77.01,$77.8,$76.46
02/01/2021,$76.38,3291692,$77.47,$77.91,$76.18
01/29/2021,$76.83,4084203,$75.2,$77.78,$74.9908
01/28/2021,$77.15,4950534,$78.22,$79.22,$77.12
01/27/2021,$78.02,2822080,$80.11,$80.44,$77.76
01/26/2021,$80.81,1606379,$80.09,$81.05,$79.13
01/25/2021,$80.1,1683555,$79.48,$80.72,$79.14
01/22/2021,$79.51,1294609,$80.03,$80.14,$79.51
01/21/2021,$80.01,2278550,$79.17,$80.34,$78.85
01/20/2021,$79.52,2903733,$78.66,$79.75,$78.52
01/19/2021,$78.83,3018144,$80.56,$80.65,$78.555
01/15/2021,$80.04,1646226,$80.05,$80.27,$79.22
01/14/2021,$80.05,3308813,$81.97,$82.38,$79.84
01/13/2021,$82.4,4140054,$80.42,$82.8494,$80.235
01/12/2021,$80.56,2897679,$82.04,$82.36,$79.89
01/11/2021,$82.47,2285452,$82.2,$82.89,$81.32
01/08/2021,$81.7,1728324,$81.53,$82.14,$81.04
01/07/2021,$81.49,1688363,$80.96,$81.72,$80.37
01/06/2021,$80.94,3062184,$79.6,$81.4301,$79.6
01/05/2021,$81.22,2714100,$80.13,$81.73,$79.49
01/04/2021,$80.12,3467149,$80.49,$80.99,$79.31
12/31/2020,$80.24,1770195,$79.2,$80.29,$78.72
12/30/2020,$79.2,1344745,$80.17,$80.35,$79.1
12/29/2020,$80,1366134,$79.86,$80.45,$79.7
12/28/2020,$79.26,1254557,$79.88,$80.16,$78.8391
12/24/2020,$79.59,743239,$78.81,$79.61,$78.645
12/23/2020,$78.75,1979204,$79,$79.39,$78.44
12/22/2020,$78.66,2372267,$78.27,$79.48,$78.08
12/21/2020,$79.05,2472305,$80.04,$80.12,$78.03
12/18/2020,$80.86,4513780,$80.98,$81.26,$80.33
12/17/2020,$81.04,2471386,$80.26,$81.63,$80.01
12/16/2020,$80,2331421,$79.64,$80.905,$79.38
12/15/2020,$79.62,2975803,$78.3,$79.95,$78.175
12/14/2020,$78.83,3686835,$79.81,$80.5983,$78.82
12/11/2020,$79.34,3881490,$78.72,$79.51,$77.73
12/10/2020,$79.16,2793789,$79.58,$80.07,$79.12
12/09/2020,$79.3,5307935,$77.96,$80.6,$77.92
12/08/2020,$77.93,3628586,$77.54,$78.255,$76.785
12/07/2020,$77.77,3816366,$77.79,$78.635,$77.5
12/04/2020,$78,3223461,$76.2,$78.275,$76.1
12/03/2020,$76.32,5419723,$75.53,$76.515,$75.38
12/02/2020,$76.35,4113046,$75.81,$76.36,$74.79
12/01/2020,$75.51,3038306,$76.61,$77.09,$75.4
11/30/2020,$76.07,5824551,$76.12,$76.885,$75.61
11/27/2020,$75.97,811847,$75.76,$76.235,$75.36
11/25/2020,$75.39,1910786,$76.15,$76.16,$75.2
