Date,Close/Last,Volume,Open,High,Low
06/29/2021,$66.27,5328301,$66.4,$66.61,$66.09
06/28/2021,$66.4,8769894,$66.72,$66.99,$66.12
06/25/2021,$66.74,22602670,$65.93,$67.09,$65.71
06/24/2021,$65.85,6742227,$65.46,$66.21,$65.41
06/23/2021,$65.26,7473095,$66.15,$66.22,$65.24
06/22/2021,$65.94,9458979,$66.75,$66.79,$65.71
06/21/2021,$66.83,10195530,$66.61,$67.16,$66.48
06/18/2021,$66.47,15038500,$66.4,$66.73,$65.78
06/17/2021,$66.77,8841491,$67.03,$67.17,$66.23
06/16/2021,$66.92,10795510,$67.42,$67.86,$66.8379
06/15/2021,$67.42,6247883,$67.5,$67.5699,$66.916
06/14/2021,$67.29,5426846,$67.32,$67.45,$66.65
06/11/2021,$67.34,9541745,$67.89,$67.94,$66.78
06/10/2021,$67.39,15019350,$65.55,$67.7,$65.42
06/09/2021,$65.4,13693770,$64.02,$65.55,$63.92
06/08/2021,$63.7,14421170,$64.81,$64.89,$63.22
06/07/2021,$64.77,7974104,$65.03,$65.41,$64.73
06/04/2021,$64.94,8046020,$64.98,$65.23,$64.86
06/03/2021,$64.8,7819427,$64.47,$65.085,$64.285
06/02/2021,$64.69,7517295,$65.24,$65.42,$64.535
06/01/2021,$65.1,8796596,$66.4,$66.4,$65.03
05/28/2021,$65.72,6356983,$65.66,$66.21,$65.6
05/27/2021,$65.71,12255360,$66.3,$66.65,$65.58
05/26/2021,$66.13,8504119,$66.72,$66.8,$65.99
05/25/2021,$66.76,9349798,$67.34,$67.56,$66.67
05/24/2021,$67.29,8441759,$67.27,$67.96,$67.21
05/21/2021,$67.05,9442092,$67.24,$67.92,$66.975
05/20/2021,$67,13165040,$65.32,$67.23,$65.26
05/19/2021,$65.55,7622984,$65.32,$65.58,$64.59
05/18/2021,$65.6,6668342,$65.42,$65.8,$65.13
05/17/2021,$65.46,9172891,$64.84,$65.84,$64.84
05/14/2021,$64.88,7555502,$65.2,$65.29,$64.615
05/13/2021,$65.04,8611631,$64.44,$65.34,$64.44
05/12/2021,$64.53,10640890,$64.43,$65.23,$64.25
05/11/2021,$64.26,9508829,$64.43,$64.9,$64.05
05/10/2021,$64.7,10312260,$64.64,$65.29,$64.59
05/07/2021,$64.44,7847026,$64.7,$65.39,$64.19
05/06/2021,$64.46,11097810,$64.6,$64.72,$64.05
05/05/2021,$64.68,10111350,$63.9,$64.85,$63.86
05/04/2021,$63.95,10563200,$63.38,$64.21,$63.34
05/03/2021,$63.48,10740370,$62.7,$63.585,$62.6501
04/30/2021,$62.42,17026150,$62,$62.765,$61.51
04/29/2021,$62.89,21473280,$65,$65.26,$62.405
04/28/2021,$66.03,7645614,$66.1,$66.385,$65.7501
04/27/2021,$65.96,7472353,$66,$66.28,$65.6
04/26/2021,$65.89,11768760,$65.96,$66,$65.08
04/23/2021,$66.01,14716280,$66.3,$66.93,$65.86
04/22/2021,$66.32,12914500,$66.15,$66.56,$65.82
04/21/2021,$66.32,9532118,$66.52,$66.89,$66.08
04/20/2021,$66.08,9685442,$65.45,$66.53,$65.42
04/19/2021,$65.6,11851070,$65.42,$65.925,$65.21
04/16/2021,$65.46,14589460,$64.93,$65.6389,$64.7387
04/15/2021,$64.44,9833960,$64,$64.73,$63.92
04/14/2021,$63.81,7639852,$63.75,$63.96,$63.58
04/13/2021,$63.58,9451107,$62.91,$63.74,$62.75
04/12/2021,$62.69,11162960,$62.53,$62.7766,$62.27
04/09/2021,$62.61,7867969,$61.8,$62.64,$61.68
04/08/2021,$61.91,7846938,$62.2,$62.42,$61.76
04/07/2021,$62.06,11799690,$62.01,$62.54,$61.93
04/06/2021,$61.98,14002250,$63.21,$63.3,$61.89
04/05/2021,$63.16,8868054,$62.9,$63.6,$62.88
04/01/2021,$62.93,9725919,$63.18,$63.34,$62.54
03/31/2021,$63.13,12678980,$62.9,$63.77,$62.78
03/30/2021,$63.31,12232670,$64,$64.08,$63.17
03/29/2021,$64.07,9703165,$63.86,$64.415,$63.655
03/26/2021,$63.94,12538050,$62.95,$63.98,$62.83
03/25/2021,$62.79,11157340,$63,$63,$61.98
03/24/2021,$62.3,9626293,$62.46,$62.89,$62.27
03/23/2021,$62.62,11014520,$63.38,$63.53,$62.59
03/22/2021,$63.38,16103360,$62.2,$63.52,$62.11
03/19/2021,$62.7,32082150,$62.07,$62.75,$61.365
03/18/2021,$62.33,12145590,$61.98,$63.235,$61.86
03/17/2021,$62.18,9548122,$62.09,$62.54,$61.45
03/16/2021,$61.9,10163000,$61.34,$62.1401,$61.34
03/15/2021,$61.39,10950520,$60.66,$61.44,$60.29
03/12/2021,$60.64,8029976,$60.43,$60.94,$60.2
03/11/2021,$60.35,10099540,$61,$61.19,$60.35
03/10/2021,$60.93,10240150,$61.14,$61.2801,$60.46
03/09/2021,$60.57,12662470,$60.79,$61.86,$60.56
