Date,Close/Last,Volume,Open,High,Low
06/29/2021,$477.15,1418430,$472.37,$477.31,$470.74
06/28/2021,$472.8,1398674,$466,$476.29,$465.51
06/25/2021,$462.2,1909957,$471.35,$472.45,$460
06/24/2021,$470.06,1250272,$469.89,$473.65,$468.6
06/23/2021,$466.66,1767412,$463.86,$467.875,$463.035
06/22/2021,$464.45,1372197,$466.58,$468.58,$461.32
06/21/2021,$464.61,1859179,$461.17,$465.38,$458.44
06/18/2021,$463.5,2853689,$467.27,$469.755,$460.505
06/17/2021,$471.17,2088079,$464.88,$475.24,$463.94
06/16/2021,$465.75,2043803,$470.27,$471.12,$461.48
06/15/2021,$470.74,1113122,$476.56,$476.57,$468.55
06/14/2021,$475.83,1467617,$470.49,$475.9,$466.06
06/11/2021,$470.7,1450840,$468.44,$472.13,$467.145
06/10/2021,$468.67,1541504,$465.5,$469.54,$460.21
06/09/2021,$463.93,1212781,$467.19,$467.19,$461.715
06/08/2021,$463.53,1661565,$468.05,$472.39,$463.51
06/07/2021,$463.78,2414160,$473,$474.48,$462.47
06/04/2021,$475,2386716,$470.5,$478.4,$469.52
06/03/2021,$464.8,2038896,$468.8,$469.76,$463.26
06/02/2021,$473.73,1328640,$471.83,$477.7,$469.47
06/01/2021,$468.31,1627735,$475.44,$477.9999,$467.2
