Date,Close/Last,Volume,Open,High,Low
06/29/2021,$53.86,12300920,$54.13,$54.34,$53.72
06/28/2021,$54.26,10556910,$54.25,$54.37,$54
06/25/2021,$54.32,18880340,$54.24,$54.47,$54.01
06/24/2021,$54.39,11488440,$54.26,$54.415,$54
06/23/2021,$54.12,12339160,$54.56,$54.6,$54.11
06/22/2021,$54.56,13072840,$54.34,$54.85,$54.255
06/21/2021,$54.36,14404310,$54.22,$54.43,$54
06/18/2021,$53.77,31445560,$54.51,$54.62,$53.72
06/17/2021,$54.95,10658390,$54.67,$55.15,$54.645
06/16/2021,$54.67,15211720,$55.44,$55.46,$54.64
06/15/2021,$55.41,11154220,$55.78,$55.79,$55.19
06/14/2021,$55.55,9710829,$55.69,$55.71,$55.2
06/11/2021,$56.16,11825800,$55.99,$56.21,$55.655
06/10/2021,$55.91,12444370,$55.91,$56.12,$55.76
06/09/2021,$55.48,9838835,$55.75,$55.92,$55.48
06/08/2021,$55.65,10968280,$56.25,$56.25,$55.545
06/07/2021,$56.04,14011110,$56.31,$56.34,$55.81
06/04/2021,$56.24,18935060,$55.9,$56.48,$55.78
06/03/2021,$55.64,17364320,$55.18,$55.74,$55.1
06/02/2021,$55.5,11328700,$55.5,$55.56,$55.26
06/01/2021,$55.28,13304330,$55.34,$55.65,$55.095
05/28/2021,$55.29,17011950,$55.35,$55.71,$55.2
05/27/2021,$55.49,59109570,$55.21,$55.57,$54.775
05/26/2021,$55.03,16064280,$54.98,$55.05,$54.59
05/25/2021,$54.79,11916450,$54.82,$54.82,$54.345
05/24/2021,$54.8,10326140,$54.63,$54.93,$54.49
05/21/2021,$54.62,16033220,$54.8,$55.115,$54.22
05/20/2021,$54.65,10948430,$54.12,$54.8,$54.12
05/19/2021,$54.17,15126120,$54.12,$54.18,$53.61
05/18/2021,$54.34,13232500,$54.39,$54.5599,$54.1
05/17/2021,$54.64,12115470,$54.84,$55.02,$54.5
05/14/2021,$54.73,11725560,$54.9,$55.1,$54.69
05/13/2021,$54.51,15476900,$53.97,$54.775,$53.83
05/12/2021,$54.04,15836460,$54.36,$54.555,$53.875
05/11/2021,$54.32,12986730,$55.03,$55.14,$54.045
05/10/2021,$54.91,15545820,$54.88,$55.495,$54.831
05/07/2021,$54.51,10637480,$54.44,$54.77,$54.16
05/06/2021,$54.54,11572700,$54.12,$54.605,$54.05
05/05/2021,$54,6505842,$54.14,$54.24,$53.745
05/04/2021,$54.14,14151240,$54.57,$54.62,$53.94
05/03/2021,$54.48,10417920,$54.27,$54.795,$54.16
04/30/2021,$53.98,14912570,$54.25,$54.27,$53.69
04/29/2021,$54.26,15390990,$53.54,$54.36,$53.43
04/28/2021,$53.59,10868140,$53.98,$54.047,$53.435
04/27/2021,$53.58,9852430,$53.56,$53.7,$53.32
04/26/2021,$53.66,11684630,$54.47,$54.51,$53.58
04/23/2021,$54.47,9023480,$54.4,$54.59,$54.17
04/22/2021,$54.44,12558860,$54.47,$54.865,$54.315
04/21/2021,$54.61,13866500,$54.24,$54.74,$54.24
04/20/2021,$54.17,14419250,$53.84,$54.59,$53.81
04/19/2021,$54,19352940,$54,$54.3582,$53.3
04/16/2021,$53.68,17974110,$53.74,$53.8,$53.375
04/15/2021,$53.33,13078100,$53.13,$53.66,$53.12
04/14/2021,$53.08,9787597,$52.98,$53.19,$52.645
04/13/2021,$53.09,11071690,$53.04,$53.285,$52.81
04/12/2021,$53.35,8565279,$53.33,$53.55,$53.095
04/09/2021,$53.18,10828170,$53.17,$53.28,$52.81
04/08/2021,$53.12,9695561,$53.17,$53.38,$52.97
04/07/2021,$53.28,10062690,$53.28,$53.5,$53.12
04/06/2021,$53.19,15614270,$53.04,$53.65,$52.9
04/05/2021,$52.81,16368720,$52.35,$53.215,$52.29
04/01/2021,$52.51,15834730,$52.96,$53.15,$52.455
03/31/2021,$52.71,15826470,$53.03,$53.17,$52.5
03/30/2021,$53.15,14871750,$53.75,$53.79,$52.925
03/29/2021,$53.85,17514070,$52.73,$53.94,$52.71
03/26/2021,$53.04,17126690,$52.14,$53.11,$51.76
03/25/2021,$52.02,17091940,$51.7,$52.06,$51.17
03/24/2021,$51.52,14997370,$51.17,$51.89,$51.15
03/23/2021,$51.39,16936690,$50.99,$51.65,$50.825
03/22/2021,$51,17911390,$50.32,$51.08,$50.32
03/19/2021,$50.81,67845720,$50.46,$51.08,$50.17
03/18/2021,$50.57,18007310,$51.06,$51.19,$50.485
03/17/2021,$51.24,17502650,$51.25,$51.62,$51.15
03/16/2021,$51.22,14214190,$51.2,$51.52,$51.04
03/15/2021,$51.03,13414080,$50.5,$51.12,$50.47
03/12/2021,$50.36,17598590,$50.59,$50.679,$50.2
03/11/2021,$50.88,17417650,$51.41,$51.43,$50.81
03/10/2021,$51.44,21331590,$51.18,$51.63,$50.715
03/09/2021,$50.86,23082680,$51.72,$51.88,$50.82
03/08/2021,$51.64,25084870,$51.47,$52.49,$51.16
03/05/2021,$50.79,21310760,$50.05,$50.95,$49.9
03/04/2021,$49.94,22036420,$50.31,$51.09,$49.62
03/03/2021,$49.98,15410670,$49.72,$50.56,$49.71
03/02/2021,$50.1,11755130,$49.84,$50.56,$49.7
03/01/2021,$49.9,13904860,$49.44,$50.44,$49.4
02/26/2021,$48.99,23638350,$50.2,$50.21,$48.97
02/25/2021,$50.17,14211090,$50.47,$50.745,$49.98
02/24/2021,$50.71,14442000,$50.39,$50.9,$50.13
02/23/2021,$50.54,16222250,$51,$51.51,$50.42
02/22/2021,$50.63,14370880,$49.85,$50.88,$49.67
02/19/2021,$50.11,15968770,$50.79,$50.825,$49.97
02/18/2021,$50.77,12749840,$50.16,$50.845,$50.0316
02/17/2021,$50.13,12810510,$50,$50.485,$49.885
02/16/2021,$50.27,15093410,$50.62,$50.72,$50.16
02/12/2021,$50.69,13137060,$50.57,$50.8481,$50.39
02/11/2021,$50.3,21928580,$49.81,$50.59,$49.8
02/10/2021,$49.6,22965430,$50.41,$50.58,$49.53
02/09/2021,$49.7,14592920,$49.85,$50.02,$49.63
02/08/2021,$49.92,17833220,$49.96,$50.17,$49.49
02/05/2021,$49.65,12742030,$49.5,$49.78,$49.27
02/04/2021,$49.01,20597410,$48.96,$49.07,$48.65
02/03/2021,$48.77,12274120,$48.95,$49.0883,$48.67
02/02/2021,$48.96,13319750,$48.8,$49.35,$48.63
02/01/2021,$48.48,12183610,$48.27,$48.69,$48.18
01/29/2021,$48.15,18670260,$49.03,$49.12,$48.11
01/28/2021,$49.15,17498870,$48.69,$49.5,$48.61
01/27/2021,$48.53,21242410,$48.89,$49.32,$48.23
01/26/2021,$49.29,12922630,$48.91,$49.4,$48.61
01/25/2021,$48.78,16604210,$48.42,$48.84,$48.24
01/22/2021,$48.49,15400350,$48.81,$48.94,$48.49
01/21/2021,$48.95,19707200,$48.78,$49.09,$48.46
01/20/2021,$48.68,23115800,$48.54,$48.82,$48.31
01/19/2021,$48.51,29114470,$48.74,$49.04,$48.24
