Date,Close/Last,Volume,Open,High,Low
06/29/2021,$59.05,6437087,$60.1,$60.2,$58.835
06/28/2021,$59.59,7647285,$61.12,$61.165,$59.37
06/25/2021,$61.31,8099492,$61.7,$61.75,$61.015
06/24/2021,$61.39,6424421,$60.97,$61.51,$60.32
06/23/2021,$60.76,8183988,$61.1,$62.35,$60.75
06/22/2021,$60.79,6745135,$60.15,$61.12,$59.64
06/21/2021,$60.45,8234313,$58.23,$60.529,$58.21
06/18/2021,$57.53,18583770,$57.88,$59.21,$57.48
06/17/2021,$59.01,13667220,$60.9,$61.57,$58.55
06/16/2021,$61.13,9745847,$61.09,$61.7799,$60.56
06/15/2021,$61.17,7835695,$60.7,$61.555,$60.47
06/14/2021,$60.31,7744346,$60.65,$61.07,$59.85
06/11/2021,$59.97,8117087,$60.5,$60.93,$59.8
06/10/2021,$60.17,9396030,$61.01,$61.28,$59.28
06/09/2021,$59.68,7026319,$60.63,$60.88,$59.58
06/08/2021,$60.47,7345202,$59.43,$60.62,$58.63
06/07/2021,$59.81,5405072,$59.81,$60.53,$59.585
06/04/2021,$59.85,6504767,$59.82,$60.13,$58.9
06/03/2021,$59.47,8280778,$58.72,$60,$58.56
06/02/2021,$58.99,6103331,$58.66,$59.41,$57.74
06/01/2021,$58.27,9943614,$57.08,$58.48,$57.05
05/28/2021,$55.74,5746546,$55.8,$55.95,$55.32
05/27/2021,$55.53,7484325,$55.73,$56.32,$55.12
05/26/2021,$55.42,6716041,$55.07,$55.56,$54.67
05/25/2021,$54.88,8090568,$56,$56.375,$54.77
05/24/2021,$56.1,6372797,$56.12,$56.26,$55.26
05/21/2021,$55.65,6032255,$56.06,$56.43,$55.57
05/20/2021,$55.39,8798791,$55.65,$55.66,$54.634
05/19/2021,$55.58,9406444,$55.94,$56.53,$54.815
05/18/2021,$57.29,10321990,$58.27,$58.64,$56.96
05/17/2021,$58.3,11438380,$56.07,$58.33,$56.07
05/14/2021,$56.52,6419947,$55.04,$56.645,$55.03
05/13/2021,$54.24,7583669,$54.61,$55.43,$53.57
05/12/2021,$55.69,7925083,$56.11,$57.71,$55.46
05/11/2021,$55.72,9741371,$55.79,$56.72,$55.15
05/10/2021,$57,8801719,$58.21,$59.34,$56.96
05/07/2021,$57.1,9645522,$55.07,$57.34,$54.82
05/06/2021,$55.7,9648243,$55.5,$55.72,$53.69
05/05/2021,$55.44,7033141,$54.35,$55.6719,$53.22
05/04/2021,$52.57,12834290,$51.73,$53.03,$51.64
05/03/2021,$52.74,9325063,$51.92,$52.925,$51.5603
04/30/2021,$51.14,9448197,$52.18,$53.01,$50.97
04/29/2021,$53.13,9447142,$54,$54.495,$52.85
04/28/2021,$53.04,8897132,$51.7,$53.35,$51.67
04/27/2021,$51.3,8309570,$50.44,$51.69,$50.26
04/26/2021,$50.25,6642431,$49.64,$50.92,$49.6
04/23/2021,$49.72,5670166,$49.43,$50,$49.16
04/22/2021,$49.46,6582733,$50.04,$50.08,$49.19
04/21/2021,$50.04,7718874,$48.03,$50.13,$47.85
04/20/2021,$48.65,11928570,$50.5,$50.64,$48.415
04/19/2021,$50.89,6587692,$51.29,$51.73,$50.58
04/16/2021,$51.09,7665502,$52.24,$52.3,$51.04
04/15/2021,$51.9,6763657,$52.7,$52.81,$51.77
04/14/2021,$52.69,8342439,$51.38,$53.56,$51.38
04/13/2021,$50.79,6979953,$50.48,$51.33,$50.39
04/12/2021,$50.86,8563985,$51.75,$52.24,$50.82
04/09/2021,$51.23,6665289,$51.37,$51.99,$50.915
04/08/2021,$51.24,10040780,$51.62,$51.82,$51.04
04/07/2021,$52.38,12408370,$52.79,$53.16,$52.141
04/06/2021,$52.58,6253582,$52.62,$53.655,$52.405
04/05/2021,$52.21,10460000,$53.91,$53.91,$51.95
04/01/2021,$54.02,10164960,$53.12,$54.0376,$52.53
03/31/2021,$52.97,9293077,$53.31,$53.685,$52.65
03/30/2021,$53.43,7910222,$53.2,$54.16,$53.04
03/29/2021,$53.84,7901110,$54.5,$54.52,$53.12
03/26/2021,$55.04,8723090,$54.66,$55.12,$54.03
03/25/2021,$53.57,9275165,$52.06,$53.8,$51.57
