Date,Close/Last,Volume,Open,High,Low
06/29/2021,$44.56,3740044,$44.82,$45.41,$44.375
06/28/2021,$44.87,3116112,$44.77,$45.025,$44.61
06/25/2021,$44.63,3778628,$44.12,$44.715,$44.11
06/24/2021,$44.24,3214651,$44.21,$44.45,$44.04
06/23/2021,$44.15,4183428,$44.28,$44.32,$43.82
06/22/2021,$44.33,4180842,$44.61,$44.72,$44.28
06/21/2021,$44.71,5325806,$44.57,$44.935,$44.5
06/18/2021,$44.55,11791390,$45.85,$45.89,$44.49
06/17/2021,$46,4689202,$46.24,$46.6,$45.99
06/16/2021,$46.2,6116587,$47.03,$47.3649,$45.94
06/15/2021,$47.11,6451301,$47.2,$47.24,$46.92
06/14/2021,$47.11,4986918,$46.98,$47.13,$46.52
06/11/2021,$46.91,4584284,$46.66,$46.92,$46.455
06/10/2021,$46.71,5411780,$46.71,$46.96,$46.38
06/09/2021,$46.36,4121194,$45.98,$46.45,$45.73
06/08/2021,$45.75,3986921,$45.895,$45.97,$45.63
06/07/2021,$45.86,3444906,$45.67,$45.92,$45.58
06/04/2021,$45.6,4131020,$45.67,$45.89,$45.46
06/03/2021,$45.77,7610407,$43.874,$45.9,$43.75
06/02/2021,$45.2,4092784,$45.26,$45.52,$45
06/01/2021,$45.14,5257538,$44.985,$45.255,$44.83
05/28/2021,$45.12,4863679,$44.89,$45.27,$44.75
05/27/2021,$44.6,8034742,$45.47,$45.47,$44.55
05/26/2021,$45.17,5911275,$44.905,$45.41,$44.87
05/25/2021,$44.91,5060192,$46.12,$46.12,$44.81
05/24/2021,$46.03,5061838,$46.01,$46.27,$45.705
05/21/2021,$45.84,5013485,$45.93,$46.14,$45.47
05/20/2021,$45.74,4998697,$45.54,$46.03,$45.45
05/19/2021,$45.54,15575400,$45.51,$46.14,$45.06
05/18/2021,$45.65,8286774,$45,$45.725,$44.892
05/17/2021,$45.09,7446579,$44.99,$45.25,$44.69
05/14/2021,$45.09,5968220,$44.55,$45.14,$44.45
05/13/2021,$44.41,7353422,$42.91,$44.52,$42.8
05/12/2021,$43.105,6544618,$44.14,$44.59,$42.945
05/11/2021,$44.44,5777371,$44.65,$44.78,$43.83
05/10/2021,$44.52,6858345,$44.85,$45.175,$44.48
05/07/2021,$44.68,4859460,$44.59,$45.15,$44.42
05/06/2021,$44.48,4990538,$43.51,$44.52,$43.14
05/05/2021,$43.53,8467887,$44.26,$44.85,$43
05/04/2021,$44.78,6444707,$44.87,$44.971,$44.49
05/03/2021,$44.89,4905566,$45.24,$45.45,$44.785
04/30/2021,$44.94,5168103,$44.89,$44.98,$44.63
04/29/2021,$44.89,4280058,$44.38,$45.1,$44.38
04/28/2021,$44.61,4671105,$44.43,$44.6599,$44.23
04/27/2021,$44.54,3640881,$44.66,$44.75,$44.39
04/26/2021,$44.65,3090851,$44.9,$44.9924,$44.57
04/23/2021,$44.91,4343773,$45.14,$45.29,$44.875
04/22/2021,$45.08,4498352,$45.72,$45.74,$45.015
04/21/2021,$45.68,4801448,$45.78,$46,$45.5
04/20/2021,$45.8,6207561,$45.41,$45.92,$45.41
04/19/2021,$45.5,4803683,$46.21,$46.28,$45.42
04/16/2021,$46.16,4956888,$46.02,$46.365,$45.8
04/15/2021,$45.77,5927163,$45.42,$45.845,$45.27
04/14/2021,$45.45,3855653,$45.23,$45.46,$45.04
04/13/2021,$45.17,5224584,$44.6,$45.32,$44.5
04/12/2021,$44.74,4639972,$45,$45.2,$44.62
04/09/2021,$44.83,4408222,$44.87,$45.12,$44.715
04/08/2021,$44.9,5962336,$45.06,$45.28,$44.87
04/07/2021,$44.95,4601898,$44.68,$45.07,$44.6
04/06/2021,$44.56,4047318,$44.36,$44.715,$44.18
04/05/2021,$44.48,4461440,$44.01,$44.745,$43.95
04/01/2021,$43.91,4118308,$43.71,$43.9799,$43.51
03/31/2021,$43.74,6001845,$43.36,$43.89,$43.3
03/30/2021,$43.5,4295380,$43.53,$43.65,$43.09
03/29/2021,$43.75,4392283,$43.25,$43.98,$43.25
03/26/2021,$43.53,3996148,$43.49,$43.65,$43.02
03/25/2021,$43.37,4192004,$43.3,$43.58,$42.82
03/24/2021,$42.93,4431182,$42.69,$43.44,$42.63
03/23/2021,$42.8,4836783,$42.885,$43.14,$42.525
03/22/2021,$42.79,5309028,$42.75,$42.9871,$42.49
03/19/2021,$42.97,8446203,$42.85,$43.24,$42.19
03/18/2021,$42.7,5787709,$42.72,$43.29,$42.52
03/17/2021,$42.97,5474585,$43.49,$43.49,$42.75
03/16/2021,$43.36,5602565,$43.1,$43.52,$42.85
03/15/2021,$43.36,4998126,$42.87,$43.39,$42.645
03/12/2021,$42.59,4769778,$42.363,$42.67,$42.04
03/11/2021,$42.03,6022652,$41.79,$42.7,$41.69
03/10/2021,$41.86,7559409,$41.68,$42.08,$41.27
03/09/2021,$41.53,7141554,$41.02,$41.71,$40.54
03/08/2021,$40.69,8934866,$39.59,$41.17,$39.45
03/05/2021,$39.64,7839455,$39.53,$39.775,$39.13
03/04/2021,$39.77,8148160,$39.74,$40.53,$39.33
03/03/2021,$39.53,6195791,$39.11,$39.74,$38.85
03/02/2021,$39.31,5770412,$39.29,$39.7,$39.27
03/01/2021,$39.31,5352471,$39.04,$39.88,$39
02/26/2021,$38.6,8767007,$39.05,$39.48,$38.57
02/25/2021,$38.92,9256318,$39.91,$40,$38.355
02/24/2021,$40.19,7782691,$40.03,$41.26,$40
02/23/2021,$40.8,5108227,$40.85,$41.04,$40.3302
02/22/2021,$40.6,6255585,$41.185,$41.21,$40.17
02/19/2021,$41.38,5333699,$42.01,$42.3,$41.19
02/18/2021,$42.7,3492084,$42.14,$42.985,$42.06
02/17/2021,$42.17,3163035,$41.93,$42.295,$41.52
