Date,Close/Last,Volume,Open,High,Low
6/30/21,536.9,181,531.5,537.85,528.5
6/29/21,530.65,4,532.2,532.2,531.45
6/28/21,529.15,3,528.6,528.7,528.6
6/25/21,529.95,2,530.75,530.75,529.95
6/24/21,528.75,9,524.3,525.2,524.3
6/23/21,528,7,531.75,531.75,528
6/22/21,526,8,527.7,527.7,525.85
6/21/21,526.05,120,519,526.05,517.4
6/18/21,519.85,49,515.4,520.15,515
6/17/21,514.7,59,523.25,523.25,514.05
6/16/21,528.4,7,527.45,527.45,527.25
6/15/21,529.2,118,529,529.7,528.7
6/14/21,529.45,53,531.35,532,529.4
6/11/21,531.75,156,532,532.3,531.4
6/10/21,531.1,419,529.85,532.1,527.55
6/9/21,535,131,534.25,534.25,534.25
6/8/21,535.2,2069,535,535.5,534.65
6/7/21,531.45,988,533,531.55,531.25
6/4/21,531.35,442,532.7,532.7,532.7
6/3/21,526.5,57,530.1,527.9,527.9
6/2/21,530.75,8,529.1,531.35,529.1
6/1/21,528.5,130,529,533.15,526.75
5/28/21,519.9,15,522.5,522.5,520.05
5/27/21,521.35,15,515,522,515
5/26/21,513.25,12,510.65,513.45,510.5
5/25/21,512.55,7,513.15,513.15,511.75
5/24/21,513.95,14,509.25,515,508
5/21/21,506.6,1,506,506,506
5/20/21,501.45,21,504.25,507.3,501.6
5/19/21,507.3,50,512.85,512.85,503.35
5/18/21,518.95,67,526.1,519.5,515.2
5/17/21,520.95,38,514.5,522.05,514.5
5/14/21,515.5,42,515.25,517.55,514.95
5/13/21,510.75,575,520.4,520.4,510.75
5/12/21,525.65,805,525.75,529.65,524.65
5/11/21,524.4,1064,521.6,525.3,525.3
5/10/21,520.45,1826,524.25,524.25,519.5
5/7/21,522.35,201,520.15,523.3,522.25
5/6/21,519.3,4,518.2,519.95,518.2
5/5/21,518.5,54,520.85,518.35,518.15
5/4/21,516.4,10,511.85,515.55,511.85
5/3/21,511.05,79,507.55,511.95,507.55
4/30/21,505.95,13,503.2,506.35,502.2
4/29/21,508.45,9,510.85,508.7,508.7
4/28/21,504.7,9,503.15,507.25,503.15
4/27/21,502.05,19,502.35,503.75,500.1
4/26/21,497.6,27,493.4,498.65,497.75
4/23/21,493.9,18,490,494.7,490
4/22/21,490.7,3,490.8,490.8,489.95
4/21/21,486.6,71,484.95,490.25,484.25
4/20/21,489.35,3,493,493,489.65
4/19/21,490.65,22,490.95,491.2,488.7
4/16/21,488.85,15,490.85,490.9,488.15
4/15/21,489.4,11,487.8,490.6,487
4/14/21,487,133,479,487.45,479
4/13/21,473.8,107,470.35,475.1,470.35
4/12/21,470.1,1686,470.75,474,469.75
4/9/21,471.4,1451,471.8,474,471.8
4/8/21,472.9,1188,469.55,473.2,469.55
4/7/21,469.35,15,467.35,469.85,465
4/6/21,468.6,4,469.5,468.45,468.45
4/5/21,466.2,16,470.7,472,465.15
4/1/21,474.15,47,470.5,475.05,470.5
3/31/21,466.2,0,466.2,466.2,466.2
3/30/21,468.35,1,470,470,470
3/29/21,474.15,21,471.55,475.4,469.65
3/26/21,473.3,15,472,474.05,472
3/25/21,461.9,13,465.45,461.9,459
3/24/21,472.2,141,466.1,472.55,465.95
3/23/21,461.1,13,466.5,466.5,458.85
3/22/21,475.2,2,473.7,473.7,472.8
3/19/21,475.45,25,472,474,467.4
3/18/21,467.05,30,479,479,463.3
3/17/21,486.95,23,488.5,489,486.95
3/16/21,489.1,5,493,493,488.15
3/15/21,491.9,59,492.9,492.9,489.1
3/12/21,492.5,376,491.8,492.5,491.8
3/11/21,492.6,915,490.15,492,490.15
3/10/21,485,1415,485,485,485
3/9/21,484.75,1426,485.25,485.25,483.3
3/8/21,487.05,868,487.55,487.55,485.65
3/5/21,491.45,560,490.25,492.7,490.25
3/4/21,480.1,611,474.05,485.2,460.95
3/3/21,475.3,47,474.2,475.85,474.05
3/2/21,472.8,9,473.1,475,472
3/1/21,472.05,206,477,477,470.3
2/26/21,477,47,483.25,480.5,476.4
2/25/21,488.05,91,491.05,491.05,486.4
2/24/21,490.05,10,486.2,490.95,490.05
2/23/21,481.45,16,477.55,483.5,477.55
2/22/21,480.8,30,476.05,481.05,476.05
2/19/21,469.2,26,470.85,474.35,468.55
2/18/21,473.15,1,474.5,474.5,474.5
2/17/21,472.75,7,473.6,473.6,468.75
2/16/21,470.05,103,469.1,471.45,467.5
2/12/21,463.8,485,458.15,465.2,465.2
2/11/21,458.15,495,460.2,460.85,458.35
2/10/21,458.8,809,459.9,459.95,458.15
2/9/21,459.15,2809,459,459.95,457
2/8/21,457.65,675,455.5,458.4,454.85
2/5/21,451.7,538,450.3,452.85,450.3
2/4/21,447.05,22,446.1,448.4,445.7
2/3/21,445.8,18,443.05,445.8,443
2/2/21,441.35,71,442.25,442.25,441
2/1/21,437.6,133,434.6,438.15,434.25
1/29/21,430.95,30,434.7,430.75,430.35
1/28/21,430.8,6,435.7,435.7,430.35
1/27/21,432.1,5,430.8,432.35,430.2
1/26/21,434,12,434,434,433.7
1/25/21,431.6,7,427,432.25,427
1/22/21,427.75,80,426.55,427.5,426.15
1/21/21,433.75,5,433.85,433.85,433.45
1/20/21,433.35,29,434.2,432.7,432.7
1/19/21,432.3,131,432.95,433.25,430.85
1/15/21,430.85,28,434.35,434.35,430
1/14/21,436.95,1297,433.25,434.05,433.25
1/13/21,432.4,103,432.4,432.4,432.4
1/12/21,433.3,2254,431.6,433.45,429.15
1/11/21,424.75,2034,422.1,425.4,422.1
1/8/21,426.6,1229,426,428.15,426
1/7/21,422.7,42,422.25,424,422.25
1/6/21,422.1,250,420.8,423.75,420.7
1/5/21,421.75,173,412,421.75,412
1/4/21,407.15,122,412.9,414.25,406.35
12/31/20,409.25,39,408.1,408.25,406.1
12/30/20,407.45,8,405.5,407.75,405.5
12/29/20,404.4,36,404.75,404.75,404.1
12/28/20,405,2,405,405,404.3
12/24/20,404.8,12,403.7,404.05,403.7
12/23/20,404.15,9,404.4,404.65,403.8
12/22/20,398.15,184,398.75,400,397.65
12/21/20,402.5,74,392.85,402.45,392.65
12/18/20,407.6,94,406.95,414.9,406.75
12/17/20,404.35,22,404.35,404.6,403
12/16/20,399.7,12,399.8,400.95,398.85
12/15/20,397.9,46,396.9,398.5,396.85
12/14/20,394.85,79,396,396,393.8
12/11/20,394.2,613,393.25,394.25,393.25
12/10/20,393.95,1089,395.8,395.8,395.8
12/9/20,386,1376,388.25,388.25,385.3
12/8/20,385.6,1817,384.6,386.25,384.6
12/7/20,386.15,975,384.55,386.15,384.55
12/4/20,388.3,12,387.75,389.4,387.3
12/3/20,386.1,26,385.15,386.65,384.3
12/2/20,386.5,8,383.1,387,383.1
12/1/20,383.15,116,386.2,386.2,383.15
11/30/20,385.85,81,388.25,388.25,383.1
11/27/20,387.4,7,386.3,387.9,386.3
11/25/20,386.9,2,386.45,388.7,386.45
11/24/20,385.85,113,380,386,380
11/23/20,377.3,64,375.7,376.3,376.3
11/20/20,373.55,16,372.4,374.6,372.2
11/19/20,370.3,26,369.15,370.75,370.75
11/18/20,372.3,8,373.2,374.1,372
11/17/20,370.4,23,369.45,369.55,367.75
11/16/20,369.15,31,369.15,371.35,369.15
11/13/20,364.25,59,367.3,367.3,363.75
11/12/20,368.05,814,367.55,367.55,367.55
11/11/20,366.85,882,371.15,371.15,367.3
11/10/20,366.95,2521,363.2,366.5,362.85
11/9/20,360.3,1332,363,363,358.4
11/6/20,349.25,161,351.5,351.5,350.3
11/5/20,355.05,4,357.9,354.35,354.35
11/4/20,354.95,4,349,354.8,354.8
11/3/20,349.1,11,351,351,350.75
11/2/20,345.85,190,340.1,346.8,340.1
10/30/20,339.7,45,339.15,339.8,339.15
10/29/20,341.1,16,338,341.85,338
10/28/20,346.45,69,348.75,348.75,345.95
10/27/20,356.85,15,355.7,357.15,355.1
10/26/20,352.8,25,353,353.55,351.7
10/23/20,359.1,4,358.7,358.7,358.7
10/22/20,361.55,13,361.65,361.75,360.85
10/21/20,360.7,1,360.45,360.45,360.45
10/20/20,364.05,6,364.8,364.8,364.6
10/19/20,361.7,18,363.35,363.35,359.8
10/16/20,362.1,22,361.2,362.5,360.5
10/15/20,363.25,29,357.2,364.2,357.2
10/14/20,361.75,34,358.85,362.15,358.85
10/13/20,358.8,868,357.8,358.8,357.8
10/12/20,354,700,352.75,354,352.75
10/9/20,353.45,1935,360,360,358.55
10/8/20,356.7,1926,357.75,359.1,357.75
10/7/20,353.35,173,353,353,353
10/6/20,353.75,6,352.6,354.85,352.6
10/5/20,348.1,252,346.65,349.2,346.65
10/2/20,336.9,38,338.75,340.45,338.3
10/1/20,343.1,263,347,347,339.8
9/30/20,349.45,17,345.2,349.75,345.2
9/29/20,344.65,2,346.95,346.95,346.95
9/27/20,346.8,0,346.8,346.8,346.8
9/25/20,350.9,1,346.8,346.8,346.8
9/24/20,348.1,0,348.1,348.1,348.1
9/23/20,347.25,4,347.25,347.25,347.25
9/22/20,348.2,2,349.1,349.3,349.1
9/21/20,347.65,23,351.1,351.1,345.6
9/18/20,357.7,4,357.75,357.75,357.2
9/17/20,356.25,11,349.3,356.15,349.3
9/16/20,351.85,13,349.1,351.95,349.1
9/15/20,345.25,59,343.8,345.55,342
9/14/20,342.8,1628,342.8,342.8,342.8
9/11/20,336.75,469,336.75,336.75,336.75
9/10/20,336.65,2994,338.85,338.85,336.85
9/9/20,339.9,150,339.9,339.9,339.9
9/8/20,346.75,921,334.4,336.05,332.95
9/4/20,347.75,3,348,348.2,347.35
9/3/20,351,46,350.5,350.75,347.55
9/2/20,353.75,6,354.3,354.4,354.3
9/1/20,360.1,168,362,362.1,360.5
8/31/20,359.35,110,362.35,362.35,358.75
8/28/20,360,14,360.35,360.6,360
8/27/20,359.4,2,358.45,358.45,358.45
8/26/20,360,1,360,360,360
8/25/20,359.95,0,359.95,359.95,359.95
8/24/20,356.1,17,355.25,356.1,355.25
8/21/20,353.2,3,350.5,353.6,350.5
8/20/20,356.1,39,355.5,356.15,355.5
8/19/20,357,5,356.95,357,356.95
8/18/20,357.8,12,358.45,358.45,357.2
8/17/20,357.3,31,354.1,357.55,354.1
8/14/20,351.95,35,352.65,352.9,351.3
8/13/20,351.8,1222,351.8,351.8,351.8
8/12/20,349.35,1102,349.05,349.35,349
8/11/20,345.95,1868,349.65,349.65,343.9
8/10/20,347.8,688,349.35,349.35,347.15
8/7/20,345.3,1119,345.9,345.9,343.95
8/6/20,350.5,34,352.4,352.4,350.5
8/5/20,349.25,6,349.25,349.25,349.25
8/4/20,345.45,3,346.6,346.6,346.6
8/3/20,343.95,181,340.75,345.7,340.6
7/31/20,338.5,44,340,340,338.05
7/30/20,338.35,12,337.1,337.1,333.45
7/29/20,343.4,2,344.1,344.1,344.1
7/28/20,342.3,2,340.85,340.85,340.85
7/27/20,342.75,19,340.45,343.65,338.6
7/24/20,341.2,21,341.4,341.7,340.95
7/23/20,340.65,49,344.25,344.25,340.05
7/22/20,343.5,15,341.85,344.25,341.85
7/21/20,342.55,4,342.4,342.4,342.2
7/20/20,336.75,51,333.9,336.95,333.9
7/17/20,338.3,0,338.3,338.3,338.3
7/16/20,338.4,5,338.05,338.4,338.05
7/15/20,339.5,35,339.3,339.5,339.3
7/14/20,334.5,1067,334.25,335.8,334.25
7/13/20,334.6,937,333.65,333.65,333.65
7/10/20,335.6,1944,334.4,338.4,334.35
7/9/20,333.9,870,333.15,333.15,333.15
7/8/20,334.6,867,335.2,337.4,335.2
7/7/20,335.35,18,334,336.15,334
7/6/20,333.55,64,333.65,335.05,333.5
7/2/20,330.8,167,332.1,333,330.8
7/1/20,327.75,30,329.5,329.5,327.45
6/30/20,324.7,15,328.15,328.15,324.55
6/29/20,324.5,2,324.5,325.25,324.5
6/26/20,318.15,1,318.8,318.8,318.8
6/25/20,320,8,320,320,320
6/24/20,319.7,86,317.95,320.15,317.95
6/23/20,330.6,14,332.2,332.2,329.55
6/22/20,329.75,27,328.85,330.95,328.85
6/19/20,327.9,3,330.7,330.7,330.45
6/18/20,324.4,1,324.4,324.4,324.4
6/17/20,322.35,0,322.35,322.35,322.35
6/16/20,322.35,17,324.8,325,322.05
6/15/20,316.85,28,314.7,317.1,314.7
6/12/20,314.8,279,314.65,315.4,313.1
6/11/20,313.9,656,317,317,317
6/10/20,324.55,1175,324.7,324.7,324.7
6/9/20,321.7,1316,318.2,322,318.05
6/8/20,318.7,861,320,320.85,319.8
6/5/20,320.85,990,323.3,324.45,322.5
