Date,Close/Last,Volume,Open,High,Low
06/29/2021,$372.62,2365932,$374.86,$378.09,$370.7495
06/28/2021,$368.71,1833383,$367.8,$368.87,$363.86
06/25/2021,$368.77,2782436,$368.82,$371.1499,$364.54
06/24/2021,$368.75,2716625,$363,$370.88,$362.78
06/23/2021,$361.05,1713116,$358.79,$362.48,$357.66
06/22/2021,$357.53,1870813,$357,$359.88,$352.64
06/21/2021,$357.54,2717264,$352.89,$357.97,$351.04
06/18/2021,$348.83,6290084,$356.52,$358.38,$348.125
06/17/2021,$361.5,4146348,$373.52,$373.52,$356.55
06/16/2021,$371,3264194,$370.99,$374.0788,$365.25
06/15/2021,$371.3,2302905,$373.5,$374.84,$367.16
06/14/2021,$372.92,2560497,$377.43,$378.75,$370.7
06/11/2021,$378.05,2117305,$375.7,$378.75,$375.11
06/10/2021,$373.94,3900798,$389.64,$389.64,$372.345
06/09/2021,$382.78,2026166,$383.16,$384.27,$378.88
06/08/2021,$384.7,2452596,$385.79,$386.4799,$382.22
06/07/2021,$388.16,2188724,$393,$393.2603,$387.55
06/04/2021,$391.45,2514077,$389.68,$392.05,$386.32
06/03/2021,$388.72,3003860,$382.25,$391.25,$380.1349
06/02/2021,$383.44,2809704,$383.33,$384.665,$379.37
06/01/2021,$382.44,3644004,$377.7,$383.36,$376.31
05/28/2021,$372.02,2170561,$372,$373.07,$368.26
05/27/2021,$371.37,3897048,$371.33,$373.5487,$367.3
05/26/2021,$367.4,2121254,$365,$368.79,$361.91
05/25/2021,$364.51,2630979,$369.912,$373.7696,$364.09
05/24/2021,$368.29,1818182,$367.32,$369.72,$365.51
05/21/2021,$366.26,2657548,$361.49,$367.14,$360.51
05/20/2021,$359.78,1919583,$358.98,$361.95,$353.35
05/19/2021,$358.38,3695975,$360,$360,$353.9319
05/18/2021,$364.56,2018638,$371.38,$373.08,$364
05/17/2021,$369.25,1824997,$367.78,$370.7,$364.5
05/14/2021,$368.77,2732312,$362,$369.51,$361.7
05/13/2021,$358.81,2674804,$353.25,$360.885,$353.25
05/12/2021,$354.4,3309798,$363.07,$368.13,$353.2712
05/11/2021,$359.92,3734339,$363,$368.63,$358.62
05/10/2021,$368.68,3396306,$373.5,$376.98,$368.5
05/07/2021,$370.89,3378112,$362.3,$371.65,$360.93
05/06/2021,$365.97,3048665,$359.77,$366.3,$356.5001
05/05/2021,$357.62,2098548,$352,$359.14,$348.55
05/04/2021,$349.84,2831390,$348.9,$351.78,$342.57
05/03/2021,$350.16,1871653,$350.34,$354.0599,$349.26
04/30/2021,$348.45,2101069,$351.12,$352.8197,$347.2
04/29/2021,$352.97,2584423,$350.55,$353.83,$347.48
04/28/2021,$348.11,2140875,$348,$350.12,$346.09
04/27/2021,$346.63,2088604,$344,$347.55,$343.66
04/26/2021,$343.52,2171458,$341.94,$345.9,$340.89
04/23/2021,$339.35,2165370,$331.25,$340.67,$330.72
04/22/2021,$330.85,2165200,$334.62,$336.97,$330.29
04/21/2021,$335.27,2733251,$330,$335.47,$327.56
04/20/2021,$331.88,3662274,$339.97,$340.47,$329.35
04/19/2021,$343.09,3228160,$340,$344.43,$336.6
04/16/2021,$342.31,4231858,$340.29,$343.74,$338.62
04/15/2021,$338.55,4354775,$338.9,$341.35,$334.54
04/14/2021,$335.35,9876753,$328.55,$344.4694,$326.15
04/13/2021,$327.68,3575907,$329.51,$330.05,$324.18
04/12/2021,$331.84,2318780,$332.67,$334.48,$329.94
04/09/2021,$330.81,2347149,$334,$334.9,$328.79
04/08/2021,$331.14,2402755,$324.29,$331.49,$322.9652
04/07/2021,$326.55,2157335,$327.7,$329.2,$323.35
04/06/2021,$327.06,1801975,$324.49,$328.54,$324
04/05/2021,$323.54,3234998,$332.85,$332.85,$323.05
04/01/2021,$327.64,2658951,$324.3,$329.66,$324.16
03/31/2021,$327,2624540,$330.23,$332.65,$325.44
03/30/2021,$332.01,2717270,$329.41,$335.75,$328.85
03/29/2021,$325.73,4533245,$320.35,$327.76,$317.72
03/26/2021,$327.39,3082556,$334.51,$335.45,$322.69
03/25/2021,$330.55,2804721,$327.35,$331.39,$321.92
03/24/2021,$328.65,3332168,$333.42,$336.94,$328.44
03/23/2021,$331.77,2457544,$337.62,$341.8885,$331.33
03/22/2021,$339.33,2094548,$341.06,$342.88,$336
03/19/2021,$344.2,3512961,$346.42,$347.24,$340.63
03/18/2021,$348,3715240,$350.75,$356.85,$346.99
03/17/2021,$344.95,2710906,$344.62,$347.03,$340.4001
03/16/2021,$341.71,2332558,$345.28,$346.9,$337.75
03/15/2021,$346.05,2277831,$349.44,$352.42,$342
03/12/2021,$348.81,2436744,$345.22,$350,$343.64
03/11/2021,$342.1,2756559,$338.66,$345,$336.46
03/10/2021,$342.02,3153109,$332.07,$342.4,$331.53
03/09/2021,$330.59,3324825,$328.62,$336.39,$325.57
03/08/2021,$334.19,2997991,$331.36,$337.59,$329.1
03/05/2021,$327.37,3740398,$335.58,$335.58,$316.465
03/04/2021,$329.29,3647614,$333.13,$339.76,$323.92
03/03/2021,$334.43,3606299,$333.68,$340.1,$333.25
03/02/2021,$330.94,2850325,$330,$336.19,$329.51
03/01/2021,$329.92,2959050,$325,$331.04,$323.31
02/26/2021,$319.48,3732221,$325.77,$328.68,$319.04
02/25/2021,$327.76,4137158,$333.325,$335.8131,$326.29
02/24/2021,$330.64,3934425,$320.17,$330.97,$320.095
02/23/2021,$319.21,2942528,$317.98,$320,$310.58
02/22/2021,$316.87,3162272,$313,$320.56,$312.21
02/19/2021,$315.62,2749542,$310.23,$316.78,$310.23
02/18/2021,$309.9,2095144,$309.22,$314.5,$307.5841
02/17/2021,$312.74,2464414,$310.03,$314.98,$308.7613
02/16/2021,$311.96,2792198,$310,$312.92,$309.2233
02/12/2021,$306.32,1977298,$301.99,$306.7,$301.77
02/11/2021,$302.32,2159868,$303.98,$305.01,$299.1718
02/10/2021,$304.28,3213655,$300,$305.18,$297.75
02/09/2021,$300.46,2071700,$299.6,$302.45,$297.7
02/08/2021,$300.15,2826173,$295,$300.89,$294.5
02/05/2021,$293.5,2938134,$295,$297.24,$292.1901
02/04/2021,$293.75,2994699,$290,$295.83,$289.525
02/03/2021,$288.55,2712770,$286.61,$289.81,$285.1801
02/02/2021,$286.97,5195520,$278.32,$288.25,$278
02/01/2021,$274.73,2324088,$272.66,$276.8,$272
01/29/2021,$271.17,3411974,$274.27,$277.4,$270.62
01/28/2021,$275.02,3778696,$274.61,$279.83,$271.33
01/27/2021,$273.33,3891838,$276,$277.37,$271.3201
01/26/2021,$281.76,3296846,$283.93,$285.77,$280.08
01/25/2021,$283.04,4575007,$285.53,$286.35,$277.5
01/22/2021,$289.39,2568757,$286.69,$290.59,$285.5
01/21/2021,$289.37,2517753,$290.45,$292.74,$288.53
01/20/2021,$290.47,4792644,$295.82,$297.45,$287.48
01/19/2021,$294.2,6727794,$305,$306.6,$293.8031
01/15/2021,$301.01,3863723,$301.19,$304.86,$296.88
01/14/2021,$307.87,3192169,$304.05,$309.41,$303.54
01/13/2021,$302.94,2413821,$300.08,$303.72,$299.1
01/12/2021,$302.21,4814362,$297.14,$303.98,$296.02
01/11/2021,$293.83,2650134,$286.8,$295,$284.2
01/08/2021,$290.08,2800784,$292,$292.28,$285.06
01/07/2021,$291.65,4009730,$287.77,$295.8894,$286.68
01/06/2021,$285.55,6383530,$276.29,$288.38,$273.1
01/05/2021,$270.93,4207081,$263.88,$273.5,$262.57
01/04/2021,$265,3572043,$267,$267.58,$260.16
12/31/2020,$263.71,2043050,$258.8,$263.93,$258.0001
12/30/2020,$259.45,1566767,$258.81,$260.65,$257.83
12/29/2020,$258.01,1430868,$260.26,$260.8606,$256.5
12/28/2020,$259.59,2793392,$257.81,$262.655,$257
12/24/2020,$256.16,968146,$257.04,$257.62,$253.75
12/23/2020,$256.45,3376142,$251.5,$260.575,$251.3
12/22/2020,$250.09,3603652,$256.86,$257.7,$249.8
12/21/2020,$256.98,7408489,$250.29,$260.85,$248.76
12/18/2020,$242.13,4088144,$245.39,$245.39,$240.56
12/17/2020,$244.43,2983609,$245,$245.93,$243
12/16/2020,$243.77,2400910,$243.56,$243.9,$241.12
12/15/2020,$242.43,2348775,$239.5,$243.61,$237.19
12/14/2020,$237.79,1927781,$243.28,$243.5,$237.39
12/11/2020,$239.99,2077419,$240.81,$241.2,$237.1
12/10/2020,$244.4,2541804,$240,$245.1799,$239.5138
12/09/2020,$242.82,3552254,$240,$245.36,$239.53
12/08/2020,$238.84,1371782,$237.01,$239.19,$236.58
12/07/2020,$238.45,1788559,$238.54,$239.85,$235.45
12/04/2020,$239.58,2373011,$237.7,$239.75,$236.95
12/03/2020,$235.47,2142890,$237.29,$238.85,$234.64
12/02/2020,$237.65,2136313,$232.08,$238.13,$231.5822
12/01/2020,$232.08,2580965,$231.96,$234.8704,$231.35
11/30/2020,$230.58,2705408,$232.05,$235,$230.36
11/27/2020,$235.4,1050396,$237,$237.3,$233.785
11/25/2020,$236.54,2272937,$235,$237.45,$232.43
11/24/2020,$237.5,3920282,$231.1,$238.116,$230.63
11/23/2020,$228.83,3378180,$226.06,$230,$225.73
11/20/2020,$223.35,1848687,$223,$224.81,$222.63
11/19/2020,$224.57,1505154,$224.3,$224.94,$222.11
11/18/2020,$224.3,2856225,$225,$227.72,$223.51
11/17/2020,$224.65,2722921,$220.02,$224.85,$218.33
11/16/2020,$222.38,3004948,$223.53,$224.6,$220.03
11/13/2020,$219.08,2832645,$215.85,$220.96,$215.41
11/12/2020,$214.51,3009267,$215.22,$216.86,$212.4
11/11/2020,$218.05,2680710,$218.64,$219.92,$215.03
11/10/2020,$217.47,4166465,$215.25,$218.38,$211.18
11/09/2020,$214.93,6960521,$214.49,$218,$209.37
11/06/2020,$201.26,2475115,$204.34,$204.39,$200.42
11/05/2020,$202.96,2892815,$199.65,$204.12,$199.06
11/04/2020,$197.87,3868514,$196.25,$200.82,$194.9
11/03/2020,$197.93,4545470,$193.94,$199,$193.22
11/02/2020,$190.2,2459562,$192,$192.7,$188.23
10/30/2020,$189.04,3661181,$189.51,$190.4,$185.52
10/29/2020,$189.94,3581156,$189.8,$192.35,$186.9
10/28/2020,$189.77,4214584,$191.31,$193.365,$188.94
10/27/2020,$195.68,3430420,$200,$200.59,$195.41
10/26/2020,$201.14,3249695,$202.49,$202.81,$198.51
10/23/2020,$205.04,2110153,$206.76,$208.21,$204.02
10/22/2020,$205.4,2137823,$203.2,$206.365,$202.2
10/21/2020,$202.91,3083593,$207.39,$207.95,$202.01
10/20/2020,$208.03,3336684,$206.7,$211.38,$206.465
10/19/2020,$205.69,3235296,$207.39,$207.91,$204.59
10/16/2020,$206.21,3246646,$208.32,$209.995,$205.81
10/15/2020,$208.6,4334014,$209.58,$210.73,$206.9
10/14/2020,$211.23,7557023,$213.88,$214.45,$210.27
10/13/2020,$210.81,3317312,$214.01,$214.11,$209.18
10/12/2020,$214.12,3474215,$207.41,$214.89,$207.41
10/09/2020,$207.54,3040923,$208.76,$209.81,$206.07
10/08/2020,$207.98,2330609,$205.15,$208.16,$204.11
10/07/2020,$203.6,2326917,$203.9,$205,$201.17
10/06/2020,$201.09,2833119,$204.25,$206.09,$199.9
10/05/2020,$201.8,2551633,$201.93,$202.84,$199.59
10/02/2020,$199.9,2541588,$195.34,$200.6999,$195.29
10/01/2020,$198.55,2288651,$201.53,$203.13,$197.8738
09/30/2020,$200.97,3075829,$198.68,$203.08,$198.36
09/29/2020,$196.79,2401523,$198.16,$198.77,$195.43
09/28/2020,$199.07,3280138,$197.78,$201.865,$197.15
09/25/2020,$194.95,3105989,$192.96,$195.39,$189.6085
09/24/2020,$195.11,5114566,$188.98,$197.4594,$187.05
09/23/2020,$186.12,3116142,$192,$192.915,$185.865
09/22/2020,$191.62,3355768,$194,$196.14,$188.43
09/21/2020,$194,4871299,$189.9,$194.17,$187.47
09/18/2020,$194.86,9066647,$195.01,$196.65,$192.3848
09/17/2020,$194.83,4274772,$198.21,$199.89,$194.51
09/16/2020,$200.68,3571873,$198.49,$203.8,$198.07
09/15/2020,$198,3717632,$202,$202.585,$197.98
09/14/2020,$201.34,2756891,$203.3,$203.3,$200.67
09/11/2020,$200.92,2376385,$200.24,$201.91,$198.95
09/10/2020,$200.01,2510274,$203.73,$205.35,$199.55
09/09/2020,$202.22,4681380,$204.19,$204.83,$202.03
09/08/2020,$202.48,4574748,$209.51,$209.96,$201.27
09/04/2020,$210.94,3668891,$210.89,$213.35,$205.32
09/03/2020,$207.56,3533485,$211.75,$215.23,$205.83
09/02/2020,$210.04,3565242,$205.79,$210.93,$205.37
09/01/2020,$205.46,2458801,$203.6,$206.71,$203.01
08/31/2020,$204.87,3046152,$205.5,$206.41,$203.63
08/28/2020,$207.71,3697406,$211.89,$212,$207.09
08/27/2020,$210.15,3692411,$206.68,$213,$206.41
08/26/2020,$207.22,2563236,$205.89,$207.28,$205.03
08/25/2020,$206,2627906,$209.99,$210.49,$205.17
08/24/2020,$207.34,3097432,$203.11,$207.43,$201.32
08/21/2020,$202.43,1781141,$200.11,$203.35,$199.82
08/20/2020,$201.85,1764214,$200.76,$203.28,$200.34
08/19/2020,$203.02,2458524,$202.4,$206.1,$201.77
08/18/2020,$201.31,3067854,$203.45,$203.58,$201.1
08/17/2020,$203.07,3922588,$207,$207.85,$202.53
08/14/2020,$207.97,2287572,$207.46,$209.48,$206.61
08/13/2020,$208.39,2219859,$210.41,$212.2,$207.69
08/12/2020,$212.13,2439593,$214.7,$215.95,$209.27
08/11/2020,$211.06,4042742,$212.72,$216.95,$210.53
08/10/2020,$209.38,2432770,$209.59,$210.64,$208.04
08/07/2020,$208.27,3074961,$203.48,$208.8,$202.45
08/06/2020,$204.25,1882367,$205,$206.29,$203.83
08/05/2020,$204.52,2323194,$203.17,$204.8075,$203.01
08/04/2020,$201.64,1944676,$199.35,$201.72,$198.475
08/03/2020,$199.39,2295652,$198.49,$199.88,$196.53
07/31/2020,$197.96,2401074,$199.84,$199.84,$196.51
07/30/2020,$199.53,3057922,$199.5,$199.99,$196.3
07/29/2020,$202.58,2634961,$201.7,$203.89,$199.62
07/28/2020,$201.62,2139771,$201.91,$203.6,$201.09
07/27/2020,$203.02,2601182,$200.1,$204.18,$199.59
07/24/2020,$201.47,3191549,$203,$204.93,$201.32
07/23/2020,$203.02,4088636,$205.1,$206.0221,$202.05
07/22/2020,$206,4978425,$210.5,$211,$205.35
07/21/2020,$212.02,3394178,$212.25,$213.81,$210.39
07/20/2020,$211.71,2268726,$210.73,$213.165,$210.25
07/17/2020,$211.41,3618027,$214.9,$215.17,$211.25
07/16/2020,$214.67,5769606,$213.51,$220.455,$213.5
07/15/2020,$216.9,12516720,$224.37,$225.2399,$214.69
07/14/2020,$214.01,5201950,$211.43,$214.3,$207.01
07/13/2020,$208.88,4449599,$209,$212.98,$207
07/10/2020,$205.56,4414807,$196.87,$206.3199,$196.83
07/09/2020,$196.83,3160116,$202.11,$202.5,$195
07/08/2020,$202.25,2789713,$199.54,$203.25,$199.02
07/07/2020,$199.36,2853484,$205.5,$205.71,$199.19
07/06/2020,$207.36,3567664,$201.335,$207.7896,$201.13
07/02/2020,$197.4,2699373,$202.5,$203,$197.13
07/01/2020,$197.57,2620147,$198.88,$199.74,$195.52
06/30/2020,$197.62,3102760,$193.84,$198.41,$193.62
06/29/2020,$193.47,3735957,$191.38,$193.9,$188.66
06/26/2020,$189.19,9530651,$199,$200.2441,$188.5075
06/25/2020,$207.1,3466472,$197.86,$207.39,$197.61
06/24/2020,$198.02,2756726,$202.34,$202.61,$197.3801
06/23/2020,$204.78,2451825,$206.5,$207.51,$203.64
06/22/2020,$203.42,1806868,$200.99,$204.58,$200
06/19/2020,$201.63,4962438,$207.05,$207.4228,$200.97
06/18/2020,$203.84,2051659,$203.99,$207.26,$202.67
06/17/2020,$206.19,1798324,$210,$210.79,$205.44
06/16/2020,$209.59,3103691,$214.98,$214.98,$203.73
06/15/2020,$206.31,3468788,$195.73,$206.9932,$195.15
06/12/2020,$201.78,3380817,$200.62,$202.94,$196.21
06/11/2020,$194.13,4923410,$204.7,$206.9,$194.02
06/10/2020,$213.52,3091188,$217.39,$219.8499,$212.8
06/09/2020,$218.1,2478365,$215.74,$220.02,$215.16
06/08/2020,$220.81,3260307,$220.02,$222.2646,$218.24
06/05/2020,$217.92,4737626,$222,$222.98,$217.66
06/04/2020,$214.82,3522252,$208.79,$214.99,$207.96
06/03/2020,$210.57,3471886,$208.49,$211.93,$206.43
06/02/2020,$204.14,4128686,$203.77,$206.5,$201.32
06/01/2020,$199.93,2235963,$197.31,$201.77,$195.12
05/29/2020,$196.49,3824488,$197.23,$200.92,$194.65
05/28/2020,$201.22,4890687,$210.84,$211.31,$201.21
05/27/2020,$209.66,8182053,$203,$210.71,$200.01
05/26/2020,$196.06,5971201,$185.63,$197.1,$185.22
05/22/2020,$179.93,2176407,$180.03,$180.64,$178.06
05/21/2020,$180.1,2153769,$180.2,$181.17,$177.68
05/20/2020,$181.44,2599855,$180.95,$183.83,$180.3
05/19/2020,$177.83,2210480,$180.56,$182.185,$177.72
05/18/2020,$181.88,4512571,$177.71,$183.1,$175.24
05/15/2020,$171.87,2867769,$173.48,$174.09,$170.58
05/14/2020,$174.45,4176657,$169.04,$174.78,$165.36
05/13/2020,$171.8,3445251,$175.66,$176.88,$170.76
05/12/2020,$177.21,3549190,$183.89,$184.3,$176.75
05/11/2020,$183.16,2212324,$182.54,$184.85,$181.26
05/08/2020,$185.39,2282566,$185.03,$185.91,$182.74
05/07/2020,$182.32,2480533,$179.18,$183.38,$179.18
05/06/2020,$176.92,2408676,$179.68,$181.2,$175.2115
05/05/2020,$178.3,3272990,$179.1,$182.6,$178.14
05/04/2020,$176.03,2990142,$175,$176.31,$171.72
05/01/2020,$177.1,2650183,$179,$179.595,$176.65
04/30/2020,$183.42,2695447,$186,$187.55,$182.8999
04/29/2020,$190.03,3086258,$192.61,$193.72,$189.57
04/28/2020,$187.01,3344730,$189.16,$190.42,$184.87
04/27/2020,$183.54,2743124,$179.1,$184.25,$178.72
04/24/2020,$177,2024646,$177,$177.95,$173.49
04/23/2020,$175.05,2013306,$177,$179.07,$174.45
04/22/2020,$175.98,2316558,$177.5,$178.18,$174.47
04/21/2020,$173.81,3818970,$175.44,$179.2,$173.66
04/20/2020,$180.4,4674763,$179.7,$186.32,$178.0221
04/17/2020,$183.49,5426703,$183.49,$185.28,$178.29
04/16/2020,$177.04,4662186,$177.22,$178.44,$172.39
04/15/2020,$178.52,6042720,$170.63,$181.68,$169.15
04/14/2020,$178.23,4149605,$182.35,$183.38,$174.543
