Date,Close/Last,Volume,Open,High,Low
06/29/2021,$215.95,3001976,$217.03,$218.36,$215.42
06/28/2021,$216.79,2360334,$219.12,$220.11,$216.3
06/25/2021,$218.74,5219111,$217.87,$220.17,$217.33
06/24/2021,$217.69,3364493,$215.79,$218.04,$214.65
06/23/2021,$214.66,2234542,$215.67,$216.37,$214.56
06/22/2021,$215.49,2111039,$215.68,$216.8,$214.88
06/21/2021,$216,2872355,$214.74,$217.43,$214.34
06/18/2021,$212.5,5426523,$213.6,$215.29,$211.96
06/17/2021,$216.29,2425675,$219.2,$220.2,$214.725
06/16/2021,$218.99,3052341,$222.5,$222.9,$218.6
06/15/2021,$222.5,2063234,$223.02,$223.86,$221.67
06/14/2021,$223.17,2586062,$224.92,$224.95,$222.73
06/11/2021,$225.18,1998905,$227.75,$228.33,$223.96
06/10/2021,$226.25,2223555,$229.12,$230.06,$226.15
06/09/2021,$227.81,1973581,$229.82,$230.4,$227.6
06/08/2021,$229.81,1720583,$228.31,$230.82,$227.44
06/07/2021,$228.19,2032479,$229.51,$230.36,$227.53
06/04/2021,$230.05,1299971,$229.76,$230.75,$229.1864
06/03/2021,$229.2,2321294,$230.71,$231.64,$228.47
06/02/2021,$230.74,2225389,$234.02,$234.02,$230.5
06/01/2021,$232.95,2234146,$232.89,$233.69,$231.51
05/28/2021,$230.91,2529345,$232,$232.24,$230.31
05/27/2021,$231.27,6647173,$226.69,$231.74,$226.59
05/26/2021,$224.27,1748116,$224.96,$224.99,$223.31
05/25/2021,$224.04,1804635,$225,$225.7099,$223.39
05/24/2021,$225,1813542,$224.5,$225.515,$223.17
05/21/2021,$223.2,2274600,$223,$225.625,$222.66
05/20/2021,$222.13,2207835,$220.487,$222.89,$220.47
05/19/2021,$221.32,3050216,$220.67,$221.47,$216.78
05/18/2021,$222.32,2400421,$225.37,$225.985,$222.23
05/17/2021,$226.47,2058010,$227.86,$227.86,$224.735
05/14/2021,$227.36,2081307,$225.74,$228.23,$224.85
05/13/2021,$223.68,2905724,$218.83,$224.87,$218.74
05/12/2021,$220.04,4197103,$226.64,$227.26,$219.89
05/11/2021,$229.16,3380290,$228.06,$229.26,$224.25
05/10/2021,$230.94,2393698,$229,$232.65,$229
05/07/2021,$228.79,1957122,$228.13,$229.7,$226.37
05/06/2021,$228.66,2053225,$227.25,$228.82,$225.45
05/05/2021,$226.19,1580762,$226.29,$227.2687,$224.555
05/04/2021,$225.43,2826960,$222.14,$225.6,$220.75
05/03/2021,$223.2,2218729,$224.24,$224.78,$222.2613
04/30/2021,$223.04,2216986,$223.02,$223.58,$221.04
04/29/2021,$223.9,1789938,$223.71,$224.16,$221.6818
04/28/2021,$222.87,2168054,$222.74,$224.14,$222.5
04/27/2021,$222.93,2786525,$222.02,$223.75,$221.11
04/26/2021,$221.52,3611352,$225.59,$225.74,$221.26
04/23/2021,$224.5,5312728,$225.2,$226.95,$222.22
04/22/2021,$229.26,2516155,$230.4,$232.03,$228.8
04/21/2021,$230.5,1722536,$227.13,$230.67,$226.93
04/20/2021,$227.33,2050665,$230,$230.19,$225.78
04/19/2021,$230.97,2904437,$231.71,$232.105,$230.5
04/16/2021,$232.11,4098296,$231.68,$232.35,$230.05
04/15/2021,$229.84,2009592,$230.23,$230.71,$228.565
04/14/2021,$229.38,2186537,$228,$230.99,$228
04/13/2021,$229,2750231,$229.21,$229.949,$227.6
04/12/2021,$228.6,2660068,$225.64,$229.23,$225.56
04/09/2021,$226.98,3861931,$227.5,$227.63,$223.31
04/08/2021,$219.86,2072017,$218.18,$219.96,$216.64
04/07/2021,$218.5,1717225,$218.22,$219.88,$217.2775
04/06/2021,$219.19,1795959,$219.57,$221.05,$218.51
04/05/2021,$219.27,2258883,$218.71,$220.11,$218.37
04/01/2021,$216.8,2109749,$217.96,$217.97,$215.4912
03/31/2021,$217.07,2450022,$218.19,$219.17,$216.75
03/30/2021,$218.09,2448206,$219,$219.3099,$217.05
03/29/2021,$218.88,3064038,$217.65,$219.67,$217.14
03/26/2021,$218.53,2540014,$215.12,$218.69,$214.135
03/25/2021,$213.88,2217646,$212.21,$214.05,$208.25
03/24/2021,$212.22,2562197,$209.96,$215.05,$209.89
03/23/2021,$208.59,1913754,$210.42,$212.35,$207.87
03/22/2021,$212.13,3306583,$211.11,$212.68,$209.53
03/19/2021,$212.91,10110790,$215.37,$215.59,$212.17
03/18/2021,$215.02,4293949,$213.5,$219,$213.18
03/17/2021,$213.03,2730196,$213.5,$214.43,$211.94
03/16/2021,$211.81,2577708,$216.36,$216.47,$211.41
03/15/2021,$216.2,2561209,$213.71,$217,$212.7
03/12/2021,$214.38,1839244,$213.29,$215.39,$213.2
03/11/2021,$212.5,2959704,$211.79,$214.76,$211.2
03/10/2021,$212.91,4332488,$207.68,$213.27,$207.65
03/09/2021,$207.61,2643482,$208.99,$209.94,$206.49
03/08/2021,$207.7,3216015,$207.54,$212.45,$207.195
03/05/2021,$206.58,2857983,$204.53,$207.46,$201.78
03/04/2021,$202.94,2798790,$207.35,$208.04,$200.51
03/03/2021,$207.01,2706390,$206.12,$209.45,$206.12
03/02/2021,$206.58,2500200,$206.77,$207.99,$205.18
03/01/2021,$206.22,2535954,$204.33,$208.15,$203.69
02/26/2021,$202.35,3665903,$205.63,$205.8,$202.07
02/25/2021,$204.79,2735008,$209.95,$210.455,$204.26
02/24/2021,$211.03,3341520,$204.89,$212.14,$203.5
02/23/2021,$205.04,2459300,$205.01,$205.84,$202.97
02/22/2021,$203.62,2205390,$203.04,$204.3,$202.42
02/19/2021,$203.56,2434559,$204.12,$206.8299,$203.32
02/18/2021,$203.52,1764985,$201.5,$204.82,$200.65
02/17/2021,$201.9,2941163,$201.36,$202.19,$199.86
02/16/2021,$203.44,2283499,$204.86,$205.57,$201.88
02/12/2021,$203.57,1990352,$202.37,$203.79,$201.6501
02/11/2021,$202.18,1708967,$202.18,$203.1,$200.88
02/10/2021,$202.16,1894589,$203,$203.35,$201.18
02/09/2021,$202.02,1794231,$203.6,$203.8,$201.08
02/08/2021,$203.86,2076009,$203.82,$204.9,$202.56
02/05/2021,$202.92,1868217,$202.23,$203.87,$201.2773
02/04/2021,$200.59,2273295,$199.83,$201.46,$198.83
02/03/2021,$199.14,1910258,$199.63,$199.9,$197.41
02/02/2021,$200.12,2768040,$197.83,$200.87,$197.51
02/01/2021,$195.56,2889125,$197.55,$197.765,$195.28
01/29/2021,$195.37,4635405,$196.51,$200.94,$194.55
01/28/2021,$202.84,3731737,$200.62,$205.35,$199.63
01/27/2021,$199.38,4108568,$198.11,$200.76,$196.53
01/26/2021,$201.06,2201906,$203.84,$204.77,$200.98
01/25/2021,$201.87,4737692,$201.34,$202.56,$200.1
01/22/2021,$202.25,3502973,$204.26,$204.46,$201.39
01/21/2021,$205.23,2705893,$206.86,$207.81,$205.1
01/20/2021,$208.08,2452446,$207.92,$208.67,$206.67
01/19/2021,$206.76,2656589,$208.24,$208.76,$206.45
01/15/2021,$205.97,3887549,$207.53,$207.8617,$205.2
01/14/2021,$208.61,3661497,$208.04,$209.78,$207.18
01/13/2021,$207.02,2145218,$208.28,$208.62,$206.4
01/12/2021,$208.88,2498791,$207.86,$209.48,$205.2614
01/11/2021,$208.36,2938913,$208.11,$209.615,$207.83
01/08/2021,$210.03,3278932,$212.8,$213.4075,$207.67
01/07/2021,$212.61,2057350,$212.89,$214.01,$210.8
01/06/2021,$212.26,2748168,$209.45,$213.98,$209.23
01/05/2021,$208.46,2172258,$206.98,$210.19,$206.98
01/04/2021,$207.95,2329179,$212.84,$213.01,$206.36
12/31/2020,$212.7,1406395,$211,$213,$209.67
12/30/2020,$210.95,1602159,$210,$211.59,$209.56
12/29/2020,$209.13,1527643,$211.4,$211.4,$207.88
12/28/2020,$209.94,1715733,$211,$211.23,$209.38
12/24/2020,$209.53,754913,$210.53,$210.7,$208.6
12/23/2020,$209.99,2047049,$209.61,$212.14,$209.24
12/22/2020,$207.94,2020057,$210.57,$211.205,$207.85
12/21/2020,$210.66,2467462,$205.63,$211.16,$204.85
12/18/2020,$210.04,6686160,$212.29,$212.51,$208.62
12/17/2020,$211.94,2148593,$210.95,$211.94,$210
12/16/2020,$210.31,2930114,$213.39,$214.33,$209.23
12/15/2020,$214.17,2502484,$214,$214.9,$211.88
12/14/2020,$211.85,3345475,$216,$216.7,$211.7
12/11/2020,$214.63,3119537,$209.55,$215.26,$209.5487
12/10/2020,$211.97,2987477,$210.25,$212.8,$210.22
12/09/2020,$212.24,2946483,$212.84,$213.82,$210.715
12/08/2020,$212.07,2302325,$210.32,$213.06,$209.9
12/07/2020,$211.1,2595130,$211.51,$211.79,$209.35
12/04/2020,$212.68,3198838,$209.39,$212.89,$209.39
12/03/2020,$208.22,2779431,$206.61,$209.44,$206.41
12/02/2020,$208,2460059,$205.99,$209.04,$205.97
12/01/2020,$206.2,3795491,$207.09,$209.8326,$205.93
11/30/2020,$203.92,6465704,$207.17,$208.25,$203.92
11/27/2020,$209.41,1434163,$207.67,$209.42,$207.6
