Date,Close/Last,Volume,Open,High,Low
06/29/2021,$194.2,2628892,$193.04,$195.845,$193.04
06/28/2021,$193.21,2510639,$192.59,$194.17,$191.375
06/25/2021,$192.66,4149785,$192.12,$192.86,$191.2
06/24/2021,$191.75,2768003,$192.68,$193.09,$190.93
06/23/2021,$191.14,2836086,$191.15,$192.17,$190.845
06/22/2021,$191.72,3995715,$189.92,$192.68,$189.57
06/21/2021,$188.88,4539680,$187.97,$190.54,$187.69
06/18/2021,$186.88,9316869,$184.73,$187.9,$184.49
06/17/2021,$186.84,4260944,$186.5,$188.16,$184.4649
06/16/2021,$186.2,4176146,$188,$188.2,$184.58
06/15/2021,$187.88,4472613,$189.47,$189.65,$186.75
06/14/2021,$189.66,3257722,$190.12,$190.5,$188.21
06/11/2021,$190.81,3127773,$189.88,$191.69,$189.3
06/10/2021,$188.78,3905835,$190.87,$191.65,$187.35
06/09/2021,$190.6,3638947,$192,$192.5,$190.36
06/08/2021,$191.4,3604841,$191.16,$192.69,$190.25
06/07/2021,$190.25,2913482,$189.95,$191.11,$188.54
06/04/2021,$189.91,4210681,$190.38,$191.39,$188.29
06/03/2021,$190.3,3469466,$190,$190.83,$188.48
06/02/2021,$190.77,3997711,$192.3,$193.18,$190.0634
06/01/2021,$191.85,4105632,$195,$196.1,$191.54
05/28/2021,$194.83,3619589,$197,$197.84,$194.68
05/27/2021,$193.77,5126469,$194.34,$195.62,$193.57
05/26/2021,$193.6,3565939,$192.59,$194.25,$192.52
05/25/2021,$193.02,4089275,$191.17,$193.33,$190.61
05/24/2021,$190.66,3396434,$193.24,$193.52,$190.51
05/21/2021,$192.47,4032744,$194.35,$195.87,$191.33
05/20/2021,$193.41,4397664,$191.76,$194.89,$191.3801
05/19/2021,$190.72,6797914,$189.54,$191.65,$186.38
05/18/2021,$192.75,5691482,$194,$196,$191.72
05/17/2021,$194.13,5794274,$197.64,$198.7,$192.13
05/14/2021,$198.91,3742979,$201.71,$202.22,$197.22
05/13/2021,$200.34,4495509,$197.83,$202.75,$197.6
05/12/2021,$195.54,5406645,$203.2,$203.97,$194.8
05/11/2021,$205.34,4449217,$208.01,$209.66,$201.2201
05/10/2021,$211.31,4476915,$209.54,$215.22,$208.51
05/07/2021,$208.4,3695125,$206.06,$209.24,$204.7
05/06/2021,$205.94,4525204,$201.3,$206.06,$200.43
05/05/2021,$200,2512020,$201.54,$203.1,$198.8
05/04/2021,$200.3,4150088,$198.7,$200.49,$196.78
05/03/2021,$199.2,4629549,$198.75,$200.075,$197.87
04/30/2021,$196.25,4255564,$197.8,$198.255,$195.27
04/29/2021,$198.44,3860273,$197.31,$199.43,$196.93
04/28/2021,$196.06,4939169,$199.74,$199.84,$195.7
04/27/2021,$199.05,3453852,$200.07,$201.13,$198.68
04/26/2021,$199.19,3017006,$200.83,$200.93,$198.3
04/23/2021,$200.93,3634022,$201.79,$201.89,$199.51
04/22/2021,$201.3,3712957,$203.88,$204.85,$199.24
04/21/2021,$203.91,2716757,$203.8,$204.93,$203.22
04/20/2021,$202.77,3006194,$203.42,$204,$200.43
04/19/2021,$204.01,3828801,$206.01,$207.2946,$203.49
04/16/2021,$208.25,6359772,$206.57,$208.9807,$205.27
04/15/2021,$204.57,3656292,$200.65,$205.07,$200.61
04/14/2021,$201.52,3371879,$201.05,$204.18,$200.72
04/13/2021,$199.72,2964525,$200.71,$201.22,$199.02
04/12/2021,$200.65,3647875,$198.16,$200.9772,$198.16
04/09/2021,$198.51,3168770,$195.4,$198.67,$194.3
04/08/2021,$194.21,2684463,$194.27,$195.11,$193.285
04/07/2021,$193.67,3276259,$193.5,$194.7499,$192.68
04/06/2021,$194.2,2917930,$192.89,$194.97,$192.49
04/05/2021,$193.73,3507184,$191.86,$194.67,$191.25
04/01/2021,$191.32,3192229,$191.2,$191.88,$189.69
03/31/2021,$190.18,3564357,$190.99,$192.18,$189.17
03/30/2021,$190.02,3547575,$186.89,$191.02,$186.7
03/29/2021,$188.62,3970939,$192,$192.91,$187.79
03/26/2021,$191.61,4795152,$185.84,$191.85,$185.34
03/25/2021,$185.17,4543280,$179.71,$186.17,$179.5195
03/24/2021,$180.68,3555416,$181.12,$184.15,$180.65
03/23/2021,$180.4,3324449,$181.25,$183.8,$179.94
03/22/2021,$181.89,4700154,$179.55,$183.6,$178.34
03/19/2021,$179.49,8525104,$174.24,$180.55,$174.24
03/18/2021,$174.87,3888064,$172.91,$176.63,$172.31
03/17/2021,$174.44,3119925,$174.81,$175.9199,$173.88
03/16/2021,$175.33,3737227,$174.02,$176.52,$173.97
03/15/2021,$174.2,3745517,$172.56,$175.31,$172.56
03/12/2021,$171.55,3638686,$170.08,$171.83,$169.23
03/11/2021,$170.75,4989587,$170.82,$173.13,$170.3608
03/10/2021,$168.46,3394910,$167,$170.395,$166.46
03/09/2021,$165.99,4585161,$165.74,$169.2199,$165
03/08/2021,$162.92,4613427,$159.74,$165.3,$159.29
03/05/2021,$158.58,5143052,$154.95,$159.09,$151.07
03/04/2021,$153.77,7792734,$157.17,$158.28,$150.84
03/03/2021,$158.29,5238504,$162.19,$162.83,$158.23
03/02/2021,$163.05,4330969,$162.43,$164.79,$162.4
03/01/2021,$161.94,3361327,$160.76,$163.5,$160.76
02/26/2021,$159.75,6030418,$160.34,$162.42,$159.13
02/25/2021,$158.52,6639320,$163.49,$163.5,$157.95
02/24/2021,$162.31,9972310,$168.66,$169.61,$160.11
02/23/2021,$168.59,5149516,$170.75,$170.91,$165
02/22/2021,$172.41,3767706,$176.22,$176.485,$172.2
02/19/2021,$177.54,2841998,$177.51,$179.095,$176.78
02/18/2021,$177.16,2758921,$175.96,$178.05,$175.345
02/17/2021,$177.13,2278889,$173.85,$177.47,$173.4962
02/16/2021,$174.06,2947651,$176.27,$177.3,$173.93
02/12/2021,$177.16,2035571,$175.77,$177.67,$175.41
02/11/2021,$175.73,2783923,$176.99,$177.6386,$174.88
02/10/2021,$177.24,2837880,$179,$179,$175.14
02/09/2021,$177.78,2724077,$178.83,$179.46,$177.38
02/08/2021,$179.17,3422083,$175.98,$179.21,$175.51
02/05/2021,$175.03,2562845,$174.68,$175.2,$173.19
02/04/2021,$173.03,2679813,$170.53,$173.14,$169.81
02/03/2021,$169.88,2996757,$166.26,$170.22,$166.11
02/02/2021,$166.66,3182202,$163.88,$167.79,$163.44
02/01/2021,$163.37,3898535,$167.12,$168.19,$162.14
01/29/2021,$166.85,4400488,$171.55,$171.8,$166.5
01/28/2021,$172.34,3816635,$168.89,$173.73,$167.76
01/27/2021,$167.71,4762674,$171.04,$171.86,$167.04
01/26/2021,$173.7,2496297,$174.29,$174.9,$173
01/25/2021,$174.1,4764237,$172.91,$175.145,$171.44
01/22/2021,$172.4,3612323,$171.89,$174.12,$171.0301
01/21/2021,$172.34,5323189,$173.59,$175.07,$172.26
01/20/2021,$172.39,3899972,$171.24,$174.05,$169.65
01/19/2021,$170.76,4683073,$172.9,$173.81,$170.64
01/15/2021,$171.34,3727244,$168.49,$172.01,$168
01/14/2021,$170.39,4090919,$170.35,$172.58,$169.97
01/13/2021,$169.83,3291825,$170.13,$171.69,$169.22
01/12/2021,$168.99,4036911,$166.29,$170.24,$165.16
01/11/2021,$166.32,3005368,$164.91,$167.4,$164.3
01/08/2021,$165.05,4971508,$163.74,$166.25,$163.04
01/07/2021,$163.71,4144388,$163.45,$164.84,$162.7861
01/06/2021,$163.07,4937017,$158.37,$165.15,$158
01/05/2021,$160.92,3911928,$159.44,$162.08,$159.1249
01/04/2021,$160.38,7243433,$160.77,$161.38,$157.13
12/31/2020,$160.51,2335557,$160.61,$160.86,$159.255
12/30/2020,$160.56,3227031,$160.6,$161.6899,$160.175
12/29/2020,$160.54,3326108,$162.95,$163.3,$159.48
12/28/2020,$162.04,2634983,$163.25,$163.83,$161.61
12/24/2020,$162.77,1044638,$162.43,$163.2,$162.1
12/23/2020,$162.43,3613660,$165,$165.63,$162.3
12/22/2020,$164.61,3275626,$164.02,$165.86,$163.6201
12/21/2020,$164.33,5153058,$162.02,$165.8636,$161.27
12/18/2020,$163.2,11916930,$163.14,$165.32,$161.8901
12/17/2020,$163.54,4471539,$164.64,$165.405,$163.08
12/16/2020,$163.2,4443487,$164.12,$166.19,$162.57
12/15/2020,$163.33,4766801,$161.13,$164.2931,$160.94
12/14/2020,$160.09,4654327,$158.77,$162.44,$158.37
12/11/2020,$157.82,5292644,$159.77,$160.11,$157.48
12/10/2020,$160.22,6647403,$159.49,$161.45,$158
12/09/2020,$160.13,11093280,$159.5,$160.98,$157.22
12/08/2020,$151.24,6737305,$152.66,$153.03,$150.46
12/07/2020,$151.99,7306753,$150.11,$152.58,$149.31
12/04/2020,$150,4709070,$151.75,$152.4,$149.83
12/03/2020,$151.97,4870135,$151.99,$153.15,$151.36
12/02/2020,$151.81,5133113,$152.4,$153,$150.44
12/01/2020,$153.4,6105759,$155.82,$156.78,$152.72
11/30/2020,$155.82,7292382,$154.46,$155.86,$151.39
11/27/2020,$154.67,2081323,$155.69,$157.3713,$154.06
11/25/2020,$154.88,5228333,$155.33,$156.46,$154.01
11/24/2020,$154.96,7192821,$154.45,$156,$153.71
11/23/2020,$153.67,6987844,$150.28,$154.14,$150.11
11/20/2020,$149.93,6015151,$149.33,$150.96,$148.89
11/19/2020,$149.6,9393703,$148.59,$151.25,$148
11/18/2020,$146.74,18087830,$150.37,$154.31,$146.719
11/17/2020,$159.86,5642100,$159.8,$161.5,$156.56
11/16/2020,$161.9,5005435,$159.07,$162,$158.66
11/13/2020,$159.23,4079036,$158.43,$159.98,$157.76
11/12/2020,$157.98,3894652,$159.28,$160,$156.635
11/11/2020,$158,4551682,$157.64,$159.62,$157
11/10/2020,$155.71,5925070,$155.6,$157.34,$153.01
11/09/2020,$153.45,10765250,$169.5,$170.25,$152.93
11/06/2020,$168.52,2673017,$169.4,$169.51,$167.438
11/05/2020,$169.25,4088125,$171.42,$173.56,$168.4
11/04/2020,$168.22,5006468,$165.41,$171.44,$165.25
11/03/2020,$164.65,2908208,$162.37,$165.47,$161.3
11/02/2020,$160.23,2978889,$159.89,$162.71,$158.14
10/30/2020,$158.1,3949225,$159.87,$160.7,$155.77
10/29/2020,$160.75,3697758,$162.26,$164.05,$160.64
10/28/2020,$161.42,4947684,$161.29,$164.47,$159.42
10/27/2020,$165.14,4425735,$169.05,$169.45,$165.013
10/26/2020,$168.13,4380849,$169.97,$171.23,$165.855
10/23/2020,$172.14,2963323,$171.46,$172.17,$169.22
10/22/2020,$171.25,3267591,$174.94,$175.25,$170.71
10/21/2020,$174.5,3431813,$177.04,$179.61,$174.32
10/20/2020,$177.09,3604505,$175.5,$179.27,$174.51
10/19/2020,$175.13,4073635,$178.23,$179.91,$174.82
10/16/2020,$177.7,3879396,$176.79,$180.67,$176.73
10/15/2020,$176.15,3632100,$171.56,$176.4,$171.01
10/14/2020,$173.61,3476180,$175.12,$175.9,$171.21
10/13/2020,$175.33,2987766,$172.86,$175.94,$172.6318
10/12/2020,$172.73,3377890,$174.84,$174.84,$172.37
10/09/2020,$173.23,4594018,$171.37,$175,$171.37
10/08/2020,$170.87,3105667,$169.49,$171.61,$168.2441
10/07/2020,$168.47,2587682,$167.72,$169.81,$166.635
10/06/2020,$164.99,2765645,$168.48,$168.98,$164.42
10/05/2020,$168.54,2437416,$168.11,$168.97,$167.01
10/02/2020,$166.49,2026575,$164.47,$167.46,$164.05
10/01/2020,$167.17,2677248,$167.34,$168.28,$165.3698
09/30/2020,$165.86,4198617,$162.98,$167.62,$162.48
09/29/2020,$162.26,2212820,$163.48,$163.97,$162.21
09/28/2020,$162.59,2815732,$161.59,$163.1,$160.51
09/25/2020,$159.55,2828842,$157.9,$160.2,$156.6
09/24/2020,$158.52,3889008,$158.77,$160.8497,$156.81
09/23/2020,$158.61,3245543,$162.44,$162.91,$157.755
09/22/2020,$161.55,3526263,$160.03,$161.79,$159.64
09/21/2020,$159.6,3929497,$157.95,$159.62,$155.2
09/18/2020,$160.1,5485112,$161.36,$163.85,$158.51
09/17/2020,$163.78,3717813,$163.11,$165.92,$161.92
09/16/2020,$166.71,3815603,$170.37,$171.72,$166.11
09/15/2020,$169.03,3998096,$167.44,$169.88,$166.615
09/14/2020,$165.19,3583326,$163.17,$165.8,$163
09/11/2020,$161.89,4870777,$160.35,$162.59,$159.44
09/10/2020,$158.33,4129178,$160.09,$162.93,$157.06
09/09/2020,$159.53,4382558,$155.89,$161.19,$155.1
09/08/2020,$153.74,4892810,$153.94,$156.86,$151.89
09/04/2020,$156.39,6303827,$162.93,$163.17,$153.44
09/03/2020,$161.52,5734405,$169.7,$170.48,$160.36
09/02/2020,$170.49,4262700,$167.86,$170.83,$166.6
09/01/2020,$167.59,4285439,$164.41,$167.64,$164.11
08/31/2020,$164.69,3421317,$165.77,$166.37,$163.6808
08/28/2020,$165.51,3291367,$166.08,$166.89,$164.09
08/27/2020,$166.31,4425020,$170.7,$171.32,$165.34
08/26/2020,$170.39,5319007,$167.66,$170.5,$167.0306
08/25/2020,$165.92,3490852,$166.39,$167.43,$164.3687
08/24/2020,$165.63,4872703,$163.69,$165.65,$163.01
08/21/2020,$161.72,4568809,$159.09,$162.08,$158.465
08/20/2020,$158.58,4288539,$156.58,$159.1627,$156.5
08/19/2020,$158.28,9727137,$161,$162.89,$156.26
08/18/2020,$157.91,5741440,$159.8,$160.6046,$157
08/17/2020,$158.41,5159599,$157.26,$158.72,$155.845
08/14/2020,$154.34,3404870,$155.57,$156.08,$153.91
08/13/2020,$155.7,2272323,$156.36,$157.148,$155.14
08/12/2020,$156.63,3792902,$156.13,$157.98,$154.555
08/11/2020,$153.87,3722973,$155.06,$155.42,$152.87
08/10/2020,$153.72,3065394,$153.23,$154.71,$153.02
08/07/2020,$152.78,2904970,$151.95,$154.12,$151.7
08/06/2020,$151.19,2450175,$150.25,$152.24,$149.64
08/05/2020,$150.26,3050364,$149.94,$150.46,$148.71
08/04/2020,$149.67,2381645,$149.75,$150.74,$148.78
08/03/2020,$150.27,3137355,$149.9,$151.35,$149.5
07/31/2020,$148.91,3928596,$149.47,$149.92,$146.61
07/30/2020,$149.2,2575043,$147.87,$149.9,$146.9
07/29/2020,$148.71,2732768,$148.04,$149.81,$148
07/28/2020,$147.71,3571838,$149.3,$149.779,$147.43
07/27/2020,$149.12,2791065,$147.23,$149.43,$147.23
07/24/2020,$147.03,3740089,$146.79,$147.62,$145.4
07/23/2020,$146.5,3664786,$149.3,$149.65,$145.4
07/22/2020,$148.54,4612952,$145.16,$149.15,$145.16
07/21/2020,$145,2628433,$143.95,$145.9199,$143.51
07/20/2020,$144.1,2769027,$143.33,$144.71,$142.9
07/17/2020,$144.39,3901389,$144.29,$144.63,$141.885
07/16/2020,$142.75,4125056,$141.22,$144.94,$140.84
07/15/2020,$141.22,3496199,$142.28,$142.34,$139.12
07/14/2020,$140.06,4360894,$136.09,$140.17,$135.8
07/13/2020,$136.55,4227187,$138.45,$140.79,$135.9
07/10/2020,$137.43,3252341,$136.26,$137.64,$134.82
07/09/2020,$135.61,3397972,$136.33,$136.94,$134.05
07/08/2020,$135.75,2754018,$135.67,$136.36,$134.42
07/07/2020,$135.02,2991690,$134.51,$136.76,$134.341
07/06/2020,$135.76,3698717,$137.42,$138.25,$135.26
07/02/2020,$135.71,3523089,$137.24,$138.179,$135.11
07/01/2020,$135.63,4802519,$135.4,$136.29,$134.75
06/30/2020,$135.12,4462362,$134.3,$135.94,$133.13
06/29/2020,$133.52,3327977,$130.37,$133.54,$129.312
06/26/2020,$129.41,5710869,$132.12,$132.84,$128.93
06/25/2020,$131.77,4022797,$131.35,$132.01,$129.65
06/24/2020,$131.98,4150138,$133.27,$134.4507,$128.97
06/23/2020,$134.28,3384224,$136.39,$136.7062,$134.17
06/22/2020,$134.72,3449218,$132.92,$135.02,$132.7805
06/19/2020,$133.83,6684331,$137.29,$137.29,$132.35
06/18/2020,$134.55,3898088,$135.22,$136.04,$133.305
06/17/2020,$135.65,7238823,$133.29,$136.78,$133.13
06/16/2020,$131.74,5024975,$131.84,$132.15,$128.6
06/15/2020,$127.73,5063425,$123.4,$127.97,$123.09
06/12/2020,$126.05,4463104,$126.76,$128.39,$123.47
