Date,Close/Last,Volume,Open,High,Low
06/29/2021,$77.21,7696607,$77,$77.33,$76.82
06/28/2021,$76.86,8796211,$77.25,$77.74,$76.79
06/25/2021,$77.2,50285190,$76.06,$77.97,$76.05
06/24/2021,$76.36,8601896,$75.73,$76.635,$75.73
06/23/2021,$75.58,9539365,$75.85,$76.26,$75.55
06/22/2021,$76.19,10957480,$76.59,$76.74,$76.01
06/21/2021,$76.75,10880840,$76.89,$77.285,$76.55
06/18/2021,$76.61,19351900,$76.74,$77.22,$76.155
06/17/2021,$77.23,14233210,$76.34,$77.465,$75.985
06/16/2021,$76.61,17576910,$76.22,$77.55,$76.19
06/15/2021,$75.7,14185980,$75.5,$75.77,$74.72
06/14/2021,$75.45,7841406,$75.74,$75.8,$74.88
06/11/2021,$76.27,13928360,$76.71,$76.86,$15.32
06/10/2021,$76.14,17236720,$75.23,$76.47,$74.74
06/09/2021,$74.04,12258680,$73,$74.3,$72.95
06/08/2021,$72.4,13657660,$72.95,$73.17,$72.075
06/07/2021,$72.8,16794400,$74.14,$74.2,$72.78
06/04/2021,$74.11,12728540,$74.2,$74.48,$73.9
06/03/2021,$73.91,15974410,$73.22,$74,$72.9
06/02/2021,$73.22,11288610,$72.6796,$73.4323,$72.641
06/01/2021,$72.5541,15075320,$73.4034,$73.4806,$72.4093
05/28/2021,$73.2393,13332930,$73.3648,$73.7315,$73.1524
05/27/2021,$73.2683,16865620,$74.7931,$74.8896,$73.2296
05/26/2021,$74.5325,9242847,$74.8413,$75.0488,$74.2816
05/25/2021,$74.7931,13675260,$76.2407,$76.4819,$74.7545
05/24/2021,$76.2696,8337703,$76.7522,$76.868,$76.2021
05/21/2021,$76.4144,10366390,$77.1382,$77.5339,$76.3179
05/20/2021,$76.8776,7008821,$76.1731,$77.1913,$76.1442
05/19/2021,$76.5881,8714507,$76.1683,$76.6267,$75.2273
05/18/2021,$76.6074,7579289,$76.5688,$77.0127,$76.1345
05/17/2021,$77.0803,11948350,$75.9222,$77.3698,$75.845
05/14/2021,$75.5555,7894197,$76.2986,$76.3854,$75.4879
05/13/2021,$75.9415,10335810,$75.1694,$76.231,$74.9233
05/12/2021,$75.2756,12766850,$74.9957,$75.7871,$74.6001
05/11/2021,$74.7545,11591970,$75.1115,$75.9077,$74.4553
05/10/2021,$75.4397,10438730,$76.067,$76.4144,$75.43
05/07/2021,$75.6713,11677010,$75.2853,$75.9125,$75.1646
05/06/2021,$75.0633,12282050,$74.7352,$75.1357,$74.0065
05/05/2021,$74.9861,12167090,$73.442,$75.015,$73.0945
05/04/2021,$73.3358,9941398,$73.4227,$73.7944,$72.887
05/03/2021,$73.3262,11968800,$71.6662,$73.3648,$71.6276
04/30/2021,$71.8978,17225330,$71.01,$72.4576,$70.9135
04/29/2021,$71.1065,29201070,$72.8629,$73.0945,$70.3055
04/28/2021,$74.3974,11095790,$74.8992,$75.2997,$74.1754
04/27/2021,$74.658,8679155,$74.711,$75.2177,$74.5228
04/26/2021,$74.822,7475389,$75.1405,$75.1887,$74.6001
04/23/2021,$75.1598,8205628,$75.1405,$75.4686,$74.7496
04/22/2021,$75.237,12720330,$76.2407,$76.2986,$74.851
04/21/2021,$76.4626,11276010,$76.1731,$76.7136,$75.9222
04/20/2021,$75.8257,10505110,$74.9668,$76.3758,$74.9668
04/19/2021,$74.9475,8145884,$74.9861,$75.0729,$74.2816
04/16/2021,$74.7641,11939690,$74.5518,$75.0343,$74.132
04/15/2021,$73.9824,13875690,$73.3937,$74.629,$73.3937
04/14/2021,$73.7315,8030134,$73.635,$74.1036,$73.3648
04/13/2021,$73.7604,8232240,$73.3165,$74.0789,$73.22
04/12/2021,$73.5578,9513983,$73.7025,$73.9245,$73.3262
04/09/2021,$73.6446,7802854,$72.8726,$73.7122,$72.7905
04/08/2021,$72.8533,11457980,$73.4227,$73.7315,$72.6506
04/07/2021,$73.4613,8559722,$73.4227,$73.7315,$73.0704
04/06/2021,$73.1428,12781170,$74.2237,$74.2526,$72.998
04/05/2021,$74.3105,9378045,$74.8124,$75.1887,$74.0973
04/01/2021,$74.3974,8703565,$74.4649,$74.7496,$74.132
03/31/2021,$74.3974,12975420,$74.407,$74.9716,$73.9631
03/30/2021,$74.2719,9659673,$75.2756,$75.3528,$74.1079
03/29/2021,$75.5651,10924190,$74.6194,$75.8016,$74.4746
03/26/2021,$74.6869,9913875,$73.4902,$74.7641,$73.2008
03/25/2021,$73.413,10210790,$73.7508,$73.9342,$72.6796
03/24/2021,$73.5771,8717012,$73.413,$74.0017,$73.2586
03/23/2021,$73.606,11117560,$74.3974,$74.6194,$73.3744
03/22/2021,$74.8027,10832900,$73.1524,$75.2756,$72.9015
03/19/2021,$74.8027,55558410,$74.5518,$75.5169,$73.3671
03/18/2021,$74.5711,13620350,$74.5614,$75.459,$74.5132
03/17/2021,$74.6001,16730810,$74.05,$74.7931,$73.3165
03/16/2021,$74.1272,14978940,$73.4902,$74.4746,$73.4806
03/15/2021,$73.5674,17182630,$72.8629,$73.8859,$72.4576
03/12/2021,$71.9944,10967460,$71.4443,$72.2742,$71.4057
03/11/2021,$72.0233,12600540,$72.2742,$72.7278,$71.9847
03/10/2021,$72.1488,12239760,$72.1488,$72.6024,$71.5118
03/09/2021,$71.5504,13540000,$71.9558,$72.8243,$71.5408
03/08/2021,$71.5794,14686380,$71.7724,$72.9208,$70.8363
03/05/2021,$70.5757,11680510,$69.9774,$70.8459,$69.4948
03/04/2021,$69.6492,15243450,$70.624,$70.7591,$69.2101
03/03/2021,$70.7398,13301490,$70.2765,$71.1518,$69.8905
03/02/2021,$70.3055,15312320,$70.2958,$70.9231,$69.8712
03/01/2021,$69.8519,12024860,$70.6529,$70.8266,$69.6589
02/26/2021,$70.0835,16836660,$71.8399,$72.1005,$70.0063
02/25/2021,$72.0137,10407380,$71.6132,$72.3804,$71.4925
02/24/2021,$71.9654,9388197,$72.1874,$72.641,$71.7917
02/23/2021,$71.9365,10401220,$72.6603,$73.3059,$71.8592
02/22/2021,$72.3128,8217998,$71.8978,$72.4383,$71.1547
02/19/2021,$71.7145,11820810,$72.805,$72.8726,$71.6662
02/18/2021,$72.7761,9552880,$72.641,$73.2296,$72.419
02/17/2021,$72.9015,13249700,$71.8592,$73.4034,$71.7724
02/16/2021,$71.6566,9288555,$72.7375,$72.7954,$71.4587
02/12/2021,$72.3804,6429473,$72.1102,$72.4865,$71.9365
02/11/2021,$72.1295,8378774,$72.197,$72.4769,$71.6373
02/10/2021,$72.2742,11184720,$72.6892,$72.7471,$71.9365
