Date,Close/Last,Volume,Open,High,Low
06/29/2021,$59.48,4718052,$60.35,$60.87,$59.27
06/28/2021,$59.75,4717579,$60.85,$60.915,$59.64
06/25/2021,$61.02,5297795,$60.38,$61.3,$60.1049
06/24/2021,$60.01,3844747,$59.53,$60.26,$59.19
06/23/2021,$59.25,3749421,$59.47,$59.735,$59.22
06/22/2021,$59.27,8709267,$59.61,$59.72,$58.755
06/21/2021,$59.68,6101196,$58.69,$59.805,$58.69
06/18/2021,$58.3,11839030,$58.88,$59.49,$57.855
06/17/2021,$60.25,8559826,$64.05,$64.14,$59.735
06/16/2021,$63.71,6469754,$63.42,$64.25,$62.63
06/15/2021,$63.77,5691755,$63.48,$64.31,$63.17
06/14/2021,$63.31,4529180,$63.95,$64.44,$63.09
06/11/2021,$64.11,3424200,$64.1,$64.37,$63.84
06/10/2021,$63.89,4313222,$65.58,$65.75,$63.87
06/09/2021,$64.68,3505302,$65.68,$65.75,$64.65
06/08/2021,$66.04,3482409,$65.73,$66.27,$64.96
06/07/2021,$66.21,2835164,$66.67,$66.7,$65.92
06/04/2021,$66.56,3156015,$66.37,$66.57,$65.8
06/03/2021,$66.37,4214972,$65.78,$66.85,$65.6503
06/02/2021,$66.09,3967379,$66.87,$66.89,$65.875
06/01/2021,$66.51,5115840,$66.27,$66.96,$66.115
05/28/2021,$65.36,3860739,$65.86,$65.995,$64.485
05/27/2021,$65.66,6816375,$65.22,$65.79,$64.63
05/26/2021,$64.27,5633993,$64.43,$64.44,$63.4101
05/25/2021,$64.02,5372887,$65.61,$66.12,$63.92
05/24/2021,$65.37,3419992,$64.91,$65.6,$64.66
05/21/2021,$64.71,4852802,$64.76,$65.38,$64.39
05/20/2021,$64.46,3877492,$64.81,$65.06,$63.985
05/19/2021,$64.83,4700110,$64.73,$64.99,$63.52
05/18/2021,$65.39,5026342,$65.45,$66.02,$65.34
05/17/2021,$65.7,3560129,$65.71,$66.055,$65.19
05/14/2021,$65.9,3640944,$65,$66.175,$64.84
05/13/2021,$64.55,4941459,$63.16,$65.08,$62.84
