Date,Close/Last,Volume,Open,High,Low
06/29/2021,$271.4,19937810,$268.865,$271.65,$267.98
06/28/2021,$268.72,19590020,$266.185,$268.9,$265.91
06/25/2021,$265.02,25611110,$266.23,$267.25,$264.76
06/24/2021,$266.69,21446870,$266.16,$267.85,$265.47
06/23/2021,$265.275,19518680,$265.99,$266.83,$264.43
06/22/2021,$265.51,24694090,$262.72,$265.79,$262.4
06/21/2021,$262.63,26696120,$259.82,$263.52,$257.92
06/18/2021,$259.43,37202220,$259.63,$262.3,$258.75
06/17/2021,$260.9,27565540,$256.065,$261.75,$256.01
06/16/2021,$257.38,27219960,$259.4,$260.58,$254.42
06/15/2021,$258.36,18038930,$259.775,$259.99,$257.68
06/14/2021,$259.89,19150510,$257.9,$259.95,$256.8
06/11/2021,$257.89,18999730,$257.985,$258.4868,$256.61
06/10/2021,$257.24,24563620,$254.29,$257.46,$253.67
06/09/2021,$253.59,17937630,$253.81,$255.53,$253.21
06/08/2021,$252.57,22455000,$255.16,$256.01,$252.51
06/07/2021,$253.81,23079170,$249.98,$254.09,$249.81
06/04/2021,$250.79,25281090,$247.76,$251.65,$247.51
06/03/2021,$245.71,25307710,$245.22,$246.34,$243
06/02/2021,$247.3,19406710,$248.125,$249.27,$245.84
06/01/2021,$247.4,23213310,$251.23,$251.29,$246.96
