Date,Close/Last,Volume,Open,High,Low
06/29/2021,$62.34,4480345,$62.82,$63.02,$62.155
06/28/2021,$63.19,4611347,$63.09,$63.48,$63.07
06/25/2021,$63.18,5676059,$62.47,$63.3,$62.435
06/24/2021,$62.65,5778941,$62.28,$62.905,$61.9
06/23/2021,$62.33,4656308,$62.55,$62.8,$62.32
06/22/2021,$62.87,6229974,$62.66,$63.04,$62.54
06/21/2021,$62.66,9008370,$62.43,$62.89,$62.19
06/18/2021,$62.14,16415000,$63.04,$63.15,$61.87
06/17/2021,$63.19,7435736,$62.764,$63.355,$62.55
06/16/2021,$62.74,7275448,$63.34,$63.7917,$62.71
06/15/2021,$63.66,6101002,$63.86,$63.92,$63.51
06/14/2021,$63.79,4344570,$63.32,$63.8,$63.25
06/11/2021,$63.78,3479541,$63.88,$63.88,$63.39
06/10/2021,$63.63,6471870,$63.34,$63.855,$63.295
06/09/2021,$63.31,5561281,$63.15,$63.5883,$63.01
06/08/2021,$63.29,6290995,$63.63,$63.805,$63.17
06/07/2021,$63.67,6339548,$64.25,$64.27,$63.3
06/04/2021,$64.02,4693223,$63.865,$64.37,$63.73
06/03/2021,$63.74,4715725,$63.37,$63.8,$63.32
06/02/2021,$63.62,6288810,$63.44,$63.65,$63.29
06/01/2021,$63.33,5889780,$63.8,$63.96,$63.11
05/28/2021,$63.53,9001080,$63.53,$63.84,$63.47
05/27/2021,$63.31,7659326,$63.62,$63.83,$63.255
05/26/2021,$63.63,6652347,$63.95,$63.96,$63.3805
05/25/2021,$63.71,5383122,$63.82,$63.82,$63.2032
05/24/2021,$63.68,5996422,$63.52,$64.02,$63.4
05/21/2021,$63.36,8476229,$63.293,$63.685,$62.92
05/20/2021,$63.11,6706778,$62.23,$63.32,$62.22
05/19/2021,$62.34,6217511,$61.99,$62.39,$61.72
05/18/2021,$62.18,4068067,$62.42,$62.69,$62.0721
05/17/2021,$62.47,6976237,$62.57,$62.79,$62.14
05/14/2021,$62.37,5171350,$62.69,$62.9,$62.36
05/13/2021,$62.39,6789245,$61.47,$62.74,$61.37
05/12/2021,$61.56,7914118,$62.14,$62.14,$61.4243
05/11/2021,$61.95,7675181,$62.337,$62.63,$61.505
05/10/2021,$62.07,6402459,$62.24,$62.67,$61.97
05/07/2021,$61.85,5903157,$62.4387,$62.4387,$61.54
05/06/2021,$61.72,6330329,$61.08,$61.88,$61.02
05/05/2021,$61.14,8432289,$60.94,$61.3,$60.495
05/04/2021,$60.74,9154246,$61.37,$61.78,$60.555
05/03/2021,$61.41,7228955,$60.91,$61.775,$60.91
04/30/2021,$60.81,9065828,$60.94,$61.0199,$60.185
04/29/2021,$60.91,8424268,$60.88,$61.245,$60.46
04/28/2021,$60.88,15347970,$60.44,$61.87,$60.14
04/27/2021,$58.72,7653815,$58.61,$58.94,$58.49
04/26/2021,$58.77,7693904,$59.47,$59.61,$58.67
04/23/2021,$59.51,6588521,$59.59,$59.96,$59.37
04/22/2021,$59.55,8847993,$59.45,$59.77,$59.29
04/21/2021,$59.57,7953663,$59.37,$59.795,$59.3
04/20/2021,$59.21,7610725,$58.77,$59.4616,$58.315
