Date,Close/Last,Volume,Open,High,Low
06/29/2021,$78.1,5392865,$78.54,$78.59,$77.82
06/28/2021,$78.5,5605358,$78.49,$78.965,$78.33
06/25/2021,$78.46,12845040,$78.03,$78.61,$77.563
06/24/2021,$77.74,9623990,$78.65,$78.96,$77.605
06/23/2021,$78.1,7295957,$78.76,$78.87,$78.06
06/22/2021,$78.68,9845790,$78.06,$79.19,$77.66
06/21/2021,$77.99,8924329,$76.61,$78.1,$76.55
06/18/2021,$76.23,22521190,$76.9,$76.91,$75.975
06/17/2021,$77.56,14836060,$76.99,$77.74,$76.56
06/16/2021,$77.08,36560610,$77.99,$78.55,$75.9
06/15/2021,$81.64,17298050,$82,$82.51,$81.35
06/14/2021,$82.62,10173180,$83,$83.1,$82.13
06/11/2021,$82.9,11066520,$81.98,$83.24,$81.84
06/10/2021,$82.3,16680780,$84.16,$84.46,$81.71
06/09/2021,$84.52,9720292,$84.6,$84.83,$84.03
06/08/2021,$84.61,10726820,$84.03,$85.03,$83.995
06/07/2021,$83.94,10445620,$82.94,$84.25,$82.85
06/04/2021,$82.89,14502890,$81.415,$83.96,$81.37
06/03/2021,$81.09,12038730,$79.8,$81.46,$79.65
06/02/2021,$80.27,12249540,$79.7,$80.93,$79.51
06/01/2021,$79.57,10485640,$79.58,$79.83,$78.48
05/28/2021,$78.74,6929875,$78.95,$79.36,$78.67
05/27/2021,$78.98,12867810,$79.5,$80.05,$78.84
05/26/2021,$79.26,12851070,$78.59,$79.37,$78.551
05/25/2021,$78.83,7160582,$79.615,$79.68,$78.65
05/24/2021,$79.38,7044732,$79.49,$79.876,$79.14
05/21/2021,$79.03,8628957,$79.19,$79.85,$78.98
05/20/2021,$78.72,8802676,$78.95,$79.32,$78.68
05/19/2021,$78.74,8165040,$77.81,$78.77,$77.55
05/18/2021,$78.69,6643073,$78.99,$79.47,$78.39
05/17/2021,$79.08,6636995,$78.88,$79.53,$78.85
05/14/2021,$78.89,9033402,$78.12,$79.05,$78.12
05/13/2021,$78.14,11399490,$77.53,$78.44,$76.88
05/12/2021,$76.75,12302580,$77.57,$78.19,$76.53
05/11/2021,$77.69,12980390,$79.75,$79.9,$77.2514
05/10/2021,$80.15,17356660,$78.77,$80.7233,$78.6
05/07/2021,$80.4,14073450,$79.81,$80.54,$78.58
05/06/2021,$79.74,14089720,$79.18,$79.961,$78.56
05/05/2021,$79.19,8720347,$78.97,$79.83,$78.72
05/04/2021,$78.53,15316550,$77.07,$78.7,$76.93
05/03/2021,$77.33,15319640,$76.28,$77.48,$76.08
04/30/2021,$75.79,7825321,$75.56,$75.92,$75.19
04/29/2021,$75.87,7940387,$75.38,$75.9,$74.64
04/28/2021,$74.77,6107809,$75.16,$75.27,$74.66
04/27/2021,$75.22,9300188,$74.39,$75.425,$74.22
