Date,Close/Last,Volume,Open,High,Low
06/29/2021,$97.94,3237506,$98.95,$98.95,$97.505
06/28/2021,$98.67,3933603,$99.35,$99.45,$98.47
06/25/2021,$99.04,5920502,$99.03,$99.145,$98.71
06/24/2021,$99.03,5180321,$97.92,$99.18,$97.915
06/23/2021,$100.05,10206080,$100.02,$100.68,$99.94
06/22/2021,$100,3750685,$100,$100.79,$99.84
06/21/2021,$100.16,11527220,$100,$100.5605,$99.725
06/18/2021,$99.5,15687180,$99.18,$99.87,$98.21
06/17/2021,$100,6795813,$100,$100.66,$99.67
06/16/2021,$99.92,7440004,$100.87,$100.95,$99.51
06/15/2021,$100.46,4253055,$100.41,$100.87,$100.045
06/14/2021,$100.5,9309454,$99.2,$100.62,$98.78
06/11/2021,$98.84,5530629,$98.1,$98.86,$97.805
06/10/2021,$97.55,3065852,$96.81,$97.6,$96.81
06/09/2021,$96.75,2554954,$96.41,$97.3081,$96.24
06/08/2021,$96.4,5455518,$98.7,$98.95,$96.21
06/07/2021,$98.56,4370781,$98.09,$98.68,$97.8
06/04/2021,$97.9,4471637,$98,$98.13,$97.47
06/03/2021,$97.37,3367348,$96.27,$97.51,$96.08
06/02/2021,$96.81,4372999,$97.21,$97.37,$96.405
06/01/2021,$96.78,2717228,$97.01,$97.59,$96.535
05/28/2021,$96.43,3746643,$96.5,$97.21,$96.38
05/27/2021,$96.68,3342716,$97.47,$97.79,$96.31
05/26/2021,$97.31,2788664,$97.43,$97.7,$96.85
05/25/2021,$97.52,3371575,$98.04,$98.3,$96.7
05/24/2021,$98.16,3043997,$97.76,$98.49,$97.26
05/21/2021,$97.42,3489020,$97.65,$97.99,$96.7
05/20/2021,$97.42,2582578,$96.21,$97.78,$96.105
05/19/2021,$96.31,5339204,$97.36,$97.36,$95.84
05/18/2021,$97.69,3240057,$97.51,$97.92,$97.08
05/17/2021,$97.55,2251409,$97.51,$98.265,$97.51
05/14/2021,$97.7,2375180,$97.95,$98.56,$97.64
05/13/2021,$97.55,4091329,$95.93,$97.98,$95.83
05/12/2021,$96.2,3827954,$97.57,$97.83,$96.085
05/11/2021,$97.29,3544218,$98.34,$98.46,$96.57
05/10/2021,$98.06,4465751,$97.63,$98.62,$97.58
05/07/2021,$97.41,2718611,$96.63,$97.615,$96.38
05/06/2021,$96.82,6201117,$95.99,$96.98,$95.675
05/05/2021,$95.44,3198774,$94.81,$95.54,$94.6
05/04/2021,$94.91,5339823,$95.83,$96.23,$94.595
05/03/2021,$95.85,3754990,$95.51,$96.537,$95.15
04/30/2021,$95,5031583,$95.38,$95.4,$94.4
04/29/2021,$95.09,4701847,$94.28,$95.18,$93.81
04/28/2021,$94.15,3069504,$95,$95.265,$94.06
04/27/2021,$94.51,4044388,$94.47,$94.8,$94.15
04/26/2021,$94.39,3157045,$94.59,$94.83,$94.01
04/23/2021,$94.61,3747111,$93.47,$94.71,$93.38
04/22/2021,$94.01,4860968,$94,$94.73,$93.76
04/21/2021,$94.19,5418333,$94,$95.6,$93.97
04/20/2021,$94,8163892,$91.09,$94.64,$90.21
04/19/2021,$91.67,7362863,$93.35,$93.43,$91.46
04/16/2021,$92.91,4948482,$92.44,$93.09,$91.95
04/15/2021,$91.83,4333214,$91.69,$92.54,$91.4
04/14/2021,$91.07,4058662,$90.73,$91.285,$90.4304
04/13/2021,$90.78,5639682,$90.11,$90.995,$89.99
04/12/2021,$91.39,4366552,$91.15,$91.75,$90.83
04/09/2021,$91.07,5181101,$89.7,$91.11,$89.57
04/08/2021,$89.44,5044978,$88.52,$89.66,$88.3
04/07/2021,$88.28,3354651,$88.75,$89.04,$87.74
