Date,Close/Last,Volume,Open,High,Low
06/29/2021,$130.99,2201529,$130.61,$132.22,$130.58
06/28/2021,$130.2,1904208,$131,$131.03,$128.25
06/25/2021,$131.07,2322908,$131.01,$131.6,$129.85
06/24/2021,$130.62,2019938,$132.8,$132.875,$129.88
06/23/2021,$132.21,1805384,$131.34,$132.99,$130.81
06/22/2021,$130.25,1971565,$131.19,$131.4,$129.23
06/21/2021,$131.5,2335456,$126.92,$131.82,$126.4
06/18/2021,$125.33,4232281,$127.05,$128.2107,$125.28
06/17/2021,$128.66,2784254,$130.37,$130.96,$126.05
06/16/2021,$130.73,1820739,$130.98,$132.5063,$130.04
06/15/2021,$131.29,2453839,$132.65,$133.61,$130.3
06/14/2021,$133.28,1474613,$134.19,$135.2,$132.0901
06/11/2021,$134.23,1976382,$134.7,$134.84,$133.32
06/10/2021,$134.54,2225946,$135.76,$136.57,$132.7
06/09/2021,$135.59,2075611,$136.41,$136.63,$135.31
06/08/2021,$135.71,2590916,$134.61,$136.7,$133.8999
06/07/2021,$134,1796933,$132.14,$134.25,$131.77
06/04/2021,$132.27,1952307,$134.65,$134.9321,$131.62
06/03/2021,$134.06,2060884,$134.38,$134.75,$132.03
06/02/2021,$135.19,2685740,$134.38,$135.515,$132.35
06/01/2021,$134.19,3726870,$129.7,$134.21,$129.7
05/28/2021,$128.49,1929771,$128.83,$129.2,$127.66
05/27/2021,$128.29,3172059,$127.5,$128.72,$127.1
05/26/2021,$126.7,1765768,$124.66,$127.02,$123.8
05/25/2021,$124.4,1671864,$125,$126.6899,$124.18
05/24/2021,$124.64,1975792,$123.2,$124.98,$122.31
05/21/2021,$122.38,1854549,$122.84,$124.31,$121.95
05/20/2021,$122.57,1669846,$122.03,$123.0865,$120.75
05/19/2021,$122.27,2049023,$120.15,$122.32,$118.41
05/18/2021,$122.57,2552302,$122.01,$123.85,$120.72
05/17/2021,$122.24,1609641,$122,$123.18,$121.2101
05/14/2021,$122.18,2477530,$118.75,$122.95,$118.75
05/13/2021,$117.99,3585560,$117.62,$121.31,$116.53
05/12/2021,$117.62,3293956,$122.64,$123.36,$117.21
05/11/2021,$122.64,5664437,$121.77,$123.97,$119.572
05/10/2021,$126.75,5105094,$125.99,$128.25,$125.64
05/07/2021,$124.94,2685991,$122.33,$125,$121.8
05/06/2021,$122.92,2044180,$121.14,$122.98,$120.28
05/05/2021,$120.92,1899603,$120.96,$122.65,$120.335
05/04/2021,$121.36,2730891,$123.04,$123.96,$120.4
05/03/2021,$123.2,2627770,$122.69,$123.83,$121.64
04/30/2021,$121.74,2752144,$122.93,$123.095,$120.9333
04/29/2021,$123.33,2281447,$124.27,$125.55,$121.77
04/28/2021,$123.1,2297945,$122.67,$125.42,$122.65
04/27/2021,$122.36,3301125,$120.96,$123.3,$119.46
04/26/2021,$120.17,3268375,$118.9,$121.7,$118.43
04/23/2021,$116.92,2349546,$116.31,$117.12,$115.41
04/22/2021,$115.65,2591419,$117.78,$119.06,$115.57
04/21/2021,$117.63,2467876,$113.97,$117.9,$112.61
04/20/2021,$114.26,2180145,$115.51,$116.42,$113.12
04/19/2021,$116.56,1753564,$116.6,$116.89,$114.95
04/16/2021,$117.12,3249476,$116.51,$118.5,$115.93
04/15/2021,$114.57,2314149,$115,$115.56,$113.62
04/14/2021,$113.76,2657393,$113.71,$115.75,$113.56
04/13/2021,$113.38,3681705,$113.7,$114.1,$111.3
04/12/2021,$114.74,2994185,$116.41,$116.87,$113.4401
04/09/2021,$115.91,1669935,$114.69,$116.21,$114.04
04/08/2021,$114.33,2364289,$115.06,$115.64,$113.61
04/07/2021,$117.01,2541120,$117.05,$117.71,$115.12
04/06/2021,$116.49,2499962,$114.73,$116.86,$114.51
04/05/2021,$115.05,2911854,$116,$116,$113.27
04/01/2021,$115.2,2858623,$114.99,$115.35,$112.63
03/31/2021,$113.77,2507346,$114.61,$115.65,$113.47
03/30/2021,$115.39,2087809,$113.98,$116.45,$113.7
03/29/2021,$113.81,3331390,$114.41,$115.24,$110.96
03/26/2021,$114.67,2674128,$114.7,$116.66,$112.21
03/25/2021,$113.64,3852094,$107.81,$114.15,$106.68
03/24/2021,$109.4,3428008,$111.12,$114.28,$109.39
03/23/2021,$110.41,3682176,$114.66,$114.96,$109.52
03/22/2021,$115.25,2725948,$116.51,$116.88,$113.8412
03/19/2021,$116.69,4471177,$117.21,$118.46,$114.11
03/18/2021,$116.82,6078999,$117.64,$120.82,$115.63
03/17/2021,$118.24,2232364,$116.82,$118.66,$116.46
03/16/2021,$117.19,3633348,$121,$121.11,$116.745
03/15/2021,$121.01,3818710,$118.15,$121.92,$116.85
03/12/2021,$117.85,2619860,$115.75,$118.03,$115.6
03/11/2021,$115.84,5177923,$114.46,$117.02,$113.27
03/10/2021,$114.31,2989669,$110.94,$114.93,$110.69
03/09/2021,$111,2863360,$112.2,$112.75,$108.71
03/08/2021,$111.7,3387333,$112.39,$114.97,$111.17
03/05/2021,$111.17,4576627,$111.56,$112.29,$104.12
03/04/2021,$110.11,5024242,$114.03,$115.16,$106.75
03/03/2021,$113.99,4274566,$112.1,$115.725,$112.05
03/02/2021,$111.68,3371909,$113.84,$114.11,$111.34
03/01/2021,$113.92,3611355,$116.2,$117.85,$113.84
02/26/2021,$112.92,3964361,$113.87,$116.46,$111.26
02/25/2021,$114.82,4935013,$119.85,$121.3099,$113.65
02/24/2021,$119,4698055,$115.04,$121.13,$114.5
02/23/2021,$115.12,4174400,$115.38,$115.935,$110.06
02/22/2021,$112.77,4256286,$108.93,$115.3299,$108.93
02/19/2021,$109.43,3073339,$107.42,$109.93,$106.7
02/18/2021,$106.52,3315898,$107.39,$108.6418,$105.7238
02/17/2021,$108.23,2754206,$109.5,$110.49,$107.1
02/16/2021,$109.98,3719690,$108.94,$111.42,$108.63
02/12/2021,$109.26,2264396,$108.53,$110.6364,$107.71
02/11/2021,$109.27,4696669,$108.15,$111.4223,$107.25
02/10/2021,$106.22,4318265,$104.39,$108.65,$103.1
02/09/2021,$102.55,6002169,$102.5,$105.0143,$101.35
02/08/2021,$98.94,4464400,$97.6,$99.47,$96.6604
02/05/2021,$96.75,2547665,$96.41,$97.9,$95.92
02/04/2021,$95.16,2793963,$93.38,$96.24,$93.38
02/03/2021,$93.38,2986857,$92.36,$93.75,$91.02
02/02/2021,$92.46,2987160,$94.11,$94.11,$91.36
02/01/2021,$92.94,3774058,$93.43,$93.6,$90.56
01/29/2021,$92.93,4517443,$97.19,$97.829,$92.11
01/28/2021,$97.51,3124656,$97.24,$99.03,$96.689
01/27/2021,$96.64,5775876,$98.23,$103.5,$96.09
01/26/2021,$99.05,3720134,$98.5,$99.66,$96.64
01/25/2021,$97.48,5322652,$94.66,$100.17,$94
01/22/2021,$95.49,3692668,$93,$96,$92.05
01/21/2021,$94.51,3060277,$94.99,$95.76,$93.7
01/20/2021,$95.29,3904126,$92.33,$96.01,$92.02
01/19/2021,$92.67,3094470,$93.1,$93.78,$90.74
01/15/2021,$93,4006549,$94,$94.24,$92.33
01/14/2021,$94.95,7465789,$89.42,$95.7457,$89.31
01/13/2021,$88.87,4295624,$85.4,$89.28,$85.4
01/12/2021,$85.43,4103368,$83.84,$85.99,$83.21
01/11/2021,$83.14,3993173,$85.54,$85.6,$82.85
01/08/2021,$86.49,3692512,$85.34,$86.5,$83.7001
01/07/2021,$85.13,4227791,$85.84,$87.24,$84.51
01/06/2021,$85.07,8356317,$84,$86.48,$83.75
01/05/2021,$83.17,4647855,$83.15,$84.315,$82.93
01/04/2021,$82.81,4299356,$85.66,$86.24,$82.06
12/31/2020,$85.28,2488315,$83.52,$85.35,$82.3573
12/30/2020,$83.97,2791371,$83.21,$85.55,$83.21
12/29/2020,$83.29,2281160,$85.79,$86.57,$82.942
12/28/2020,$85.48,3105049,$84.53,$86.15,$84.51
12/24/2020,$84.37,810693,$84,$84.59,$83.05
12/23/2020,$83.65,2768557,$83.34,$85.25,$83.21
12/22/2020,$83.72,4147012,$85.5,$85.56,$82.02
12/21/2020,$83.65,4629060,$83.95,$84.5,$82.25
12/18/2020,$85.43,6377054,$88.74,$89.07,$84.92
12/17/2020,$89.03,3002043,$89.19,$89.23,$87.49
12/16/2020,$88.28,3371553,$88.34,$90.3,$88.13
12/15/2020,$89.74,5302251,$88.44,$89.76,$87.221
12/14/2020,$87.32,4841380,$90,$90.18,$86.7556
12/11/2020,$87.9,4907620,$89.21,$89.93,$86.29
12/10/2020,$90.44,3045984,$89.12,$90.96,$89.08
12/09/2020,$90.84,4596377,$90.62,$92.16,$89.19
12/08/2020,$90.11,4603112,$89.73,$91.9488,$88.5
12/07/2020,$89.37,6097036,$93.7,$93.8,$89
12/04/2020,$93.91,5268464,$92.24,$94.3596,$90.7075
12/03/2020,$89.63,5490001,$87.89,$91.7,$87.29
12/02/2020,$87.25,4333205,$83.73,$87.99,$82.6
12/01/2020,$84.99,4872837,$84.65,$86.29,$83.89
11/30/2020,$82.57,6987259,$85.32,$86.9,$82.4
11/27/2020,$85.55,2305940,$87.96,$88.6,$85.53
11/25/2020,$87.19,5973286,$88.41,$88.88,$86.3001
11/24/2020,$88.79,9742172,$88.74,$91.37,$88.4211
11/23/2020,$85.41,10874790,$84.75,$86.3,$82.3
11/20/2020,$81.12,9733729,$80.48,$81.7898,$79.26
11/19/2020,$80.63,16282190,$75.99,$81.33,$75.49
11/18/2020,$76.61,7493306,$77.87,$81.0408,$76.6
11/17/2020,$78.96,6171849,$77.95,$81.33,$76.98
11/16/2020,$78.96,13224920,$79.95,$82.42,$78.85
11/13/2020,$74.7,7752269,$71.63,$75.1493,$70.8
11/12/2020,$69.14,8150313,$71.662,$72.63,$68.01
11/11/2020,$73.41,6844611,$77.98,$78.5,$72.52
11/10/2020,$78.84,14440410,$76.7,$84.49,$75.31
11/09/2020,$79.1,24996210,$74.87,$82.5,$73.1
