Date,Close/Last,Volume,Open,High,Low
06/29/2021,$144.99,3197172,$144.69,$145.34,$144.14
06/28/2021,$145.04,2826159,$145.27,$145.58,$144.41
06/25/2021,$145.34,3376436,$145.79,$146.24,$144.8
06/24/2021,$145.6,2181600,$145.38,$146.07,$144.87
06/23/2021,$145.03,2416179,$145.4,$145.68,$144.505
06/22/2021,$145.82,2621930,$145.71,$146,$145.01
06/21/2021,$145.66,3801916,$145.97,$146.19,$145.08
06/18/2021,$144.7,5430892,$146.23,$146.485,$144.29
06/17/2021,$146.45,3494570,$144.99,$147.875,$144.81
06/16/2021,$144.91,4184063,$145.8,$146.28,$143.26
06/15/2021,$145.68,3169605,$145.38,$146.76,$145.01
06/14/2021,$145.26,3477876,$144.99,$145.57,$144.5601
06/11/2021,$145.35,4072850,$146.58,$146.65,$144.37
06/10/2021,$146.51,3592185,$147.6,$148.695,$146.22
06/09/2021,$147.27,4125035,$145.59,$147.95,$145.59
06/08/2021,$145.39,4960601,$143.9,$145.68,$143.9
06/07/2021,$143.51,2758231,$143.91,$144.82,$142.955
06/04/2021,$144.51,3484039,$142.99,$144.77,$142.495
06/03/2021,$142.32,4503705,$140.217,$142.86,$140.02
06/02/2021,$140.98,3589665,$141.8,$142.11,$139.94
06/01/2021,$141.7,3752704,$141.66,$142.91,$141.45
05/28/2021,$141.45,4197731,$141.81,$142.605,$141.41
05/27/2021,$141.31,8141098,$140.48,$142.16,$139.81
05/26/2021,$139.65,6267104,$136.78,$140.865,$136.63
05/25/2021,$136.76,6094287,$137.97,$138.88,$136.73
05/24/2021,$137.73,4432041,$136.6,$138.41,$136.1945
05/21/2021,$136.05,3718978,$137.34,$137.43,$135.79
05/20/2021,$136.16,4445979,$134.59,$136.68,$134.3
05/19/2021,$134.35,6709196,$133.67,$134.67,$132.49
05/18/2021,$135,8235639,$139.98,$139.98,$134.86
05/17/2021,$140.2,5451723,$140.15,$140.47,$139.17
05/14/2021,$141.52,5331130,$139.06,$143.09,$138.73
05/13/2021,$138.12,3737977,$137.07,$139.1,$136.45
05/12/2021,$136.64,3903568,$135.98,$137.38,$135.85
05/11/2021,$138,3151621,$135.11,$138.25,$134.6686
05/10/2021,$135.81,5251565,$138.33,$139.72,$135.69
05/07/2021,$139.12,5831552,$138.58,$140.19,$138.35
05/06/2021,$138.88,8150179,$133.68,$138.98,$132.21
05/05/2021,$134.13,8802928,$131.46,$135.33,$131.42
05/04/2021,$128.48,4891763,$130.83,$131.13,$127.09
05/03/2021,$131.45,4192277,$132.58,$132.78,$130.91
04/30/2021,$132.13,4138415,$133.05,$133.18,$131.51
04/29/2021,$134.01,3402002,$132.15,$134.07,$132.15
04/28/2021,$132.08,2011401,$132.35,$132.635,$131.53
04/27/2021,$132.92,3008587,$133.11,$133.24,$131.48
04/26/2021,$132.5,2721749,$133.41,$133.41,$131.905
04/23/2021,$133.32,3025541,$131.75,$133.905,$131.4
04/22/2021,$131.73,3324462,$132,$132.88,$130.59
04/21/2021,$132.12,3368371,$130.96,$132.5,$129.81
04/20/2021,$130.55,3332393,$131.7,$131.7,$128.48
04/19/2021,$131.99,2575824,$133.59,$133.64,$131.92
04/16/2021,$133.05,3540286,$131.99,$133.55,$131.315
04/15/2021,$131.47,3241245,$131.1,$131.8,$130.12
04/14/2021,$129.9,2921544,$130.68,$130.79,$129.61
04/13/2021,$130.79,4516398,$130.3,$131.2,$129.67
04/12/2021,$130.76,2435777,$128.49,$131,$128.23
04/09/2021,$129.03,2388312,$130.53,$130.53,$128.18
04/08/2021,$130.11,2422809,$130.88,$130.9063,$129.61
04/07/2021,$130.02,3057107,$130.91,$131.1,$129.09
04/06/2021,$131.43,4906642,$130.37,$131.99,$130.37
04/05/2021,$131.4,4316131,$128.47,$131.66,$128.23
04/01/2021,$127.65,4281660,$125.86,$127.66,$124.85
03/31/2021,$125.29,4160388,$124.247,$125.93,$124.15
03/30/2021,$124.64,4592512,$123.53,$125.385,$122.2818
03/29/2021,$123.46,3255974,$122.56,$124.67,$121.9
03/26/2021,$122.99,4274705,$123.87,$124.7199,$121.0238
03/25/2021,$123.48,4259288,$124.21,$124.28,$121.15
03/24/2021,$122.36,3673104,$125.277,$125.3,$122.31
03/23/2021,$124.39,3653238,$126.94,$127.33,$124.22
03/22/2021,$126.11,4851005,$124.66,$127.1,$124.64
03/19/2021,$124.19,8848346,$124.73,$125.71,$122.96
03/18/2021,$124.91,3835061,$125.375,$126.54,$124.82
03/17/2021,$127.3,3471786,$126.33,$128.02,$125.52
03/16/2021,$127.78,4433176,$125.8,$128.81,$124.84
03/15/2021,$125.63,5601115,$128.32,$128.57,$124.08
03/12/2021,$127.12,6122524,$126.57,$127.67,$124.68
03/11/2021,$125.99,8824488,$127.86,$130.2,$123.88
03/10/2021,$127.41,4027759,$128.43,$129.12,$126.06
03/09/2021,$126.31,6409488,$129.02,$129.84,$125.46
03/08/2021,$127.06,7416016,$124.09,$128.46,$123.85
03/05/2021,$124.68,7944302,$120.02,$125.35,$118.54
03/04/2021,$118.61,4884173,$119.19,$121.52,$117.41
03/03/2021,$118.84,5390215,$121.44,$121.94,$118.62
03/02/2021,$122.45,4797734,$123.9,$124.56,$122.42
03/01/2021,$123.57,5813819,$120.31,$123.93,$120.27
02/26/2021,$119.97,5117952,$119.75,$121.66,$118.88
02/25/2021,$120.89,11337270,$124.49,$125.34,$119.74
02/24/2021,$119.38,4424972,$117.72,$119.51,$116.77
02/23/2021,$119.22,6390227,$117.88,$119.65,$115.89
02/22/2021,$117.91,5138507,$119.15,$119.85,$117.4
02/19/2021,$120.1,4961134,$123.1,$123.7214,$119.4
02/18/2021,$123.04,6126292,$120.846,$123.24,$119.6
02/17/2021,$121.3,6108997,$121.89,$122.95,$120.83
02/16/2021,$122,4247536,$122.98,$123.3799,$121.38
02/12/2021,$123.68,2713023,$123.81,$124.05,$122.675
02/11/2021,$124.4,3085307,$125.43,$125.45,$123.46
02/10/2021,$124.49,2879980,$125.112,$125.66,$124.32
02/09/2021,$124.45,3342881,$125.92,$125.99,$124.045
02/08/2021,$126.1,5742639,$126.2,$126.26,$122.54
02/05/2021,$125.28,10319060,$129.02,$129.59,$124.55
02/04/2021,$130.6,7395974,$130.31,$130.85,$129.3732
02/03/2021,$129.37,3918351,$131.85,$132.65,$128.75
02/02/2021,$131.89,3455993,$128.63,$132.41,$128.065
02/01/2021,$128.42,4070209,$126.29,$129.35,$125.21
01/29/2021,$126.08,4597364,$126.56,$129.23,$125.37
01/28/2021,$127.77,5000209,$125.79,$129.6,$124.5
01/27/2021,$123.27,7023139,$129.69,$130,$122.45
01/26/2021,$131.41,3218974,$130.02,$132.71,$130
01/25/2021,$131.1,2892807,$130.75,$132.4,$129.6708
01/22/2021,$130.36,2501591,$130.44,$131.32,$129.12
01/21/2021,$130.4,2688341,$132.71,$132.71,$129.85
01/20/2021,$132.3,4230427,$130.12,$132.42,$129.5
01/19/2021,$129.85,4033823,$128.69,$130.43,$127.12
01/15/2021,$127.28,4741035,$124.75,$127.9,$124.75
01/14/2021,$124.69,6359743,$129.03,$130.42,$123.9
01/13/2021,$128.5,2917272,$129.14,$129.9,$128.45
01/12/2021,$128.69,5374573,$132.88,$133.4699,$127.67
01/11/2021,$132.93,3084163,$134,$135.54,$132.75
01/08/2021,$135.06,2951158,$133.26,$135.2,$132.23
01/07/2021,$133.19,4928104,$133.81,$135.45,$133.16
01/06/2021,$131.53,4485950,$130.72,$131.98,$129.61
01/05/2021,$131.85,2544524,$131.95,$132.24,$130.455
01/04/2021,$132.43,3433164,$134.3,$134.98,$130.46
12/31/2020,$134.85,2080626,$133.15,$135,$133.105
12/30/2020,$133.28,1673134,$133.52,$133.83,$132.51
12/29/2020,$133.14,1672539,$133.52,$133.97,$131.65
12/28/2020,$133,2569114,$134.23,$134.76,$131.4
12/24/2020,$132.92,901102,$132.78,$133.83,$132.59
12/23/2020,$132.23,2152440,$132.25,$132.87,$130.95
12/22/2020,$132.25,3061482,$131.93,$132.42,$130.26
12/21/2020,$130.22,3259744,$130,$131.23,$127.63
12/18/2020,$131.92,8782907,$130.3,$132.14,$129.51
12/17/2020,$130.01,4132224,$130.32,$130.7597,$129.65
12/16/2020,$129.81,3262167,$130.65,$130.65,$129.11
12/15/2020,$130,2906341,$129.7,$130.71,$128.78
12/14/2020,$129.36,5296987,$131.02,$132.97,$129.23
12/11/2020,$131.23,2405262,$130.57,$131.63,$129.69
12/10/2020,$130.56,4164484,$130.73,$131.875,$130.035
12/09/2020,$131.12,3660502,$133.88,$133.88,$130.57
12/08/2020,$133.15,2442876,$132.83,$133.43,$131.825
12/07/2020,$132.96,2637360,$132.08,$133.08,$131.92
12/04/2020,$131.8,2029174,$131.63,$131.98,$130.68
12/03/2020,$131.19,3587959,$131.65,$132.97,$131.09
12/02/2020,$133.14,2926991,$133.64,$134.24,$132.41
12/01/2020,$133.73,3968513,$132.92,$133.94,$132.24
11/30/2020,$132.94,5746041,$131.9,$133.05,$130.13
11/27/2020,$131.9,2278372,$129.12,$132.47,$128.87
11/25/2020,$128.74,3562674,$128.79,$129.63,$127.755
11/24/2020,$128.06,4694679,$127.471,$129.02,$125.76
11/23/2020,$127.88,4177210,$129.87,$130.15,$126.91
11/20/2020,$129.68,4388200,$129.66,$130.34,$128.36
11/19/2020,$129.19,2427023,$127.3,$130.23,$127.1105
11/18/2020,$127.85,3222918,$129.631,$130.51,$127.84
11/17/2020,$129,3648464,$130.604,$132.33,$128.72
11/16/2020,$128.65,3444455,$129.816,$130.1075,$127.56
11/13/2020,$128.23,3399950,$127.33,$128.5249,$126.31
11/12/2020,$126.81,3558580,$125.41,$127.8,$124.73
11/11/2020,$125.15,3931577,$122.63,$126.03,$122.04
11/10/2020,$121.72,4454849,$119.03,$123.24,$118.6
11/09/2020,$122.78,6190557,$125.48,$126.96,$122.57
11/06/2020,$123.56,8931300,$127,$127.03,$122.705
11/05/2020,$117.26,7669706,$117.574,$119.31,$116.28
11/04/2020,$116.02,5025909,$113.91,$116.88,$112.81
11/03/2020,$111.12,3341389,$111.25,$112.39,$110.71
11/02/2020,$110.39,3145029,$111.1442,$111.1442,$108.75
10/30/2020,$109.57,4041188,$108.86,$109.76,$107.5641
10/29/2020,$109.51,2895872,$109.28,$111.04,$108.9
10/28/2020,$109.8,3661845,$111.3,$111.93,$109.66
