Date,Close/Last,Volume,Open,High,Low
06/29/2021,$56.66,6974234,$57.18,$57.79,$56.45
06/28/2021,$57.54,5143351,$57.66,$57.77,$56.96
06/25/2021,$57.85,4931080,$57.33,$57.97,$56.815
06/24/2021,$56.88,5762088,$56.29,$57.14,$56.0073
06/23/2021,$56.14,5656228,$56.02,$56.52,$55.77
06/22/2021,$55.94,4183308,$56.24,$56.25,$55.35
06/21/2021,$55.98,5680752,$55.06,$56.12,$55.06
06/18/2021,$54.74,19017380,$54.77,$55.23,$54.06
06/17/2021,$55.72,8333067,$58.89,$58.96,$55.525
06/16/2021,$58.44,8635304,$58.09,$58.91,$57.34
06/15/2021,$58.51,5807947,$58.13,$58.79,$57.935
06/14/2021,$58.16,5035386,$58.96,$59.12,$57.765
06/11/2021,$59.14,5659339,$58.78,$59.225,$58.58
06/10/2021,$58.61,4873996,$60.12,$60.23,$58.6
06/09/2021,$59.25,6549801,$59.79,$59.86,$59.2
06/08/2021,$60.29,5617496,$60.21,$60.58,$59.49
06/07/2021,$60.54,4520809,$60.93,$60.95,$60.43
06/04/2021,$60.77,4581599,$60.69,$60.78,$60.12
06/03/2021,$60.64,4631461,$60.49,$61.275,$60.3
06/02/2021,$60.67,5573448,$60.99,$61.31,$60.46
06/01/2021,$60.99,4967013,$61.51,$61.76,$60.735
05/28/2021,$60.78,6126975,$60.77,$60.96,$60.24
05/27/2021,$60.74,12452990,$60.51,$61.25,$60.27
05/26/2021,$59.73,7436145,$59.75,$59.845,$58.9
05/25/2021,$59.65,5028534,$60.53,$61.095,$59.555
05/24/2021,$60.42,3504610,$60.58,$60.685,$60.14
05/21/2021,$60.37,5347841,$59.8,$60.82,$59.645
05/20/2021,$59.63,6338801,$59.98,$60.1799,$59.11
05/19/2021,$60.07,8055165,$60.2,$60.305,$59.13
05/18/2021,$60.85,5831153,$62.18,$62.47,$60.81
05/17/2021,$62.21,4150875,$61.56,$62.42,$61.46
05/14/2021,$61.91,4087727,$61.35,$62.09,$61.26
05/13/2021,$61.1,5329749,$59.36,$61.6,$59.31
05/12/2021,$59.56,9206806,$61.05,$61.29,$59.455
05/11/2021,$60.15,6943574,$60.79,$61.57,$60.045
05/10/2021,$61.17,7013490,$61.8,$62.27,$61.1
05/07/2021,$61.37,6158783,$60.33,$61.405,$60.18
05/06/2021,$61.44,5512934,$60.75,$61.48,$60.35
05/05/2021,$60.39,5151819,$60.58,$60.98,$59.93
05/04/2021,$60.6,7908050,$59,$60.655,$58.82
05/03/2021,$59.29,4870429,$59.63,$60.035,$59.23
04/30/2021,$59.35,6581829,$59.56,$59.87,$59.08
04/29/2021,$60.03,6111924,$59.39,$60.13,$59.28
04/28/2021,$58.97,5282011,$58.5,$59.19,$58.47
04/27/2021,$58.32,5627514,$58.19,$58.39,$57.83
04/26/2021,$57.79,5588653,$57.55,$58.27,$57.38
04/23/2021,$57.23,6229597,$56.21,$57.66,$56.08
04/22/2021,$56.16,6050393,$56.6,$56.895,$56.16
04/21/2021,$56.99,6051483,$55.9,$57.09,$55.43
04/20/2021,$56.22,10680120,$57.05,$57.27,$56.155
04/19/2021,$57.72,6586643,$57.81,$58.2,$57.53
04/16/2021,$57.86,7934314,$56.91,$58.455,$56.55
04/15/2021,$56.33,13346380,$56.84,$57.19,$54.53
04/14/2021,$57.58,6508856,$56.52,$57.83,$56.24
04/13/2021,$56.63,6099314,$57.22,$57.3,$56.58
04/12/2021,$57.68,5185604,$57.6,$57.8,$57.31
04/09/2021,$57.29,5990377,$57.33,$57.45,$56.755
04/08/2021,$56.78,6361428,$56.62,$57.055,$55.93
04/07/2021,$56.81,5068891,$56.5,$56.87,$56.25
04/06/2021,$56.23,4513323,$56.09,$56.405,$55.72
04/05/2021,$56.37,4769160,$56.44,$56.745,$56.14
04/01/2021,$55.83,6219486,$55.13,$55.84,$54.92
03/31/2021,$55.31,6752673,$55.57,$56.05,$55.29
03/30/2021,$55.87,6623975,$55.66,$56.16,$55.27
03/29/2021,$55.6,11780210,$55.56,$56.1,$54.79
03/26/2021,$56.21,9628352,$55.53,$56.3,$55.31
03/25/2021,$54.89,8728226,$53.48,$54.93,$53.3299
03/24/2021,$53.47,6880723,$53.87,$54.615,$53.47
03/23/2021,$53.58,10640120,$53.68,$54.545,$53.14
03/22/2021,$54.24,6976734,$55,$55,$53.835
03/19/2021,$55.21,28076670,$55.8,$55.95,$54.85
03/18/2021,$56.27,11183160,$55,$57.02,$54.93
03/17/2021,$54.49,7768991,$54.31,$54.69,$53.71
03/16/2021,$53.84,9928264,$53.58,$53.85,$52.8
03/15/2021,$53.98,6228113,$54.64,$54.75,$53.31
03/12/2021,$54.64,5415501,$54.19,$54.72,$53.995
03/11/2021,$53.35,6141401,$53.34,$54.05,$52.9
03/10/2021,$53.78,8455095,$53.08,$54.17,$52.87
03/09/2021,$52.9,8899106,$52.87,$53.84,$52.465
03/08/2021,$54.05,9847595,$53,$54.39,$52.53
03/05/2021,$52.47,10621010,$51.74,$52.685,$50.4
03/04/2021,$51.02,10901430,$51.1,$51.53,$50.04
03/03/2021,$51.16,7443060,$50.91,$52.18,$50.71
03/02/2021,$50.65,7360858,$51.19,$51.405,$50.595
03/01/2021,$51.16,8921854,$51.02,$51.545,$50.88
02/26/2021,$50,9499638,$51.29,$51.33,$49.85
02/25/2021,$51.63,6254757,$53.5,$53.54,$51.58
02/24/2021,$52.81,6814416,$51.67,$53.035,$51.54
02/23/2021,$51.61,9904177,$51.84,$52.6964,$51.25
02/22/2021,$50.94,7017941,$49.8,$51.13,$49.8
02/19/2021,$50.02,5374391,$49.33,$50.17,$49.27
02/18/2021,$49.06,7617538,$48.88,$49.5,$48.35
02/17/2021,$49.3,6929243,$48.49,$49.39,$48.15
02/16/2021,$48.65,5603647,$48.28,$48.9599,$48.01
02/12/2021,$47.64,4141569,$47.12,$48.175,$47.07
02/11/2021,$47.25,4413290,$47.26,$47.62,$46.85
02/10/2021,$47.35,5625528,$47.88,$47.91,$47.305
02/09/2021,$47.61,4940398,$47.24,$47.85,$46.96
02/08/2021,$47.4,5986178,$46.46,$47.44,$46.435
02/05/2021,$46.35,4146816,$46.85,$46.8913,$46.13
02/04/2021,$46.31,6633806,$44.98,$46.345,$44.74
02/03/2021,$44.73,5850315,$44.01,$44.84,$43.99
02/02/2021,$44.25,6487374,$43.29,$44.52,$43.29
02/01/2021,$42.75,6666943,$43.27,$43.34,$42.47
