Date,Close/Last,Volume,Open,High,Low
06/29/2021,$51.02,3920475,$51.25,$51.68,$50.87
06/28/2021,$50.86,2792369,$50.8,$50.905,$50.16
06/25/2021,$50.99,4168338,$50.41,$51.14,$50.28
06/24/2021,$50.25,3681967,$49.61,$50.45,$49.38
06/23/2021,$49.37,4596351,$49.57,$49.87,$49.35
06/22/2021,$49.44,3888618,$49.69,$49.74,$49.04
06/21/2021,$49.66,4172292,$48.61,$49.73,$48.51
06/18/2021,$48.22,11517020,$48.87,$48.95,$48.04
06/17/2021,$49.48,7322994,$51.83,$51.85,$49.155
06/16/2021,$51.23,9781325,$50.34,$51.95,$49.64
06/15/2021,$50.45,3687835,$49.79,$50.57,$49.65
06/14/2021,$49.64,5997170,$50.15,$50.51,$48.83
06/11/2021,$50.41,3568978,$49.96,$50.445,$49.9
06/10/2021,$49.87,3189479,$51.04,$51.25,$49.835
06/09/2021,$50.62,2910423,$51.08,$51.08,$50.55
06/08/2021,$51.42,2803304,$51.41,$51.64,$50.85
06/07/2021,$51.82,2285858,$52.33,$52.33,$51.77
06/04/2021,$52.21,2204884,$52.18,$52.25,$51.635
06/03/2021,$52.2,2788668,$52.05,$52.475,$51.73
06/02/2021,$52.12,3302349,$52.23,$52.43,$51.74
06/01/2021,$52.3,3182027,$52.81,$52.9,$52.04
05/28/2021,$52.08,3404430,$52.18,$52.215,$51.65
05/27/2021,$52.1,6573431,$52.21,$52.69,$51.82
05/26/2021,$51.56,3766381,$51.41,$51.71,$50.98
05/25/2021,$51.12,3035229,$51.77,$52.25,$51
05/24/2021,$51.74,2663962,$51.61,$51.86,$51.465
05/21/2021,$51.56,3669099,$50.8,$51.755,$50.72
05/20/2021,$50.61,2854628,$50.85,$50.99,$50.41
05/19/2021,$50.86,4990264,$50.21,$50.89,$49.81
05/18/2021,$50.75,5463969,$52.04,$52.305,$50.73
05/17/2021,$52.09,3919940,$51.8,$52.29,$51.425
05/14/2021,$51.78,4497265,$51.98,$52.29,$51.635
05/13/2021,$51.69,4724079,$50.76,$52.01,$50.62
05/12/2021,$51.03,4204100,$52.13,$52.34,$50.865
05/11/2021,$51.58,6502161,$51.87,$52.63,$51.35
05/10/2021,$52.27,4710292,$52.19,$52.82,$52
05/07/2021,$51.82,4638914,$51.17,$51.95,$50.59
05/06/2021,$51.89,4923237,$51.61,$51.925,$51.34
05/05/2021,$51.45,3064799,$50.61,$51.59,$50.14
05/04/2021,$50.49,6153761,$50.13,$50.65,$49.99
05/03/2021,$50.23,3896205,$50.25,$50.45,$49.7
04/30/2021,$49.88,6879776,$49.97,$50.245,$49.705
04/29/2021,$50.08,6958553,$49.5,$50.2568,$49.43
04/28/2021,$49.18,5937950,$48.61,$49.24,$48.61
04/27/2021,$48.55,5566795,$47.87,$48.655,$47.58
04/26/2021,$48.11,5556091,$47.84,$48.54,$47.75
04/23/2021,$47.6,4502737,$46.55,$47.89,$46.25
04/22/2021,$46.55,5367491,$46.87,$47.23,$46.38
04/21/2021,$47.19,4994433,$46.31,$47.41,$46.19
04/20/2021,$46.58,7287780,$46.64,$47.21,$46.28
04/19/2021,$46.81,6313979,$46.27,$46.934,$46.13
04/16/2021,$46.07,9955790,$47.05,$47.5,$45.8
04/15/2021,$48.01,7748111,$48.73,$48.8,$47.95
04/14/2021,$48.64,4218989,$48.3,$48.97,$48.09
04/13/2021,$48.34,3233076,$48.81,$48.92,$48.26
04/12/2021,$49.09,2843604,$48.62,$49.13,$48.53
04/09/2021,$48.62,3172440,$48.3,$48.695,$48.17
04/08/2021,$48,3119410,$47.63,$48.05,$47.39
04/07/2021,$47.84,3351646,$48.03,$48.29,$47.6
04/06/2021,$47.78,3120408,$48.04,$48.13,$47.41
04/05/2021,$48.13,3655615,$47.98,$48.5,$47.6801
04/01/2021,$47.47,4046110,$47.24,$47.5184,$46.85
03/31/2021,$47.29,4847388,$47.63,$47.88,$47.22
03/30/2021,$47.86,4451209,$47.8,$48.145,$47.5
03/29/2021,$47.52,4829210,$46.63,$47.905,$46.46
03/26/2021,$47.49,7321358,$46.82,$47.56,$46.76
03/25/2021,$46.33,6261771,$45.34,$46.37,$44.695
03/24/2021,$45.25,5262286,$45.49,$46.04,$45.25
03/23/2021,$44.37,3727790,$44.94,$45.34,$44.195
03/22/2021,$45.21,6265684,$45.37,$45.8,$44.88
03/19/2021,$46.35,14555340,$46.19,$46.71,$45.605
03/18/2021,$46.7,6303573,$47.03,$47.76,$46.53
03/17/2021,$46.51,4903967,$46.67,$46.82,$45.88
03/16/2021,$46.24,3732732,$46.41,$46.63,$45.92
03/15/2021,$46.69,3675981,$46.69,$46.78,$46.0189
03/12/2021,$46.66,4741844,$46.54,$46.9,$46.2
03/11/2021,$45.73,3697104,$45.56,$46,$45.2
03/10/2021,$45.9,5011985,$45.11,$46.2701,$44.9
03/09/2021,$44.94,6057814,$45.03,$45.935,$44.35
03/08/2021,$45.63,4341741,$45.57,$46.16,$45.1532
03/05/2021,$45.03,5828733,$45.4,$45.72,$44.4
03/04/2021,$44.76,6910317,$44.53,$45.35,$44.04
03/03/2021,$44.53,7398087,$43.78,$45.56,$43.78
03/02/2021,$43.6,4494559,$43.71,$44.32,$43.58
03/01/2021,$43.68,6377147,$42.86,$43.87,$42.69
02/26/2021,$42.16,6967323,$43.04,$43.2,$41.98
02/25/2021,$43.42,7042347,$44.61,$44.945,$43.25
02/24/2021,$44.26,7416804,$43.97,$44.57,$43.83
02/23/2021,$43.83,8004612,$43.98,$44.54,$43.65
02/22/2021,$43.73,9732975,$42.1,$43.98,$42.08
02/19/2021,$42.32,5899935,$42.42,$42.89,$42.24
02/18/2021,$42.18,3716872,$42.56,$42.8,$41.9
02/17/2021,$42.9,4602223,$42.78,$43.3,$42.43
02/16/2021,$42.75,8707618,$42.19,$43.3491,$42.11
02/12/2021,$41.93,8844761,$41.89,$42.54,$41.58
02/11/2021,$42.13,10917510,$43,$43.84,$42.03
02/10/2021,$41.74,4574807,$42.11,$42.39,$41.71
02/09/2021,$41.96,4202839,$41.85,$42.15,$41.4
02/08/2021,$41.95,3988347,$42.15,$42.44,$41.79
02/05/2021,$42.03,3505045,$42.53,$42.58,$41.885
02/04/2021,$42.23,5019677,$41.29,$42.3,$41.17
02/03/2021,$41.06,5403207,$40.72,$41.315,$40.56
02/02/2021,$40.85,8285451,$40.75,$41.625,$40.53
02/01/2021,$40.47,7013646,$40.13,$41.07,$40.02
01/29/2021,$39.83,7392663,$40.21,$40.595,$39.455
01/28/2021,$40.69,7315459,$40.08,$41.06,$40.04
01/27/2021,$39.82,8475508,$40.76,$40.84,$39.58
01/26/2021,$41.34,5936765,$41.48,$41.665,$40.88
01/25/2021,$41.3,8239637,$41.5,$41.695,$41.11
01/22/2021,$41.93,5509162,$41.81,$42.275,$41.47
01/21/2021,$42.26,8672271,$42.53,$42.79,$41.7
01/20/2021,$42.49,10494480,$43.72,$44,$42.26
01/19/2021,$45.82,6427772,$45.75,$46.33,$45.2301
01/15/2021,$45.57,4330838,$45.96,$46.13,$45.32
01/14/2021,$46.53,3362424,$46.36,$46.8362,$45.8051
01/13/2021,$46.32,4343292,$46.52,$46.835,$46.185
01/12/2021,$46.56,4933797,$45.91,$46.67,$45.85
