Date,Close/Last,Volume,Open,High,Low
06/29/2021,$83.49,4926776,$84.62,$85.13,$83.41
06/28/2021,$84.12,4194954,$83.67,$84.23,$83.11
06/25/2021,$84.08,3743954,$84,$84.75,$83.78
06/24/2021,$83.77,4867017,$83.9,$83.99,$82.81
06/23/2021,$83.73,3396380,$83.79,$84.23,$83.26
06/22/2021,$83.81,3550609,$84.02,$84.36,$83.58
06/21/2021,$84.02,4531827,$82.61,$84.23,$82.44
06/18/2021,$82.4,8800824,$83.52,$83.6899,$82.33
06/17/2021,$84.23,4943130,$85.05,$85.09,$83.67
06/16/2021,$84.74,5721276,$85.5,$86.14,$84.66
06/15/2021,$85.4,5473306,$85.16,$86.105,$84.48
06/14/2021,$84.62,5089818,$85.17,$85.19,$83.555
06/11/2021,$85.47,2698090,$85.85,$86.13,$85.235
06/10/2021,$85.5,4690429,$85.51,$86.06,$85.29
06/09/2021,$84.95,5782545,$85.77,$86.25,$84.8324
06/08/2021,$85.81,4270306,$86.06,$86.115,$85.125
06/07/2021,$86.33,3952413,$86.65,$87.13,$86.185
06/04/2021,$86.47,4606691,$87.06,$87.11,$86.201
06/03/2021,$87.06,4679873,$85.99,$87.3,$85.66
06/02/2021,$85.99,4104955,$86.32,$86.48,$85.71
06/01/2021,$85.87,6109826,$86.5,$86.57,$85.2701
05/28/2021,$86.44,6810416,$86.675,$87.3,$86.38
05/27/2021,$86.42,8985344,$87.78,$88.08,$86.12
05/26/2021,$87.32,14402290,$88.65,$88.9,$85.27
05/25/2021,$88.7,5895046,$89.71,$89.82,$88.615
05/24/2021,$89.71,5639717,$90.06,$90.6137,$89.64
05/21/2021,$89.81,8361482,$89.29,$90.2,$89.1101
05/20/2021,$89.07,9058704,$89.22,$89.8,$88.36
05/19/2021,$89.21,20077270,$88.5,$90.09,$87.67
05/18/2021,$88.61,17674500,$86.47,$88.65,$85.97
05/17/2021,$84.56,4470238,$84.11,$85.2,$84.11
05/14/2021,$84.33,5738824,$84.63,$84.74,$84.01
05/13/2021,$84.27,4612538,$83.61,$84.79,$83.12
05/12/2021,$83.38,6437325,$84.61,$85.33,$83.24
05/11/2021,$84.37,7935085,$85.53,$86.01,$84.05
05/10/2021,$85.85,7926724,$85.61,$87.18,$85.43
05/07/2021,$85.11,8206262,$83.92,$85.35,$83.71
05/06/2021,$83.7,9412633,$82.64,$83.75,$81.76
05/05/2021,$83.04,10847100,$81.5,$83.3,$80.42
05/04/2021,$81.12,19634140,$79,$81.35,$78.75
05/03/2021,$77.69,9558601,$77,$78.22,$76.7
04/30/2021,$76.4,6153353,$76.44,$77.13,$76.23
04/29/2021,$76.37,5086320,$75.79,$76.49,$75.67
04/28/2021,$75.4,3581214,$75.41,$75.9299,$75.22
04/27/2021,$75.11,3766710,$75.48,$75.7,$74.97
04/26/2021,$75.75,5617564,$76.2,$76.3,$75.6001
04/23/2021,$76.05,4197578,$75.93,$76.42,$75.27
04/22/2021,$76.18,5641933,$76.31,$76.44,$75.24
04/21/2021,$76.7,6222796,$76.22,$77.44,$76.145
04/20/2021,$75.91,7660774,$75.73,$76.2,$75.343
04/19/2021,$75.75,6666894,$76.18,$76.72,$75.41
04/16/2021,$75.88,8513895,$76.15,$76.2,$75.56
04/15/2021,$75.78,5037701,$75.26,$76,$74.64
04/14/2021,$75.08,3968735,$74,$75.18,$73.98
04/13/2021,$74.02,3934139,$74.06,$74.35,$73.3
04/12/2021,$74.46,4233352,$74.33,$74.93,$74.25
04/09/2021,$74.07,4662725,$74,$74.1999,$73.59
04/08/2021,$73.79,5180145,$74.3,$74.36,$73.61
04/07/2021,$74.49,5137442,$74.87,$74.92,$74.1416
04/06/2021,$74.62,6746488,$75.18,$75.18,$74.38
04/05/2021,$75.04,6063774,$74.17,$75.4,$74.13
04/01/2021,$74.3,6965253,$75.23,$75.3,$73.91
03/31/2021,$75.23,6320526,$75.96,$76.17,$75.2
03/30/2021,$76.08,5733039,$76.17,$76.81,$75.73
03/29/2021,$76.3,6135842,$75.7,$76.87,$75.51
03/26/2021,$75.96,9051172,$74.36,$76,$74.12
03/25/2021,$74.07,5506788,$73.25,$74.25,$72.29
03/24/2021,$73.21,7555533,$72.12,$74.3,$71.7
03/23/2021,$71.9,7192349,$73.11,$73.44,$71.8
03/22/2021,$73.47,6819861,$72.92,$73.57,$72.35
03/19/2021,$73.18,10426950,$74.5,$74.65,$73.17
03/18/2021,$74.48,6860922,$74.01,$75.29,$73.81
03/17/2021,$74.01,7926712,$73.74,$74.39,$72.88
03/16/2021,$75.07,5756283,$75,$75.25,$74.15
03/15/2021,$74.97,7141300,$73.89,$75.21,$73.58
03/12/2021,$73.92,6286685,$72.69,$74.05,$72.498
03/11/2021,$72.35,5536079,$72.95,$73.43,$72.32
03/10/2021,$72.7,7402180,$71.71,$73.09,$71.13
03/09/2021,$71.23,8697300,$72.35,$73.05,$71.18
03/08/2021,$71.73,9007387,$71.29,$72.54,$70.78
03/05/2021,$70.63,8295616,$69.4,$70.95,$69.16
03/04/2021,$69.17,7396709,$68.96,$70.04,$68.415
03/03/2021,$69.03,6192109,$68.97,$69.51,$68.28
03/02/2021,$68.94,5251815,$69.49,$69.6399,$68.87
03/01/2021,$69.28,5659548,$68.42,$69.57,$68.26
02/26/2021,$68.13,10227540,$69.27,$69.325,$68.02
02/25/2021,$69.33,5243410,$69.98,$70.65,$69.16
02/24/2021,$70.4,5826060,$69.89,$70.54,$69.39
02/23/2021,$69.64,8150567,$69.72,$70.8,$69.46
02/22/2021,$70.48,6054878,$70.3,$70.6396,$69.373
02/19/2021,$70.42,6530765,$71.4,$71.42,$70.29
02/18/2021,$71.52,7334086,$72.65,$72.97,$71.32
02/17/2021,$72.71,13290400,$70.25,$72.85,$70.12
02/16/2021,$70.53,18932650,$75.27,$75.394,$70.185
02/12/2021,$74.21,5870585,$73.57,$74.56,$73.5401
02/11/2021,$73.6,4725502,$74,$74.08,$72.92
02/10/2021,$73.83,4752813,$73.95,$74.16,$72.81
02/09/2021,$73.49,8100159,$73.24,$74.14,$72.85
02/08/2021,$72.98,5826863,$72.47,$72.99,$72.17
02/05/2021,$72.18,6421832,$73.23,$73.3639,$71.93
02/04/2021,$73,8117511,$73.4,$74.04,$72.79
02/03/2021,$73.24,6128221,$71.74,$73.67,$71.34
02/02/2021,$71.83,5543891,$71.7,$72.645,$71.2
02/01/2021,$71.46,5156523,$72.08,$72.47,$71.34
01/29/2021,$71.65,6469460,$72.52,$73.3,$71.04
01/28/2021,$72.61,5019999,$72.44,$73.79,$72.22
01/27/2021,$72.42,6279780,$73.53,$74.19,$72.19
01/26/2021,$74.23,4667577,$73.37,$74.38,$73.28
01/25/2021,$73.21,7554762,$73.5,$73.53,$72.16
01/22/2021,$74.12,4183588,$73.73,$74.3,$73.0215
01/21/2021,$74.08,5033225,$74.7,$74.86,$73.5443
01/20/2021,$75.25,4764352,$75.42,$75.4607,$74.59
01/19/2021,$75.4,5918982,$77,$77,$75.305
01/15/2021,$76.26,8110331,$75.02,$76.45,$74.85
01/14/2021,$75.05,5088112,$75,$75.68,$74.34
01/13/2021,$74.92,6223766,$75.95,$76.12,$74.52
01/12/2021,$76.26,5641341,$76.04,$77.2302,$75.535
01/11/2021,$76.07,6678576,$74.25,$76.48,$74.25
01/08/2021,$74.86,11254680,$75,$76.33,$74.416
01/07/2021,$73.99,7962258,$73.05,$74.42,$72.2801
01/06/2021,$72.56,10142350,$70,$73.03,$69.95
01/05/2021,$70.46,8012150,$70.33,$71.02,$69.38
01/04/2021,$69.99,11367240,$68.68,$70.29,$68.13
12/31/2020,$68.3,5386942,$67.7,$68.41,$67.08
12/30/2020,$67.75,4967334,$68.08,$68.09,$67.43
12/29/2020,$67.9,4389801,$68.4,$69.3126,$67.72
12/28/2020,$68.08,4818237,$68.24,$68.99,$67.715
12/24/2020,$67.97,2117597,$68.17,$68.17,$67.4867
12/23/2020,$68.01,4924123,$67.53,$68.48,$67.49
12/22/2020,$67.22,5694732,$68.43,$68.55,$67.06
12/21/2020,$68.71,6988393,$68.7,$68.96,$67.96
