Date,Close/Last,Volume,Open,High,Low
06/29/2021,$69.68,28696910,$70.14,$71.6,$69.575
06/28/2021,$71.51,17660890,$71.32,$71.67,$70.46
06/25/2021,$71.55,26727440,$71.45,$71.85,$69.86
06/24/2021,$71.32,23900400,$70.33,$71.67,$69.95
06/23/2021,$69.65,19672710,$69.355,$70.05,$69.075
06/22/2021,$68.96,21564640,$68.9,$69.41,$67.77
06/21/2021,$68.45,30266630,$68.44,$69.09,$67.88
06/18/2021,$67.61,44582890,$68.48,$68.75,$67.13
06/17/2021,$68.86,48523030,$72.58,$72.61,$68.155
06/16/2021,$71.46,53319780,$72.75,$73,$70.15
06/15/2021,$73.82,25191650,$75.05,$75.34,$73.25
06/14/2021,$75.16,18304440,$76.61,$76.77,$74.67
06/11/2021,$76.48,18043540,$77,$77.19,$76.1
06/10/2021,$76.89,15277430,$79.04,$79.29,$76.83
06/09/2021,$78.14,13778440,$78.67,$78.78,$77.76
06/08/2021,$79.08,15399060,$78.3,$79.42,$77.71
06/07/2021,$79.31,12670070,$79.62,$79.65,$79.015
06/04/2021,$79.49,13806960,$79.69,$79.87,$78.81
06/03/2021,$79.63,22255790,$79.71,$80.285,$79.422
06/02/2021,$79.86,15285590,$80.1,$80.29,$79.3783
06/01/2021,$79.76,15450510,$79.49,$80.09,$79.34
05/28/2021,$78.71,14394380,$78.66,$78.97,$77.91
05/27/2021,$78.76,17466970,$78.52,$79.11,$77.95
05/26/2021,$77.52,15243440,$77.21,$77.9031,$76.68
05/25/2021,$77.28,20015790,$78.2,$79.28,$77.19
05/24/2021,$78.03,16711850,$77.83,$78.355,$77.47
05/21/2021,$77.65,18544500,$76.5,$77.805,$76.41
05/20/2021,$76.2,15244290,$76.17,$76.64,$75.36
05/19/2021,$76.46,23283610,$75.62,$76.6474,$74.725
05/18/2021,$76.62,13729630,$77.38,$77.69,$76.57
05/17/2021,$77.42,14672260,$76.33,$77.47,$76.1
05/14/2021,$76.56,14122730,$75.68,$76.77,$75.66
05/13/2021,$75.29,18630300,$73.88,$75.88,$73.8
05/12/2021,$74.23,19791290,$75.94,$76.4,$73.9
05/11/2021,$74.87,21534800,$74.5,$75.57,$73.91
05/10/2021,$75.13,19628200,$75.355,$76.839,$75.11
05/07/2021,$75.08,16937390,$73.43,$75.105,$73.22
05/06/2021,$74.78,19621800,$73.64,$74.94,$73.42
