Date,Close/Last,Volume,Open,High,Low
06/29/2021,$398.79,1523560,$396.3,$399.4407,$395.47
06/28/2021,$396.54,1645500,$395,$397.42,$393.13
06/25/2021,$394.51,2056384,$392.97,$394.55,$391.25
06/24/2021,$392.07,1487380,$393.42,$395.5,$391.795
06/23/2021,$391.97,1538035,$393,$393.44,$390.59
06/22/2021,$392.18,1934772,$387.02,$392.5,$386.56
06/21/2021,$386.8,1631569,$382.25,$387.645,$380.56
06/18/2021,$380.88,3415714,$384.75,$384.9056,$380.3
06/17/2021,$384.75,1686533,$380.38,$386.47,$379.21
06/16/2021,$379.41,1801720,$384.4,$386.4407,$377.12
06/15/2021,$383.91,1252017,$383.76,$384.4999,$381.56
06/14/2021,$383.76,1652625,$380.79,$383.98,$379.08
06/11/2021,$381.83,1404299,$383.86,$383.86,$380.53
06/10/2021,$383.01,1404154,$380.27,$383.36,$379.49
06/09/2021,$379.96,1399154,$380.21,$381.78,$379.1301
06/08/2021,$379.7,1554048,$380.41,$381.21,$377.69
06/07/2021,$380.4,2515804,$385.47,$386.45,$378.57
06/04/2021,$387.52,1765934,$384.19,$387.76,$383.71
06/03/2021,$383.87,1780524,$379.64,$384.19,$378.86
06/02/2021,$380.59,1881042,$378.38,$381.92,$377.71
06/01/2021,$378.23,2117770,$379.925,$380.1985,$375.5
05/28/2021,$378.27,4682400,$384.15,$385.31,$377.03
05/27/2021,$387.5,4452001,$385.13,$387.7699,$383.5
05/26/2021,$385.62,1647955,$385.86,$387.75,$385.02
05/25/2021,$385.38,1379749,$383.62,$385.74,$382.03
05/24/2021,$383.45,1657024,$384.337,$385.76,$381.89
05/21/2021,$380.72,1706560,$385.05,$385.3499,$380.43
05/20/2021,$383.58,1427343,$379.18,$384.5172,$378.28
05/19/2021,$379.66,1725320,$377.151,$381.73,$376.13
05/18/2021,$382.81,1698198,$386.45,$389.45,$382.51
05/17/2021,$383.96,1830155,$385.04,$387.05,$382.9
05/14/2021,$384.42,1876138,$382.14,$385.82,$380.1
05/13/2021,$379.53,2023855,$373.09,$381.44,$371.5654
05/12/2021,$372.2,2344572,$376,$376.94,$371.1141
05/11/2021,$378.18,1859681,$379.31,$380.92,$376
05/10/2021,$381.48,1998663,$385.49,$387.89,$381.28
05/07/2021,$384.32,1817365,$382.83,$386.45,$382.2001
05/06/2021,$382.76,2641378,$373.19,$382.94,$373.19
05/05/2021,$372.5,1905324,$376.35,$377.5164,$372.05
05/04/2021,$375.29,2133796,$379.03,$379.23,$373.75
05/03/2021,$379.32,2685849,$373.84,$379.62,$372.89
04/30/2021,$372.09,2118990,$372.91,$374.16,$371.33
