Date,Close/Last,Volume,Open,High,Low
06/29/2021,$70.49,6512970,$69,$70.64,$68.85
06/28/2021,$68.82,5413575,$68.26,$68.975,$67.57
06/25/2021,$67.9,8999367,$66.75,$68.19,$66.75
06/24/2021,$66.57,5522496,$65.41,$66.75,$65.14
06/23/2021,$65.3,4462058,$65.02,$65.93,$64.89
06/22/2021,$64.89,5311268,$64.275,$65.125,$63.41
06/21/2021,$64.4,6483904,$63.38,$64.97,$63.3579
06/18/2021,$63.26,11438730,$64.84,$64.925,$63.14
06/17/2021,$65.33,6398546,$65.67,$66.3,$65.25
06/16/2021,$66.09,5626187,$65.44,$66.345,$65.3
06/15/2021,$65.96,5011353,$66,$66.35,$65.47
06/14/2021,$65.89,6944349,$67.25,$67.26,$65.17
06/11/2021,$67.13,5849463,$66.9,$67.415,$66.83
06/10/2021,$66.75,5789039,$66.32,$66.98,$65.77
06/09/2021,$65.96,6124375,$66.225,$66.345,$65.4
06/08/2021,$65.8,5712310,$65.52,$65.945,$65.26
06/07/2021,$65.45,6123599,$65.305,$65.725,$64.785
06/04/2021,$65.23,8978003,$64.38,$65.89,$64.14
06/03/2021,$64.07,7219237,$62.975,$64.27,$62.5901
06/02/2021,$63.41,10598270,$61.39,$63.57,$61.02
06/01/2021,$61.37,5640861,$61.52,$62.09,$60.73
05/28/2021,$60.88,10887620,$59.955,$61.42,$59.66
05/27/2021,$59.51,19669720,$61.2,$62.12,$59.32
05/26/2021,$61.44,6710753,$61.19,$62.14,$61.19
05/25/2021,$61.3,6069940,$61.24,$61.84,$60.86
05/24/2021,$60.97,5735079,$61.24,$61.95,$60.93
05/21/2021,$61.02,11192190,$59.805,$61.38,$59.72
05/20/2021,$59.47,8104593,$60.11,$60.27,$59.345
05/19/2021,$59.79,8050272,$60.4,$60.4,$59.0699
05/18/2021,$61.29,6110783,$61.7,$62.69,$60.69
05/17/2021,$61.69,6891516,$60.81,$61.795,$60.54
05/14/2021,$60.86,6565204,$59.44,$61.045,$59.3
05/13/2021,$58.74,6389379,$58.59,$59.37,$58.062
05/12/2021,$58.28,8763051,$59.69,$60.43,$58.24
05/11/2021,$60.43,11344450,$60.044,$60.99,$59.142
05/10/2021,$61.44,11628700,$59.56,$62.3,$59.26
05/07/2021,$59.78,10347460,$59.1,$60.01,$58.395
05/06/2021,$58.82,7583007,$58.15,$58.885,$57.76
05/05/2021,$58.24,7002822,$57.4,$58.88,$57.39
05/04/2021,$57.69,9736859,$57.51,$58.34,$56.82
05/03/2021,$58.15,12472620,$56.17,$58.85,$56.12
04/30/2021,$55.79,10069310,$55.73,$56.89,$55.655
04/29/2021,$56.07,31081970,$57.29,$57.34,$54.95
04/28/2021,$62.32,7814148,$62.08,$62.87,$61.8201
04/27/2021,$61.7,5577552,$61.715,$62.31,$61.38
04/26/2021,$61.58,4539307,$61,$61.61,$60.77
04/23/2021,$60.91,5073020,$60.88,$61.17,$60.44
04/22/2021,$60.74,6849102,$61.85,$61.9,$60.53
04/21/2021,$61.78,5091865,$61.44,$61.865,$60.88
04/20/2021,$61.79,5506306,$63.63,$63.8,$61.205
04/19/2021,$63.79,5285783,$64.63,$65.11,$63.6
04/16/2021,$64.93,4650464,$64.52,$64.99,$64.29
04/15/2021,$64.36,4677553,$63.33,$64.535,$63.03
04/14/2021,$62.79,9522826,$63.94,$64.39,$62.35
04/13/2021,$63.82,5264929,$63.02,$64.08,$62.92
04/12/2021,$62.64,5003595,$62.47,$62.88,$62.13
04/09/2021,$62.47,3801019,$62.08,$62.6,$61.845
04/08/2021,$62.19,3948394,$62.3,$62.65,$61.76
04/07/2021,$61.76,5848300,$62.69,$62.69,$61.43
04/06/2021,$62.52,6396883,$63.63,$63.72,$62.235
04/05/2021,$63.69,6672791,$63.35,$63.98,$62.5504
04/01/2021,$63.11,5210136,$61.4,$63.2356,$61.39
03/31/2021,$61.24,8516830,$60.84,$62.67,$60.75
03/30/2021,$60.32,5400645,$59.53,$60.63,$59.05
03/29/2021,$59.85,7090352,$60.878,$61.18,$59.28
03/26/2021,$60.83,7409597,$58.15,$60.93,$58.04
03/25/2021,$58.09,5705597,$57.73,$58.43,$56.98
03/24/2021,$57.64,7141900,$60.61,$60.9,$57.58
03/23/2021,$60.31,5959428,$60.4,$61.03,$60.01
03/22/2021,$60.29,6584081,$59.925,$60.845,$59.56
03/19/2021,$59.73,10317940,$59.16,$60.03,$58.51
03/18/2021,$58.9,6547623,$58.32,$60.12,$58
03/17/2021,$59,6788449,$56.73,$59.725,$56.715
03/16/2021,$57.42,5873583,$57.3,$58.19,$57.06
03/15/2021,$57.67,5862094,$55.845,$57.71,$55.61
03/12/2021,$55.8,5025837,$55.679,$56.1,$55.035
03/11/2021,$56.24,5887998,$55.95,$56.58,$55.46
03/10/2021,$55.34,7202558,$56.7822,$56.7822,$54.53
03/09/2021,$56.17,8406976,$54.6,$56.97,$54.32
03/08/2021,$53.49,7622111,$53.87,$55.19,$53.45
03/05/2021,$53.76,8395102,$53.88,$54.12,$51.51
03/04/2021,$53.34,9940351,$54.47,$54.89,$52.46
03/03/2021,$54.6,11055550,$56.73,$56.95,$54.48
03/02/2021,$56.99,7646674,$58.635,$58.66,$56.885
03/01/2021,$58.48,6154507,$57.102,$58.7,$56.53
02/26/2021,$56.42,9013997,$57.34,$57.66,$56.25
02/25/2021,$56.98,7868324,$59.4,$59.97,$56.85
02/24/2021,$59.38,8049950,$60.99,$61.05,$58.83
02/23/2021,$61.37,5826485,$60.68,$61.73,$59.82
02/22/2021,$61.56,5252920,$62.1,$62.2943,$60.96
02/19/2021,$61.98,5462514,$63.19,$63.36,$61.865
02/18/2021,$62.8,5963760,$62.7,$63.35,$62.22
02/17/2021,$63.05,4179424,$62.575,$63.24,$62.05
02/16/2021,$62.865,5559754,$63.98,$64,$62.82
02/12/2021,$63.01,5621774,$62.05,$63.19,$61.94
02/11/2021,$62.31,3660146,$62.6,$62.98,$61.67
02/10/2021,$62.32,4470858,$62.545,$63.22,$61.76
02/09/2021,$62.23,5036384,$63.87,$63.91,$62.1201
02/08/2021,$63.84,9787868,$62.6,$64.06,$62.56
02/05/2021,$62.23,12711710,$61.16,$62.82,$60.24
02/04/2021,$61.12,29410670,$63.96,$64.85,$60.67
02/03/2021,$58.04,10673270,$58.1,$58.8,$57.6737
02/02/2021,$57.33,8580889,$58.51,$58.78,$57.1
02/01/2021,$58.47,7476223,$56.825,$58.7,$56.65
01/29/2021,$56.51,10923290,$56.22,$57.58,$55.31
01/28/2021,$56.44,11679610,$58,$58.86,$55.94
01/27/2021,$58.35,10645110,$58.64,$60.55,$58.05
01/26/2021,$59.17,8394659,$57.09,$59.31,$56.97
01/25/2021,$57.25,9818939,$57,$58.38,$56.82
01/22/2021,$56.46,3317167,$56.2,$56.57,$55.64
01/21/2021,$56.4,5265856,$56.3,$56.47,$55.32
01/20/2021,$56.17,4798203,$57.3,$57.54,$56.115
01/19/2021,$56.98,8942429,$55.55,$57.2,$55.44
01/15/2021,$55.42,9710614,$55.29,$55.71,$54.31
01/14/2021,$55.27,6937900,$55.83,$55.83,$54.98
01/13/2021,$55.71,8185101,$55.775,$56.37,$55.355
01/12/2021,$56.04,11825910,$53.98,$56.705,$53.8761
01/11/2021,$53.93,6956310,$54.18,$54.41,$53.47
01/08/2021,$54.48,6298601,$53.37,$54.55,$53.23
01/07/2021,$53.06,7349028,$53.42,$54.23,$53.01
01/06/2021,$53.22,9911363,$51.5,$54.29,$51.4
01/05/2021,$52.03,10002450,$51.35,$52.28,$51.06
01/04/2021,$51.5,7843511,$50.48,$51.9,$50.45
12/31/2020,$50.25,3597307,$50.605,$50.814,$50
12/30/2020,$50.55,8618922,$51.015,$51.51,$50.47
12/29/2020,$50.86,4796748,$50.65,$51.11,$50.3
12/28/2020,$50.24,6187361,$50.5,$50.55,$49.93
12/24/2020,$50.12,2718524,$51.23,$51.24,$49.94
12/23/2020,$51.13,4739607,$52,$52,$51.13
12/22/2020,$51.62,6216128,$51.71,$52.02,$51.08
12/21/2020,$51.57,6082303,$52.62,$52.68,$51.17
12/18/2020,$53.06,10943140,$53.1,$53.26,$52.395
12/17/2020,$53.05,6195674,$53.63,$53.96,$52.44
12/16/2020,$53.65,12846710,$52.16,$54.89,$52.16
12/15/2020,$52.08,7780397,$49.96,$52.1,$49.69
12/14/2020,$49.57,9127370,$49.23,$50.5,$49.23
12/11/2020,$49.13,4549638,$49.44,$49.61,$48.67
12/10/2020,$49.6,4344046,$49.4,$49.84,$48.93
12/09/2020,$49.5,6794469,$49.96,$50.18,$49.22
12/08/2020,$49.89,7091510,$49.91,$50.23,$49.28
12/07/2020,$50.03,5132246,$50.91,$51.01,$49.91
12/04/2020,$50.97,4791038,$50.03,$51.19,$49.6401
12/03/2020,$50.29,5354235,$51.25,$51.3,$50.11
12/02/2020,$51.35,9281900,$50.52,$51.54,$50.36
12/01/2020,$50.52,7161528,$50.5,$51.46,$50.18
11/30/2020,$50.43,10743230,$51.03,$51.23,$49.36
11/27/2020,$51.34,3604040,$50.94,$51.93,$50.9
11/25/2020,$50.45,4438875,$50.75,$51.03,$50.05
11/24/2020,$50.53,7223267,$49.92,$51.29,$49.825
11/23/2020,$49.9,9421401,$49.18,$50.34,$49.1
11/20/2020,$48.99,10521530,$49.8,$49.88,$48.96
11/19/2020,$49.78,12012190,$48.646,$50.05,$48.56
11/18/2020,$48.53,12734060,$48.07,$49.455,$48.07
11/17/2020,$48.33,9892613,$48.37,$48.9,$47.96
11/16/2020,$48.55,14933350,$48.45,$49.17,$48.01
11/13/2020,$48.67,12084770,$46.9,$48.715,$46.72
11/12/2020,$46.59,10267540,$48.13,$48.17,$46.4
