Date,Close/Last,Volume,Open,High,Low
06/29/2021,$229.37,1621247,$228.25,$231.4,$227.85
06/28/2021,$228.22,2507615,$229,$229.88,$226.8784
06/25/2021,$230.22,6992228,$233.12,$233.4899,$229.39
06/24/2021,$232.97,12290460,$234.92,$239.37,$230.42
06/23/2021,$217.1,2419664,$222.19,$222.24,$217
06/22/2021,$221.44,1658943,$222.63,$223.61,$220.5128
06/21/2021,$222.67,3671287,$219.1,$223.77,$218.08
06/18/2021,$218.55,4016656,$220.43,$221.05,$218.32
06/17/2021,$222.21,1891008,$220.27,$223.095,$220.27
06/16/2021,$220.76,2548827,$223.53,$224.36,$220.2
06/15/2021,$223.52,2188900,$226.1,$226.66,$222.87
06/14/2021,$226.1,2720733,$224.23,$226.66,$223.02
06/11/2021,$224.09,5635964,$227.03,$229.59,$221.56
06/10/2021,$233.54,5598166,$226.97,$235.847,$226.25
06/09/2021,$226,4934884,$221.35,$226.73,$220.26
06/08/2021,$220.7,4618467,$221.71,$222.27,$217.37
06/07/2021,$222.52,17231370,$201.99,$233.33,$201.83
06/04/2021,$202.02,2817826,$202.79,$204.45,$201.2902
06/03/2021,$202.7,3066605,$198.99,$203.64,$198.61
06/02/2021,$199.13,2030286,$199.01,$200.92,$198.25
06/01/2021,$198.42,3070326,$200.32,$200.89,$196.68
05/28/2021,$199.74,2386024,$199.12,$202.28,$198.53
05/27/2021,$199.2,9340280,$200.65,$201.38,$195.5
05/26/2021,$200.99,2891438,$199.23,$202.44,$198.25
05/25/2021,$199.22,2919227,$201.43,$201.85,$199.14
05/24/2021,$201.02,2074926,$201,$203.615,$200.04
05/21/2021,$199.88,2579208,$200,$201.92,$199.47
05/20/2021,$199.53,3494708,$197.16,$201.08,$196.17
05/19/2021,$196.51,3070497,$193.61,$197.39,$193.11
05/18/2021,$194.63,2369384,$195,$196.35,$193.58
05/17/2021,$195.53,2464669,$196.48,$199.61,$195.09
05/14/2021,$196.21,1823874,$195.71,$197.27,$194.92
05/13/2021,$194.94,2175323,$192.25,$196.11,$191.75
05/12/2021,$193.2,2397601,$194.75,$195.65,$192.73
05/11/2021,$194.75,1850449,$193.39,$195.75,$193.01
05/10/2021,$194.76,2242047,$196.17,$196.61,$193.5
05/07/2021,$195.42,2526753,$194.82,$196.2668,$193.9
05/06/2021,$193.89,3101937,$191.55,$194.1,$189.3227
05/05/2021,$192.81,2773684,$188.65,$193.57,$188.17
05/04/2021,$188.2,3703540,$187.53,$190.08,$186.78
05/03/2021,$185.92,3196957,$182.99,$186.35,$182.92
04/30/2021,$182.77,3103881,$181.84,$183.95,$181.19
04/29/2021,$182.2,2432461,$181.06,$182.63,$180
04/28/2021,$180.55,4682764,$181.45,$182,$178.5779
04/27/2021,$182.21,6838740,$184,$185.87,$180.79
04/26/2021,$187.22,2797528,$188.57,$188.65,$186.06
04/23/2021,$188.72,2483203,$187.03,$189.13,$187.03
04/22/2021,$187.05,2982838,$190,$191.27,$186.75
04/21/2021,$190.95,2219772,$191.56,$193.01,$189.8
04/20/2021,$190.61,2461129,$190.41,$193.5,$190.17
04/19/2021,$189.64,2966439,$189.24,$190.88,$188.07
04/16/2021,$189.25,3732096,$187.38,$190.3,$186.88
04/15/2021,$185.92,2586643,$183.79,$187.72,$183.41
04/14/2021,$183,2002075,$182.59,$184.469,$182.05
04/13/2021,$182.53,3089142,$181.18,$183.64,$181.18
04/12/2021,$181.82,2876088,$183.43,$183.94,$180.88
04/09/2021,$184.49,2611218,$182.53,$185.14,$182.41
04/08/2021,$182.61,2393198,$182.95,$183.97,$182.47
04/07/2021,$182.32,3406606,$182.9,$183.18,$181.22
04/06/2021,$182.8,2488379,$184.69,$185.63,$182.49
04/05/2021,$184.89,2864920,$185.59,$185.9,$183.1
04/01/2021,$185.24,2340366,$186.82,$188.07,$184.66
