Date,Close/Last,Volume,Open,High,Low
06/29/2021,$67.93,4348132,$67.67,$68.0295,$67.5043
06/28/2021,$67.7,6580310,$68.3,$68.64,$67.65
06/25/2021,$67.88,8078383,$67.14,$68,$66.88
06/24/2021,$67.18,5053999,$66.77,$68.2401,$66.65
06/23/2021,$66.65,4246810,$67.21,$67.25,$66.56
06/22/2021,$67.05,4796795,$67.238,$67.6,$66.775
06/21/2021,$67.35,5310613,$66.99,$67.565,$66.77
06/18/2021,$66.61,11464710,$67,$67.18,$65.89
06/17/2021,$67.22,7015715,$67.32,$67.48,$66.49
06/16/2021,$67.33,12938700,$68.2162,$69.3399,$67.19
06/15/2021,$68.09,6454167,$68.48,$68.5,$67.74
06/14/2021,$68.15,5319472,$68.01,$68.325,$67.47
06/11/2021,$68.77,6928016,$69.14,$69.25,$68.645
06/10/2021,$69.29,8678419,$68.99,$69.705,$68.47
06/09/2021,$68.65,8434161,$67.57,$69.19,$67.52
06/08/2021,$67.51,5489219,$67.44,$67.61,$66.99
06/07/2021,$67.42,7863335,$67.605,$67.9644,$67.11
06/04/2021,$67.43,6342973,$66.79,$67.57,$66.54
06/03/2021,$66.48,6755423,$65.96,$66.6,$65.7933
06/02/2021,$66.03,6572676,$65.59,$66.35,$65.54
06/01/2021,$65.32,6573132,$66.44,$66.55,$65.12
05/28/2021,$66.11,5940055,$66.05,$66.685,$65.8
05/27/2021,$65.9,8047699,$66.57,$67.13,$65.81
05/26/2021,$66.35,5932638,$66.187,$66.4,$65.55
05/25/2021,$66.23,9357395,$67.3,$67.4,$66
05/24/2021,$67.43,7005125,$69.1,$69.24,$67.38
05/21/2021,$68.75,6478656,$69.77,$70.11,$68.71
05/20/2021,$69.35,6540935,$68.66,$69.98,$68.37
05/19/2021,$68.5,6174072,$68.212,$68.57,$67.55
05/18/2021,$68.85,5885321,$69.41,$69.87,$68.8
05/17/2021,$69.07,6213019,$68.48,$69.65,$68.45
05/14/2021,$68.53,7079213,$68.91,$69.18,$68.3884
05/13/2021,$68.91,7189959,$67.75,$68.98,$67.44
05/12/2021,$67.45,8286285,$66.75,$67.95,$66.71
05/11/2021,$67.22,6412022,$67.07,$68.08,$66.78
05/10/2021,$67.48,8646654,$66.96,$68.4001,$66.77
05/07/2021,$66.54,5849329,$66.47,$67.54,$66.3
05/06/2021,$66.54,7478830,$66.04,$66.68,$65.135
05/05/2021,$66.51,6911242,$65.74,$67,$65.52
05/04/2021,$65.64,9933323,$65.79,$66.63,$65.37
05/03/2021,$65.8,9500200,$63.921,$65.895,$63.77
04/30/2021,$63.47,12994230,$62.46,$64.1,$61.945
04/29/2021,$63.84,9238834,$64.63,$64.63,$63.33
04/28/2021,$64.44,7861262,$64.69,$64.7,$63.855
04/27/2021,$64.67,7278340,$65.94,$66,$64.62
04/26/2021,$65.76,6868441,$65.45,$65.88,$65.04
04/23/2021,$65.48,5463490,$65.5,$65.7,$64.88
04/22/2021,$65.64,6488708,$66.48,$66.51,$65.53
04/21/2021,$66.79,5581003,$66.54,$66.9053,$66.375
04/20/2021,$66.38,4989422,$65.8,$66.605,$65.31
04/19/2021,$65.95,7204089,$66.7,$67,$65.59
04/16/2021,$66.87,7715858,$66.02,$67.09,$65.86
04/15/2021,$65.77,5635021,$64.7,$66.38,$64.7
04/14/2021,$65.3,5654057,$64.97,$66.17,$64.835
04/13/2021,$64.89,6143405,$64.45,$65.22,$64.15
04/12/2021,$64.66,4909103,$65.06,$65.11,$64.35
04/09/2021,$65.11,5848292,$64.82,$65.25,$64.235
04/08/2021,$65.02,6778517,$66.1,$66.25,$64.825
04/07/2021,$65.6,5188703,$66.08,$66.33,$65.225
04/06/2021,$66.23,5708316,$66,$66.505,$65.77
04/05/2021,$66.34,6071176,$66.2,$66.52,$65.53
04/01/2021,$66.44,10514200,$65.75,$66.84,$65.43
03/31/2021,$64.63,8817165,$65.34,$65.34,$64.46
03/30/2021,$65.5,5608053,$66.49,$66.49,$65.125
03/29/2021,$66.19,7902562,$65,$66.44,$64.88
03/26/2021,$65.24,6017132,$64.03,$65.29,$63.9
03/25/2021,$63.99,7391000,$64.78,$64.88,$63.535
03/24/2021,$64.35,7472822,$64.36,$65.06,$64
03/23/2021,$64.5,6572127,$65.34,$65.455,$64.275
03/22/2021,$65.53,6769189,$64.055,$65.66,$63.86
03/19/2021,$64.46,15230300,$64.26,$64.65,$63.59
03/18/2021,$64.08,7443113,$63.62,$64.98,$63.62
03/17/2021,$64.42,7853674,$63.974,$64.64,$63.45
03/16/2021,$64.01,7375816,$63.24,$64.2,$63.15
03/15/2021,$63.07,8780987,$62.35,$63.17,$61.87
03/12/2021,$61.56,11561050,$62.49,$62.59,$61.49
03/11/2021,$63.09,9940602,$63.51,$64.04,$63.01
03/10/2021,$63.91,7595490,$64.68,$64.8,$63.6
03/09/2021,$64.33,8973303,$65.507,$66.655,$64.27
03/08/2021,$64.75,10646890,$64.51,$66.66,$63.96
03/05/2021,$64.62,9761404,$63.42,$64.745,$63.3
03/04/2021,$63.23,15847160,$62.8,$64.54,$62.53
03/03/2021,$62.75,7081333,$62.789,$63.32,$62.17
03/02/2021,$63.01,6844248,$62.495,$63.59,$62.35
03/01/2021,$62.46,7333937,$61.76,$62.63,$61.65
02/26/2021,$61.4,10396340,$62.78,$62.79,$61.39
02/25/2021,$62.79,7685278,$63.77,$63.97,$62.51
02/24/2021,$63.71,6533104,$63.56,$64.23,$62.81
02/23/2021,$63.68,8714604,$63.85,$64.16,$62.78
02/22/2021,$64.11,6597733,$63.93,$64.47,$63.525
02/19/2021,$64.37,6054624,$65.08,$65.22,$64.27
02/18/2021,$65.23,6144617,$64.86,$65.46,$64.33
02/17/2021,$65.1,7727937,$64.334,$65.14,$63.84
02/16/2021,$64.8,9756966,$66.41,$66.6,$64.52
02/12/2021,$66.89,3977653,$66.78,$67.27,$66.36
02/11/2021,$66.92,6029087,$67.2,$67.2,$66.05
02/10/2021,$67.29,7667916,$67.26,$68.32,$67.1
02/09/2021,$67.3,6620390,$67.77,$67.84,$66.8504
02/08/2021,$67.97,9599196,$68.5,$68.76,$67.31
02/05/2021,$68.46,15068190,$67.25,$69.36,$66.71
02/04/2021,$65.83,7400443,$64.89,$65.99,$64.44
02/03/2021,$64.52,6421667,$65.21,$65.69,$64.51
02/02/2021,$65.13,7749258,$65.09,$65.97,$64.21
02/01/2021,$65.1,6270188,$66.03,$66.27,$65.06
01/29/2021,$65.6,11724090,$64.2,$66.23,$64.04
01/28/2021,$64.68,8086356,$65.25,$66.235,$64
01/27/2021,$65.48,9908191,$65.75,$66.92,$65.08
01/26/2021,$66.7,7125214,$67.72,$68.38,$66.56
01/25/2021,$68.16,8443926,$66.71,$68.26,$66.4
01/22/2021,$66.94,4914433,$66.527,$67.47,$66.24
01/21/2021,$66.98,8145642,$67.74,$67.74,$66.58
01/20/2021,$67.99,10131250,$67,$68.09,$66.7
01/19/2021,$67.07,18395950,$64.73,$68.157,$64.6
01/15/2021,$63.33,9361943,$62.3,$63.595,$62.13
01/14/2021,$62.4,8694806,$61.64,$63.13,$61.46
