Date,Close/Last,Volume,Open,High,Low
06/29/2021,$145.55,2428626,$145.26,$146.74,$145.1
06/28/2021,$145.29,3888869,$147.01,$147.3,$144.9121
06/25/2021,$146.84,3594218,$145.38,$146.93,$144.945
06/24/2021,$145.44,3609679,$145.8,$146.19,$144.69
06/23/2021,$144.61,3202644,$146.43,$146.5,$144.57
06/22/2021,$146.36,2437121,$146.52,$146.81,$145.35
06/21/2021,$146.65,4285711,$144.11,$147.07,$144.06
06/18/2021,$143.12,9156505,$144.48,$144.68,$143.04
06/17/2021,$145.6,4367387,$147.55,$148.06,$145.28
06/16/2021,$147.83,3879185,$149.76,$149.76,$147.22
06/15/2021,$149.36,2513281,$149.85,$149.91,$148.6
06/14/2021,$150.03,3344845,$150.71,$151.03,$148.655
06/11/2021,$151.28,3438255,$150.43,$151.845,$150.37
06/10/2021,$150.54,4758488,$151.47,$152.84,$149.76
06/09/2021,$150.67,5303252,$149.03,$151.07,$148.82
06/08/2021,$149.07,5080099,$148.12,$150.2,$148.12
06/07/2021,$148.02,3462712,$147.55,$148.74,$147.17
06/04/2021,$147.42,3117905,$146,$147.55,$145.76
06/03/2021,$145.55,4130741,$144.91,$145.88,$144.04
06/02/2021,$145.72,2786916,$144.62,$145.75,$144.11
06/01/2021,$144.19,2417455,$145,$145.83,$143.75
05/28/2021,$143.74,2534811,$144.21,$144.33,$143.485
05/27/2021,$143.82,5630345,$143.82,$144.77,$143.63
05/26/2021,$143.38,3083789,$143.5,$143.9894,$143.04
05/25/2021,$143.79,3937323,$144.92,$145,$143.2
05/24/2021,$144.72,3297570,$145.06,$145.39,$144.18
05/21/2021,$144.74,4033482,$144.28,$145.699,$144.28
05/20/2021,$143.88,4112690,$143.12,$144.91,$142.16
05/19/2021,$143.19,4300732,$142.32,$143.2,$140.92
05/18/2021,$143.91,3824050,$144.78,$145.3,$143.23
05/17/2021,$145.11,4275014,$144.44,$145.8,$144.33
05/14/2021,$144.68,2747385,$145.11,$145.69,$143.96
05/13/2021,$144.17,4598920,$141.45,$144.9,$141.28
05/12/2021,$141.3,5959579,$143.84,$144.15,$141.14
05/11/2021,$144.22,7126404,$144.99,$145.19,$142.9
05/10/2021,$146.17,6983377,$145.8,$148.38,$145.8
05/07/2021,$145.46,7003467,$145.92,$146.14,$144.57
05/06/2021,$148.42,7503487,$145.26,$148.515,$145.18
05/05/2021,$145.22,3622786,$145.94,$146,$144.3592
05/04/2021,$145.75,6350479,$144.41,$146.59,$144.33
05/03/2021,$144.75,5733463,$143.81,$145.75,$143.55
04/30/2021,$141.88,8872181,$143.7,$143.83,$140.55
04/29/2021,$144.24,4353880,$144.13,$148.74,$142.98
04/28/2021,$143,3768129,$142.92,$143.4,$142.1
04/27/2021,$142.01,3884037,$141.69,$142.56,$140.75
04/26/2021,$141.57,4710763,$142.42,$143.63,$141.48
04/23/2021,$142.43,4556700,$141.31,$143.61,$140.95
04/22/2021,$141.28,7101368,$143.7,$144.74,$141
04/21/2021,$143.55,11909010,$138.06,$143.73,$137.71
04/20/2021,$138.16,15480580,$137.07,$139.77,$136.7
04/19/2021,$133.12,8198582,$133.6,$133.815,$132.58
04/16/2021,$133.59,5291756,$133,$134.1,$132.95
04/15/2021,$132.58,3883955,$133.28,$133.87,$132.22
04/14/2021,$132.63,5868049,$131.305,$132.78,$130.52
04/13/2021,$131.18,8033530,$133,$133.62,$130.38
04/12/2021,$134.59,3753959,$135.02,$135.37,$133.85
04/09/2021,$135.73,3023916,$134.87,$135.74,$134.71
04/08/2021,$135.12,4087228,$134.57,$135.6299,$134.16
04/07/2021,$134.93,2976136,$133.84,$134.94,$133.78
04/06/2021,$134.22,3620964,$135.58,$135.64,$134.09
04/05/2021,$135.93,5471616,$133.64,$136.69,$133.4
04/01/2021,$133.23,4074161,$133.76,$133.93,$132.27
03/31/2021,$133.26,4945315,$134.54,$134.71,$132.71
03/30/2021,$134.72,4790366,$135.86,$136.27,$134.02
03/29/2021,$135.86,4622664,$135.98,$137.07,$135.51
03/26/2021,$136.38,5567592,$133.29,$136.48,$133.12
03/25/2021,$133.07,5553966,$130.33,$133.24,$129.77
03/24/2021,$130.62,4005027,$130.95,$132.11,$130.57
03/23/2021,$130.46,4356359,$130.44,$131.56,$129.8
03/22/2021,$130.55,4164914,$128.5,$130.72,$127.89
03/19/2021,$128.9,9844983,$130.02,$130.44,$128.53
03/18/2021,$130.06,5835669,$128.94,$130.995,$127.79
03/17/2021,$129.03,4291351,$128.46,$129.49,$127.49
03/16/2021,$128.24,4653178,$128.28,$128.52,$127.34
03/15/2021,$128.58,3421281,$127.77,$128.75,$127.5401
03/12/2021,$127.61,4010100,$127.19,$127.68,$126.61
03/11/2021,$127.14,5146937,$128.09,$128.64,$126.78
03/10/2021,$127.87,7247807,$125.05,$128.24,$124.61
03/09/2021,$124.18,5609029,$125.4,$126.43,$124.16
03/08/2021,$124.81,7239191,$122.99,$126.85,$122.88
03/05/2021,$122.83,6949265,$120.64,$123.75,$120.25
03/04/2021,$120.11,8068492,$122,$123.22,$118.755
03/03/2021,$122.36,7404269,$120.5,$122.634,$119.98
03/02/2021,$120.33,4524299,$120.74,$121.9,$120.26
03/01/2021,$120.74,5715767,$120.35,$122.32,$119.8649
02/26/2021,$118.93,9050990,$122.25,$122.25,$118.88
02/25/2021,$122.47,5691830,$123.37,$124.35,$122.335
02/24/2021,$123.21,5819983,$120.8,$123.49,$120.52
02/23/2021,$120.71,4531464,$120.92,$121.35,$119.8
02/22/2021,$120.86,5879249,$118.5,$121.125,$118.44
02/19/2021,$118.99,6578741,$120.75,$120.76,$118.38
02/18/2021,$120.73,5399145,$120.5,$120.94,$119.7
02/17/2021,$119.97,3975906,$119.27,$120.56,$119.02
02/16/2021,$120.07,6639790,$120.15,$120.6,$119.36
02/12/2021,$120.8,3871195,$121,$121.36,$120.09
02/11/2021,$120.91,5381556,$122,$122.205,$120.63
02/10/2021,$122.24,4866765,$123.03,$123.41,$121.2138
02/09/2021,$122.1,4717014,$121.9,$122.5953,$121.05
02/08/2021,$123.61,5887999,$122.62,$123.9767,$122.4
02/05/2021,$121.79,4565727,$121,$121.81,$120.52
02/04/2021,$121.02,4562124,$119.91,$121.1,$118.87
