Date,Close/Last,Volume,Open,High,Low
06/29/2021,$84.44,6496954,$85.38,$85.87,$84.34
06/28/2021,$85.11,5738637,$86.39,$86.4,$84.76
06/25/2021,$86.72,6611282,$87.03,$87.4,$86.68
06/24/2021,$86.85,5335186,$87.18,$87.18,$86.255
06/23/2021,$86.6,3524488,$87.42,$87.61,$86.57
06/22/2021,$87.38,4150085,$87.68,$88.06,$86.86
06/21/2021,$88,5097448,$86.75,$88.14,$86.52
06/18/2021,$85.92,10387190,$85.9,$86.73,$85.62
06/17/2021,$87.13,7480665,$88.48,$88.73,$86.32
06/16/2021,$88.43,8033768,$89.23,$89.43,$87.95
06/15/2021,$89.4,5336677,$88.95,$89.795,$88.8
06/14/2021,$88.72,5924874,$88.72,$89.19,$88.245
06/11/2021,$88.81,4082650,$88.7,$88.97,$88.165
06/10/2021,$88.25,4826283,$89.8,$89.98,$88.16
06/09/2021,$88.85,4594454,$89.36,$89.57,$88.82
06/08/2021,$89.45,4776968,$89.2,$89.78,$88.76
06/07/2021,$88.97,5693948,$88.97,$89.15,$88.48
06/04/2021,$89.02,4083004,$88.65,$89.24,$88.5484
06/03/2021,$88.68,4083203,$88.11,$88.967,$87.885
06/02/2021,$88.63,4429419,$89.25,$89.25,$88.4465
06/01/2021,$88.99,4302527,$89.81,$89.93,$88.84
05/28/2021,$88.71,4850672,$88.4,$88.83,$88.035
05/27/2021,$88.61,10492180,$88.5,$88.81,$87.705
05/26/2021,$86.5,4826150,$86.33,$86.73,$86
05/25/2021,$86.26,7606523,$86.63,$87.28,$85.99
05/24/2021,$86.48,5113304,$86.49,$86.95,$86
05/21/2021,$85.81,5803841,$85.85,$87.1,$85.55
05/20/2021,$85.23,10060130,$84.74,$85.56,$84.09
05/19/2021,$85.21,9296453,$84.84,$85.27,$83.58
05/18/2021,$85.38,7438333,$86.2,$86.96,$85.35
05/17/2021,$86.57,5059549,$85.06,$86.57,$85.06
05/14/2021,$85.88,4989535,$84.45,$86.07,$84.355
05/13/2021,$83.78,4710381,$82.3,$84.28,$82.14
05/12/2021,$82.28,6086841,$84.23,$84.86,$82.22
05/11/2021,$84.33,6708052,$84.24,$85.2,$83.35
05/10/2021,$85.04,9042625,$86.86,$87.04,$84.93
05/07/2021,$85.71,6056042,$84.81,$85.9298,$84.14
05/06/2021,$84.68,4903888,$84.81,$84.9,$83.5301
05/05/2021,$84.13,3298446,$83.63,$84.67,$83.54
05/04/2021,$83.94,9307027,$84.12,$84.59,$83.1501
05/03/2021,$84.14,5828775,$83.8,$84.445,$83.28
04/30/2021,$83.24,5615957,$82.55,$83.4078,$82.35
04/29/2021,$82.87,6237020,$83.56,$83.8,$82.505
04/28/2021,$83.08,7164209,$81.48,$83.12,$81.48
04/27/2021,$82.81,11082370,$82.76,$83.69,$80.88
04/26/2021,$81,12145570,$81,$82.07,$80.795
04/23/2021,$80.54,7142207,$78.81,$80.76,$78.81
04/22/2021,$78.74,6706757,$78.99,$79.91,$78.55
04/21/2021,$78.87,5187112,$76.81,$78.94,$76.4
