Date,Close/Last,Volume,Open,High,Low
06/29/2021,$60.46,4097432,$61.22,$61.67,$60.275
06/28/2021,$61.49,2363349,$61.75,$61.92,$61.335
06/25/2021,$61.53,4703889,$60.97,$61.6,$60.59
06/24/2021,$60.98,4963928,$61.54,$61.575,$60.925
06/23/2021,$61.47,4500854,$62.01,$62.055,$61.23
06/22/2021,$62.08,3626204,$62.36,$62.74,$62.035
06/21/2021,$62.5,4302964,$61.72,$62.9181,$61.535
06/18/2021,$61.45,6549315,$63.04,$63.09,$61.38
06/17/2021,$63.35,4425802,$63.01,$63.635,$62.73
06/16/2021,$62.98,4200231,$64.37,$64.58,$62.96
06/15/2021,$64.32,3155774,$63.9,$64.675,$63.82
06/14/2021,$63.79,3300876,$63.77,$64.135,$63.54
06/11/2021,$63.85,3123426,$63.76,$63.965,$63.485
06/10/2021,$63.88,3162620,$63.74,$63.94,$63.48
06/09/2021,$63.63,4454780,$63.42,$63.72,$63.07
06/08/2021,$63.44,4757418,$64.8,$64.8,$63.4
06/07/2021,$64.67,5518892,$64.5,$64.925,$64.29
06/04/2021,$64.35,2950215,$64.62,$64.77,$64.31
06/03/2021,$64.46,3245133,$63.95,$64.68,$63.57
06/02/2021,$63.9,3012637,$63.67,$64.38,$63.31
06/01/2021,$63.43,4008949,$64.13,$64.18,$63.31
05/28/2021,$63.92,3754724,$64,$64.135,$63.725
05/27/2021,$63.66,5674972,$63.94,$63.97,$63.53
05/26/2021,$63.72,2895566,$63.99,$64.06,$63.6
05/25/2021,$64.08,3634738,$64.4,$64.425,$63.725
05/24/2021,$64.42,2566248,$64.63,$64.78,$64.22
05/21/2021,$64.38,6245488,$64.26,$64.59,$63.85
05/20/2021,$64.06,3519995,$64,$64.565,$63.79
05/19/2021,$63.98,4758930,$63.72,$64,$63.02
05/18/2021,$64.16,4955846,$64.45,$64.7757,$64.1
05/17/2021,$64.44,4449912,$65.11,$65.67,$64.4
05/14/2021,$65.11,3859639,$65.16,$65.56,$65.05
05/13/2021,$65.73,3533899,$64.51,$66.155,$64.4
05/12/2021,$64.36,3781493,$65.65,$65.73,$64.31
05/11/2021,$65.8,4057734,$66.3,$66.46,$65.425
05/10/2021,$66.31,3753443,$66.45,$66.93,$66.29
05/07/2021,$66.26,3608889,$65.92,$66.505,$65.8
05/06/2021,$66.05,3333578,$65.59,$66.17,$65.2343
05/05/2021,$65.45,2737699,$66.21,$66.3,$64.87
05/04/2021,$66.42,3815286,$66.22,$66.71,$65.85
05/03/2021,$66.05,3764597,$66.18,$66.7,$65.825
04/30/2021,$66.17,5414009,$65.37,$66.23,$65.01
04/29/2021,$65.16,5034900,$64.19,$65.34,$64.1
04/28/2021,$64.34,3610213,$64.39,$64.625,$64.09
04/27/2021,$64.33,2967907,$64.58,$64.65,$64.18
04/26/2021,$64.66,3924718,$65.46,$65.46,$64.5242
04/23/2021,$65.33,3885796,$65.18,$65.64,$65.05
04/22/2021,$65.1,3975491,$65.63,$65.94,$65.05
04/21/2021,$65.73,3331699,$66.18,$66.4,$65.39
04/20/2021,$66.09,4870856,$64.91,$66.395,$64.82
04/19/2021,$64.92,3554982,$65.02,$65.14,$64.4
04/16/2021,$65.01,5308053,$65,$65.26,$64.57
04/15/2021,$64.49,4773911,$63.92,$64.61,$63.68
04/14/2021,$63.89,3454971,$63.38,$63.925,$63.26
04/13/2021,$63.56,4413546,$62.5,$63.86,$62.5
04/12/2021,$62.89,3240887,$62.82,$63.22,$62.63
