Date,Close/Last,Volume,Open,High,Low
06/29/2021,$508.24,1349887,$504.81,$510.6,$500.7575
06/28/2021,$505.1,1449682,$493.68,$505.74,$492.01
06/25/2021,$492.87,4676113,$495,$497.705,$491.185
06/24/2021,$495.36,1326742,$495,$498.43,$493.55
06/23/2021,$494.02,1358076,$490.89,$494.16,$489.145
06/22/2021,$492.21,1840708,$484.32,$492.4,$482.97
06/21/2021,$483.56,1111271,$484.22,$487,$476.72
06/18/2021,$482.47,2321324,$483.14,$488.06,$480.442
06/17/2021,$486.08,2237383,$468.84,$489.32,$468.05
06/16/2021,$468.42,1691803,$468.06,$477.32,$465.93
06/15/2021,$470.08,1260757,$472.75,$473.44,$467.5902
06/14/2021,$470.07,1452747,$464.7,$470.94,$463.39
06/11/2021,$465.15,1935144,$464.07,$465.9,$461.155
06/10/2021,$464.91,2679648,$448.79,$465.695,$447.8
06/09/2021,$448.21,1795690,$444.65,$449.91,$442.49
06/08/2021,$441,2819433,$441.77,$444,$438.72
06/07/2021,$444.45,2781999,$449.3,$450.58,$443.46
06/04/2021,$448.76,1731238,$448.97,$452.49,$445.13
06/03/2021,$445.33,2396147,$447.58,$451.49,$444
06/02/2021,$449.21,2355183,$447.708,$452.48,$446.53
06/01/2021,$447.01,4619093,$467,$470.91,$446.31
05/28/2021,$469.5,1618182,$471.74,$480.69,$469.41
05/27/2021,$472.48,4059834,$459.67,$472.64,$457.02
05/26/2021,$459.69,2142611,$462.09,$464.5,$457.25
05/25/2021,$464.02,1592756,$465.3,$466.43,$461.575
05/24/2021,$462.46,1194828,$465.37,$466.57,$461.72
05/21/2021,$462.34,1415320,$467.6,$471.85,$462.08
05/20/2021,$465.29,1181247,$457.7,$467.665,$457.7
05/19/2021,$456.95,1136808,$451.9,$458.125,$449.58
05/18/2021,$454.61,1897261,$450.71,$459.04,$448.52
05/17/2021,$452.92,1091121,$460.87,$461.44,$451.82
05/14/2021,$459.07,1009749,$457.88,$461.4,$454.915
05/13/2021,$456.92,1240357,$457.06,$458.98,$453.56
05/12/2021,$454.78,1454574,$457.7,$464,$454.06
05/11/2021,$464,1568746,$457.74,$464.14,$455.5
05/10/2021,$463.47,1502706,$468.02,$469.95,$462.4
05/07/2021,$468.45,1442085,$473.44,$478.99,$467.9
05/06/2021,$470.14,1530913,$469.04,$470.58,$462.3077
