Date,Close/Last,Volume,Open,High,Low
06/29/2021,$117.21,8150283,$115.74,$118.84,$115.46
06/28/2021,$115.7,9567288,$112.99,$116.36,$112.74
06/25/2021,$112.72,8750439,$111.88,$113.26,$111.51
06/24/2021,$111.7,9718576,$111.5,$113.485,$111.41
06/23/2021,$110.84,4356141,$110.6,$111.26,$110.6
06/22/2021,$110.96,6519401,$111.66,$111.92,$110.5
06/21/2021,$111.44,4743614,$110.25,$112.17,$109.7304
06/18/2021,$110.33,8832123,$110,$111.35,$110
06/17/2021,$111.63,5967581,$109.75,$111.99,$109.73
06/16/2021,$110.06,7051524,$110.19,$111.11,$109.8025
06/15/2021,$110.41,5398786,$110.94,$111.4,$110.1042
06/14/2021,$110.48,4888693,$110.08,$110.56,$109.63
06/11/2021,$109.91,6517490,$110.33,$110.33,$109.51
06/10/2021,$110.15,8012722,$109.05,$110.25,$108.99
06/09/2021,$109.05,13780370,$107.81,$109.53,$107.6
06/08/2021,$107.9,8173948,$110.5,$110.5,$107.825
06/07/2021,$110,7933572,$109.98,$110.88,$109.72
06/04/2021,$109.29,7197233,$109.3,$109.9102,$108.41
06/03/2021,$109.2,12117950,$107,$109.67,$106.55
06/02/2021,$106.9,19215080,$105.79,$107.93,$105.36
06/01/2021,$105.79,25124060,$110.15,$111.3,$105.6913
05/28/2021,$116.65,4813106,$116.47,$117.82,$116.29
05/27/2021,$115.69,10358930,$117,$117.57,$115.61
05/26/2021,$116.75,6693116,$117.52,$118.275,$116.05
05/25/2021,$118.4,4704541,$118,$119.24,$117.56
05/24/2021,$117.29,3095991,$118.04,$118.26,$117.24
05/21/2021,$117.13,4629348,$118.23,$118.95,$116.98
05/20/2021,$117.8,2858296,$116.55,$117.97,$116.41
05/19/2021,$116.38,3430779,$116.16,$116.43,$115.155
05/18/2021,$116.98,3398438,$116.72,$118,$116.72
05/17/2021,$116.74,3732379,$118,$118.35,$116.67
05/14/2021,$118.31,3800475,$117.99,$118.82,$117.33
05/13/2021,$117.45,4519652,$117,$118.03,$116.67
05/12/2021,$116.35,4745641,$117.17,$117.595,$116.25
05/11/2021,$118.39,5520761,$118.86,$119.26,$117.96
05/10/2021,$118.94,3923211,$119.2,$119.945,$118.75
05/07/2021,$118.95,4076673,$119.77,$120.42,$118.76
05/06/2021,$118.79,4305647,$118.05,$118.88,$116.7
05/05/2021,$118.51,4061321,$117.8,$118.87,$117.59
05/04/2021,$117.54,9221821,$119.2,$119.29,$116.43
05/03/2021,$119.53,4917576,$120.55,$120.66,$119.1773
04/30/2021,$120.08,4773478,$120.5,$121.15,$119.345
04/29/2021,$121.01,3889176,$121.5,$121.51,$120.01
04/28/2021,$121.45,3755874,$121.52,$121.92,$120.54
04/27/2021,$121.7,3384975,$122,$122.55,$121
04/26/2021,$122.58,4377454,$123.39,$123.4,$121.95
04/23/2021,$123.31,5227015,$123.62,$124.11,$122.645
04/22/2021,$123.5,6366926,$122.81,$124.82,$122.51
04/21/2021,$122.6,7040450,$120.43,$122.845,$119.8579
04/20/2021,$120,9908213,$120.5,$122,$119.01
04/19/2021,$124.53,6853082,$123.6,$125.42,$123.59
04/16/2021,$124.35,6243068,$124.39,$124.6074,$122.95
04/15/2021,$123.94,4510894,$122.4,$124.68,$121.9
04/14/2021,$121.5,4726734,$122.55,$122.83,$121.285
04/13/2021,$123.01,4944569,$121.05,$123.64,$120.91
04/12/2021,$121.04,2915975,$120.56,$121.369,$120.48
04/09/2021,$120.9,4102501,$119.65,$120.93,$119.35
04/08/2021,$119.78,3768840,$121.01,$121.57,$119.54
04/07/2021,$120.11,4313019,$119.82,$120.88,$119.6
04/06/2021,$119.97,5146395,$120.01,$122.01,$119.6
04/05/2021,$119.86,6314613,$119.65,$120.35,$119.08
04/01/2021,$118.94,4015265,$120.28,$120.87,$118.78
03/31/2021,$119.84,5792830,$120,$121.45,$119.75
03/30/2021,$119.75,5054413,$121.5,$122.49,$119.3789
03/29/2021,$122.23,4810103,$121,$122.74,$120.045
03/26/2021,$122.07,4857100,$119.28,$122.3,$118.935
03/25/2021,$119.05,5320061,$118.73,$119.501,$117.24
03/24/2021,$118.02,6521405,$120,$120.45,$117.95
03/23/2021,$120.49,3788585,$121.77,$122.15,$119.87
03/22/2021,$121.47,5173154,$120.26,$122.22,$120.01
03/19/2021,$120.25,11275170,$118.38,$120.99,$117.57
03/18/2021,$118.11,4253018,$117.5,$119.15,$117.31
03/17/2021,$117.62,3797248,$117.67,$118.22,$116.915
03/16/2021,$118.22,3870506,$118.45,$119.44,$117.53
03/15/2021,$118.1,4652129,$117.19,$118.22,$116.54
03/12/2021,$116.71,3714034,$117.09,$117.27,$116.12
03/11/2021,$117.52,4915710,$116.69,$117.865,$115.84
03/10/2021,$115.88,7640452,$117.24,$119.2,$115.32
03/09/2021,$116.7,5176110,$116.74,$119.34,$116.49
03/08/2021,$115.63,3931566,$117,$118.28,$115.56
03/05/2021,$117.25,4859525,$117,$117.58,$114.8
03/04/2021,$116.01,6699630,$119,$119.81,$114.74
03/03/2021,$119.18,5239587,$121.69,$121.89,$119.06
03/02/2021,$122.53,4908215,$122.21,$123.1,$121.19
03/01/2021,$122.21,3859195,$120.99,$122.95,$120.61
02/26/2021,$119.78,5197681,$122.19,$122.36,$119.66
02/25/2021,$121.58,3468872,$121.66,$122.76,$120.7745
02/24/2021,$122.38,4127524,$120.8,$122.91,$120.66
02/23/2021,$120.8,5566064,$122.25,$123.18,$120.21
02/22/2021,$122.55,4842190,$122.95,$122.95,$120.53
02/19/2021,$123.04,6204206,$125.25,$125.39,$122.67
02/18/2021,$125.41,5435012,$125.47,$126.66,$124.07
02/17/2021,$127.24,3162043,$127.37,$128,$126.39
02/16/2021,$128.02,5174034,$128.49,$128.5,$126.85
02/12/2021,$128.23,3658831,$126.41,$128.54,$126.25
02/11/2021,$126.84,3697423,$125.69,$126.87,$125.2
02/10/2021,$125.29,4195704,$125.79,$126.2,$124.76
02/09/2021,$125.15,3424524,$124.83,$125.28,$123.6149
02/08/2021,$124.5,3456083,$125,$125.8,$123.77
02/05/2021,$124.03,5803596,$120.43,$124.32,$120.04
02/04/2021,$119.74,4377982,$119.83,$120.865,$118.79
02/03/2021,$120.22,4992031,$119.74,$120.89,$118.9
02/02/2021,$120.24,7276960,$123.4,$123.72,$120.23
02/01/2021,$122.54,8337131,$123.24,$124.82,$122.5
01/29/2021,$123.59,10995350,$120.25,$124.72,$119.71
01/28/2021,$120.39,11296280,$117.91,$124.07,$117.145
01/27/2021,$114.29,9104907,$115.2,$117.78,$113.5
01/26/2021,$114.73,4142373,$114.25,$115.1199,$113.7938
01/25/2021,$114.72,4689256,$113.06,$115.4,$113.01
01/22/2021,$112.84,4163905,$113,$113.51,$111.74
01/21/2021,$112.95,5028068,$112.25,$113.54,$110.26
01/20/2021,$112.89,2952325,$112.65,$113.53,$112
01/19/2021,$112.57,6820328,$111.74,$113.13,$110.52
01/15/2021,$111.3,4480173,$110,$111.62,$109.39
01/14/2021,$110.04,4391349,$111.21,$111.66,$109.75
01/13/2021,$112.15,6047106,$109.09,$112.9,$108.25
01/12/2021,$108.84,5777386,$110.52,$110.72,$108.34
