Date,Close/Last,Volume,Open,High,Low
06/29/2021,$296.43,2060957,$294.79,$297.655,$294.6
06/28/2021,$293.9,1662419,$294.44,$295.87,$292.5
06/25/2021,$294.66,4233646,$292.33,$295.22,$290.42
06/24/2021,$291.56,3004034,$297.23,$297.8,$289.55
06/23/2021,$285.7,2161301,$287.75,$288.4,$285.5901
06/22/2021,$285.66,2019774,$285.76,$286.615,$283.71
06/21/2021,$285.56,1959400,$283.96,$287.495,$282.01
06/18/2021,$281.25,3134046,$282.84,$284,$280.8
06/17/2021,$284.77,1872084,$282.5,$285.43,$282.5
06/16/2021,$283.94,2350866,$287.48,$287.48,$283.03
06/15/2021,$286.19,1408250,$286.85,$287.95,$285.37
06/14/2021,$285.71,1672434,$285.74,$285.84,$283.18
06/11/2021,$285.28,1473088,$285,$285.57,$283.94
06/10/2021,$284.22,2007198,$283.53,$284.71,$282.78
06/09/2021,$282.11,1166539,$283.1,$283.27,$281.54
06/08/2021,$281.45,1321418,$282,$283.48,$280.9175
06/07/2021,$282.19,1404048,$283.17,$284.25,$281.06
06/04/2021,$283.17,1146226,$281.32,$283.442,$281.181
06/03/2021,$279.63,1540642,$280,$280.79,$277.38
06/02/2021,$281.8,2090035,$281.05,$283.12,$281.05
06/01/2021,$280.88,1670861,$285.58,$285.58,$280.61
05/28/2021,$282.16,2005678,$282.55,$284.92,$282.1
05/27/2021,$280.05,7166344,$284.17,$285.28,$279.15
05/26/2021,$283.95,1873464,$285.9,$286.83,$283.33
05/25/2021,$285.99,1761287,$285.8,$286.2,$283.61
05/24/2021,$284.85,1231298,$285.2,$286.04,$284.215
05/21/2021,$283.38,2210223,$285,$287.14,$282.67
05/20/2021,$283.95,2094665,$281.7,$285.13,$281.575
05/19/2021,$280.97,1625345,$279.93,$281.07,$276.88
05/18/2021,$283.01,1438405,$285.81,$286.7,$282.82
05/17/2021,$287,1499964,$287.64,$288.55,$286.1
05/14/2021,$288.2,1285600,$286.86,$294.5,$286.617
05/13/2021,$285.32,1698244,$281.12,$287.25,$281.12
05/12/2021,$279.39,2116587,$285.23,$285.31,$279.14
05/11/2021,$287.95,1541786,$288.44,$288.46,$284.565
05/10/2021,$290.61,1620690,$290.62,$294.1,$290.19
05/07/2021,$291.53,1394227,$292.2,$294.09,$291.037
05/06/2021,$291.16,1863192,$289.48,$291.18,$287.611
05/05/2021,$289.52,1068486,$292.34,$292.83,$289.12
05/04/2021,$291.6,1810733,$290.89,$291.94,$289.15
05/03/2021,$292.17,1300351,$292.93,$293.42,$291.365
04/30/2021,$289.97,1969179,$290.77,$290.92,$288.36
04/29/2021,$292.54,1247772,$292.08,$293.28,$290.6
04/28/2021,$290.27,1159940,$290.72,$291.45,$289.82
04/27/2021,$290.25,1270917,$290.07,$290.89,$288.065
04/26/2021,$289.52,1420710,$291.6,$292.37,$288.84
04/23/2021,$291.74,1505286,$290.19,$292.891,$289.7
04/22/2021,$290.16,1460430,$290.99,$293.28,$289.15
04/21/2021,$290.72,1585981,$289.67,$291.15,$287.79
04/20/2021,$288.6,1889813,$285.93,$288.9,$285.76
04/19/2021,$286.54,1437060,$287.1,$287.23,$284.91
04/16/2021,$286.96,2625463,$285.16,$287.46,$285.005
04/15/2021,$285.15,2047477,$286.26,$287.18,$284.41
04/14/2021,$284.44,1903608,$284.38,$286.8,$283.08
04/13/2021,$285.22,2228040,$286.6,$287.06,$284.08
04/12/2021,$287.54,1437563,$285.97,$288.1,$285.1384
04/09/2021,$287.71,1787837,$285,$287.82,$283.6
04/08/2021,$284.42,1600609,$284.12,$285.345,$283.23
04/07/2021,$282.57,2736294,$281.97,$283.63,$281.1
04/06/2021,$281.63,1786624,$281.43,$283.05,$279.65
