Date,Close/Last,Volume,Open,High,Low
06/29/2021,$242.46,1337258,$243.222,$243.94,$242.06
06/28/2021,$242.84,1680689,$244.03,$245.51,$242.66
06/25/2021,$242.68,4309911,$241.635,$243.65,$240.11
06/24/2021,$240.95,1942952,$240.41,$243.03,$239.29
06/23/2021,$238.71,1654342,$239.65,$239.75,$236.93
06/22/2021,$239.91,1780379,$239.71,$240.75,$238.29
06/21/2021,$240.24,2149019,$239.64,$240.9079,$237.65
06/18/2021,$238.68,5560411,$239.58,$241,$236.47
06/17/2021,$240.76,2142783,$239.54,$242.43,$238.34
06/16/2021,$239.58,3185551,$240.87,$244.505,$238
06/15/2021,$239.85,2508831,$241.74,$241.98,$239.05
06/14/2021,$241.19,2083431,$242.56,$242.72,$239.29
06/11/2021,$242.77,2002318,$244.88,$245.5,$241.98
06/10/2021,$244.64,2656244,$239.57,$245.33,$239.22
06/09/2021,$239.52,3047686,$237.92,$241.31,$236.725
06/08/2021,$236.82,1638030,$238.93,$239.12,$235.25
06/07/2021,$237.19,2153799,$236.92,$240.5669,$235.2
06/04/2021,$236.85,1875699,$236.74,$239.28,$235.75
06/03/2021,$235.74,2010621,$233.67,$236.58,$233.36
06/02/2021,$235.16,2266903,$234.9,$236.69,$233.89
06/01/2021,$233.58,3799573,$242.2,$242.28,$232.94
05/28/2021,$237.94,3240387,$236.21,$240.87,$236.13
05/27/2021,$235.31,3701322,$238.91,$239.464,$234.58
05/26/2021,$238.55,3812161,$241.84,$242.479,$238.33
05/25/2021,$242,3210585,$246.66,$247.75,$241.78
05/24/2021,$247.75,2552122,$250.56,$253.48,$247.57
05/21/2021,$251.01,2177900,$253.71,$254.06,$250.74
05/20/2021,$251.93,2227471,$248.005,$254.39,$247.905
05/19/2021,$248.63,2652544,$248.39,$249.09,$246.75
05/18/2021,$250.86,1729459,$252.08,$253.1,$250.32
05/17/2021,$252.38,1922174,$252.29,$254.66,$250.64
05/14/2021,$251.38,2286855,$252.89,$254.59,$251.15
05/13/2021,$252.07,3275792,$250.17,$254.09,$249.79
05/12/2021,$250.83,2432107,$251.41,$253.72,$249.68
05/11/2021,$252.3,2307165,$253.16,$255.96,$251.62
05/10/2021,$252.62,4079879,$256,$258.81,$252.06
05/07/2021,$254.21,2513035,$251.78,$255.73,$251.78
05/06/2021,$251.3,2790864,$249.28,$251.48,$246.96
05/05/2021,$249.35,2765160,$246.29,$249.98,$245.91
05/04/2021,$247.36,3556137,$247.27,$247.58,$242.87
05/03/2021,$245.38,3587668,$240.67,$247.02,$240.55
04/30/2021,$239.64,3420870,$234.27,$240.66,$234.2
04/29/2021,$234.71,4053469,$235.07,$236,$231.03
04/28/2021,$236.71,7550765,$241.52,$243.97,$233.76
04/27/2021,$255.13,2184917,$255.189,$256.53,$253.76
04/26/2021,$255.52,1782679,$256.65,$256.75,$254.415
04/23/2021,$257.03,2427125,$254.98,$258.14,$253.67
04/22/2021,$255.05,3370746,$257.54,$258.475,$253.66
04/21/2021,$258.78,2173640,$260.41,$261,$257.75
04/20/2021,$259.14,1579344,$254.84,$260.36,$254.84
04/19/2021,$255.97,2345158,$252.85,$256.11,$252.64
04/16/2021,$255.71,2768721,$256.44,$258.82,$254.67
04/15/2021,$255.13,2366334,$251.1,$257,$250.5
04/14/2021,$249.62,1753827,$249.98,$251.5,$249
04/13/2021,$249.95,1766133,$249.15,$250.35,$247.09
04/12/2021,$248.94,1721957,$248.52,$250,$247.79
04/09/2021,$248.95,1368801,$247.71,$249.1,$245.81
04/08/2021,$246.88,1633607,$249.1,$249.4802,$245.98
04/07/2021,$248.12,1583660,$248.17,$250.22,$247.1
04/06/2021,$249.1,2040112,$251.74,$252.54,$248.24
04/05/2021,$252.02,2230560,$249.06,$252.63,$249.06
