Date,Close/Last,Volume,Open,High,Low
06/29/2021,$40.89,38519610,$41.63,$41.95,$40.75
06/28/2021,$41.56,34416480,$41.46,$41.58,$41.1
06/25/2021,$41.62,53178850,$41.27,$41.83,$40.84
06/24/2021,$40.83,37161800,$40.44,$41.01,$40.18
06/23/2021,$40.2,32039930,$40.16,$40.42,$40.07
06/22/2021,$39.97,44113250,$39.88,$40.26,$39.28
06/21/2021,$39.75,48119370,$39.12,$39.78,$39.03
06/18/2021,$38.78,102774200,$39.01,$39.3,$38.49
06/17/2021,$39.8,80728190,$42.02,$42.1,$39.72
06/16/2021,$41.62,63859110,$41.28,$41.985,$40.67
06/15/2021,$41.39,39247940,$41.28,$41.56,$40.9
06/14/2021,$41.36,36050670,$41.85,$41.905,$41.06
06/11/2021,$41.86,31203610,$41.81,$41.89,$41.51
06/10/2021,$41.69,40123630,$42.76,$42.9599,$41.615
06/09/2021,$42.32,42366330,$42.47,$42.73,$42.11
06/08/2021,$42.88,41871450,$42.86,$43.24,$42.425
06/07/2021,$43.12,28401880,$43.27,$43.39,$43.06
06/04/2021,$43.27,37192600,$43.24,$43.39,$42.83
06/03/2021,$43.25,46981200,$42.77,$43.49,$42.68
06/02/2021,$42.94,34180480,$43.1,$43.17,$42.6
06/01/2021,$42.92,42890650,$42.95,$43.28,$42.765
05/28/2021,$42.39,38509710,$42.66,$42.705,$42.05
05/27/2021,$42.55,52981100,$42.48,$42.845,$42.115
05/26/2021,$42.04,41332750,$42.02,$42.25,$41.66
05/25/2021,$42.01,52657670,$42.69,$43.255,$41.93
05/24/2021,$42.63,31390750,$42.58,$42.78,$42.25
05/21/2021,$42.4,40243780,$42.02,$42.6,$41.89
05/20/2021,$41.87,36871080,$41.9,$42.125,$41.46
05/19/2021,$41.97,42672760,$41.65,$42,$41.31
05/18/2021,$42.16,37880310,$42.7,$42.95,$42.14
05/17/2021,$42.74,32631780,$42.24,$42.85,$42.16
05/14/2021,$42.36,30932590,$42.06,$42.479,$41.92
05/13/2021,$41.84,42026130,$40.86,$42.09,$40.78
05/12/2021,$41.18,47532960,$42.38,$42.56,$41.04
05/11/2021,$41.57,42964650,$41.55,$42.34,$41.34
05/10/2021,$42.05,41271510,$42.5,$42.94,$42.03
05/07/2021,$42.18,39249230,$41.13,$42.25,$41.11
05/06/2021,$42.01,39044360,$41.48,$42.06,$41.24
05/05/2021,$41.39,23266920,$41.2,$41.56,$40.76
05/04/2021,$41,53879990,$40.24,$41.08,$39.78
05/03/2021,$40.56,41940540,$40.87,$41.05,$40.42
04/30/2021,$40.53,39203390,$40.84,$40.9,$40.47
04/29/2021,$41.11,44008650,$40.55,$41.13,$40.46
04/28/2021,$40.03,34084390,$39.93,$40.22,$39.88
04/27/2021,$39.88,34304850,$39.67,$39.92,$39.51
04/26/2021,$39.41,34699770,$39.35,$39.845,$39.285
04/23/2021,$39.18,48688100,$38.32,$39.34,$38.22
04/22/2021,$38.36,48093370,$38.75,$38.77,$38.165
04/21/2021,$38.72,37851800,$37.75,$38.78,$37.41
04/20/2021,$38.08,50834130,$39,$39,$37.89
04/19/2021,$39.17,42321110,$39.39,$39.43,$39.035
04/16/2021,$39.15,60633440,$39.31,$39.42,$38.91
04/15/2021,$38.74,118128900,$39.73,$39.835,$38.0503
04/14/2021,$39.88,52023790,$38.98,$40.33,$38.92
04/13/2021,$39.32,46770430,$39.81,$39.82,$39.2
04/12/2021,$40.06,45544580,$39.99,$40.375,$39.85
04/09/2021,$39.99,45872880,$39.91,$40.18,$39.51
04/08/2021,$39.7,45285920,$39.8,$39.85,$39.22
04/07/2021,$40.05,43136430,$39.77,$40.145,$39.59
04/06/2021,$39.69,42590120,$39.53,$40.15,$39.455
04/05/2021,$39.8,50328510,$40,$40.28,$39.6
04/01/2021,$39.49,65586960,$38.83,$39.52,$38.72
03/31/2021,$38.69,49269960,$38.62,$38.99,$38.46
03/30/2021,$38.99,56705930,$38.63,$39.46,$38.63
03/29/2021,$38.31,45680020,$38.05,$38.625,$37.86
03/26/2021,$38.68,66846030,$38.35,$38.76,$38.075
03/25/2021,$37.66,47517930,$36.87,$37.75,$36.63
03/24/2021,$36.9,43896770,$37.21,$37.79,$36.89
03/23/2021,$36.9,49838040,$37.36,$37.82,$36.7811
03/22/2021,$37.66,54701320,$38.08,$38.38,$37.4
03/19/2021,$38.53,106252700,$38.29,$38.92,$37.53
03/18/2021,$38.94,95439690,$38.51,$39.9678,$38.425
03/17/2021,$37.95,63795960,$38,$38.36,$37.33
03/16/2021,$37.64,50300420,$37.42,$37.72,$36.97
03/15/2021,$37.75,50194920,$38.03,$38.07,$37.22
03/12/2021,$37.94,46069550,$37.92,$38.1766,$37.58
03/11/2021,$37.24,45833980,$37.27,$37.79,$36.85
03/10/2021,$37.37,53365580,$36.54,$37.53,$36.37
03/09/2021,$36.32,63946000,$36.55,$37.16,$35.81
03/08/2021,$37.13,65335450,$37.38,$37.73,$36.82
03/05/2021,$36.93,74292330,$37.03,$37.6,$36.17
03/04/2021,$36.5,96512820,$36.14,$36.87,$35.92
03/03/2021,$36.42,66046960,$35.97,$36.97,$35.84
03/02/2021,$35.53,41167420,$35.65,$35.94,$35.5
03/01/2021,$35.79,45901660,$35.52,$36.05,$35.24
02/26/2021,$34.71,70933310,$35.73,$36.035,$34.68
02/25/2021,$35.93,74762030,$36.96,$37.03,$35.76
02/24/2021,$36.38,58139470,$35.74,$36.52,$35.6
02/23/2021,$35.52,67440700,$35.42,$35.89,$35.14
02/22/2021,$35.15,56783370,$34.45,$35.25,$34.41
02/19/2021,$34.54,54514130,$34.2,$34.725,$34.18
02/18/2021,$34.19,37541680,$34.06,$34.65,$34.0201
02/17/2021,$34.41,46100800,$34.04,$34.56,$33.79
02/16/2021,$34.27,52802550,$33.98,$34.56,$33.702
02/12/2021,$33.37,37468260,$33,$33.45,$32.91
02/11/2021,$32.88,29479880,$32.97,$33.31,$32.55
02/10/2021,$32.98,45031900,$33.12,$33.42,$32.86
02/09/2021,$32.95,35868640,$32.97,$33.02,$32.585
02/08/2021,$33.09,46014140,$32.43,$33.28,$32.4
02/05/2021,$32.37,42008830,$32.89,$32.905,$32.32
02/04/2021,$32.5,51751930,$31.8,$32.531,$31.78
02/03/2021,$31.58,49404900,$30.91,$31.73,$30.88
02/02/2021,$31.03,53527000,$30.58,$31.2,$30.54
02/01/2021,$29.96,40985250,$29.87,$30.04,$29.57
01/29/2021,$29.65,64019080,$30.4,$30.5,$29.59
01/28/2021,$30.32,51223280,$30.42,$30.75,$29.9174
01/27/2021,$29.83,63809180,$30.31,$30.43,$29.67
01/26/2021,$30.94,36373040,$31.4,$31.43,$30.91
01/25/2021,$31.16,48078410,$31.27,$31.3,$30.57
01/22/2021,$31.55,45314480,$31.36,$31.75,$31.25
01/21/2021,$31.77,49675880,$32.34,$32.48,$31.73
01/20/2021,$32.34,53920030,$32.76,$32.79,$32.155
01/19/2021,$32.77,78130240,$32.5,$33.6,$32.2
01/15/2021,$33.01,57684300,$33.29,$33.63,$32.7
