Date,Close/Last,Volume,Open,High,Low
06/29/2021,$103.76,7225469,$104.59,$104.97,$103.61
06/28/2021,$103.99,11348400,$106.95,$107,$103.66
06/25/2021,$107.3,8102262,$107.59,$108.06,$106.78
06/24/2021,$107.14,8724554,$107.14,$107.7766,$106.36
06/23/2021,$106.27,7792775,$107.36,$108.13,$106.23
06/22/2021,$106.4,10230130,$105.33,$106.96,$104.31
06/21/2021,$106.05,13591480,$104.1,$106.435,$103.93
06/18/2021,$103.03,22284520,$105.25,$106.27,$102.91
06/17/2021,$107.07,14337760,$109.24,$109.9836,$105.6225
06/16/2021,$109.67,9283310,$110.03,$110.51,$108.9
06/15/2021,$110.3,10540240,$108.41,$110.48,$108.39
06/14/2021,$107.97,9051850,$108.18,$108.96,$106.83
06/11/2021,$107.91,7731720,$108.84,$108.97,$107.86
06/10/2021,$108.41,13526150,$109.06,$110.25,$107.25
06/09/2021,$107.78,10146880,$109.06,$109.53,$107.65
06/08/2021,$108.73,10559460,$107.65,$108.98,$106.3
06/07/2021,$107.75,6748624,$108.37,$108.7,$107.57
06/04/2021,$108.45,6699324,$108.24,$108.67,$107.21
06/03/2021,$107.59,8809345,$107.56,$108.09,$106.56
06/02/2021,$108.08,9141802,$107.21,$108.56,$106.21
06/01/2021,$106.65,10260600,$105.3,$107.43,$105.3
05/28/2021,$103.79,7278515,$103.62,$104.12,$102.95
05/27/2021,$103.01,11703370,$104.12,$104.91,$102.57
05/26/2021,$104.12,9232351,$104.52,$104.9099,$103.655
05/25/2021,$103.87,7883966,$105.43,$105.62,$103.61
05/24/2021,$105.6,6785616,$104.95,$105.835,$104
05/21/2021,$104.12,10352760,$104.1,$105.2,$103.68
05/20/2021,$103.56,9706329,$103.07,$104.07,$101.97
05/19/2021,$103.2,14762700,$103.82,$104.29,$101.97
05/18/2021,$106.18,12759860,$108.94,$109.06,$105.97
05/17/2021,$110.81,12656550,$109.09,$110.88,$108.97
05/14/2021,$109.47,9124095,$107.8,$109.82,$107.8
05/13/2021,$106.68,9712944,$106.07,$107.87,$105.44
05/12/2021,$107.37,11661880,$107,$110.15,$106.72
05/11/2021,$106.7,12754780,$109.06,$109.58,$106.21
05/10/2021,$109.57,13586540,$111.44,$113.11,$109.52
05/07/2021,$110.02,10273020,$108.09,$110.6686,$107.7
05/06/2021,$109.02,9654939,$108.95,$109.13,$107.42
05/05/2021,$108.96,7328139,$107.09,$109.54,$106.82
05/04/2021,$106.11,8704287,$105.96,$106.51,$104.85
05/03/2021,$105.53,7938125,$103.98,$105.72,$103.22
04/30/2021,$103.07,13729990,$104.98,$105.39,$102.97
04/29/2021,$106.9,9740270,$106.42,$107.65,$105.75
04/28/2021,$105.22,8718443,$103.54,$105.8599,$103.37
04/27/2021,$102.7,6898931,$101.81,$103.1,$101.51
04/26/2021,$101.52,5639736,$101.27,$102.67,$101.26
04/23/2021,$101.55,6763045,$101.1,$102.17,$100.72
04/22/2021,$100.95,9899395,$102.87,$102.87,$100.87
04/21/2021,$102.73,8264429,$100.33,$102.99,$100.14
04/20/2021,$101.33,9783782,$102.83,$102.99,$100.51
04/19/2021,$103.26,7068669,$103.27,$103.83,$102.21
04/16/2021,$102.96,7459703,$103.8,$104.36,$102.43
04/15/2021,$103.42,7860544,$104.01,$104.2699,$102.93
04/14/2021,$104.27,10194800,$102.65,$105.33,$102.6
04/13/2021,$102.24,6829891,$101.56,$102.6,$101.29
04/12/2021,$101.78,7845876,$103.67,$103.86,$101.51
04/09/2021,$102.92,7163742,$103.12,$103.68,$102.1
04/08/2021,$103.02,8282974,$103.52,$103.62,$102.07
04/07/2021,$104.19,7699316,$103.47,$104.57,$103.26
04/06/2021,$103.58,8125056,$104.25,$105.08,$103.45
04/05/2021,$104.51,8692709,$105.73,$105.83,$104.17
04/01/2021,$105.75,8515750,$105.26,$105.86,$104.21
03/31/2021,$104.79,8954377,$105.55,$106.22,$104.6
03/30/2021,$105.93,6284594,$106.06,$106.83,$105.59
03/29/2021,$106.92,7542327,$106.4,$107.53,$105.7
03/26/2021,$107.48,9820150,$106.54,$107.54,$105.36
03/25/2021,$105.07,11138160,$102.85,$105.26,$102.07
03/24/2021,$104.7,11026790,$102.99,$105.76,$102.91
03/23/2021,$101.97,14781720,$101.45,$104.3,$100.69
03/22/2021,$102.54,12508500,$103.06,$104.5,$102.311
03/19/2021,$103.38,18490990,$103.94,$104.89,$102.74
03/18/2021,$104.12,13246640,$107.01,$107.53,$103.71
03/17/2021,$108.03,9168615,$107.21,$108.5582,$106.6
03/16/2021,$107.64,11698410,$108.53,$108.88,$107.08
03/15/2021,$110.25,10490520,$111.53,$111.905,$108.89
03/12/2021,$111.56,10930300,$111.64,$112.7,$110.7205
03/11/2021,$111.19,10989460,$111.65,$112.55,$110.89
03/10/2021,$111.37,17389900,$110.2,$112.01,$109.7
03/09/2021,$109.5,19010710,$109.07,$110.69,$107.88
03/08/2021,$109.75,18033630,$109.86,$110.43,$108.06
03/05/2021,$109,23638180,$106.96,$109.13,$106.15
03/04/2021,$104.5,22994230,$104.515,$107.58,$103.13
03/03/2021,$103.59,14958190,$103.41,$105.75,$103.4
03/02/2021,$102.44,10643500,$101.89,$103.309,$101.71
03/01/2021,$102.05,10441460,$102.46,$103.8,$101.4
02/26/2021,$100,14454120,$100.3,$101.06,$97.61
02/25/2021,$102.35,13219200,$104.9,$104.96,$101.59
02/24/2021,$103.31,16115970,$100.33,$104.04,$99.81
02/23/2021,$99.63,14873980,$99.97,$100.16,$96.8
02/22/2021,$98.39,13178660,$96.99,$99.64,$96.46
02/19/2021,$95.8,8913854,$95.13,$96.38,$94.65
02/18/2021,$95,9037383,$95.75,$95.78,$94.3
02/17/2021,$95.92,14359910,$95.42,$96.72,$94.2
02/16/2021,$93.13,14005980,$93.05,$93.86,$92.61
02/12/2021,$92.55,7858297,$91.53,$92.73,$91.35
02/11/2021,$92.02,8572404,$92.37,$92.44,$90.08
02/10/2021,$92.52,8778844,$91.38,$92.59,$90.6
02/09/2021,$90.96,7605481,$91.1,$91.27,$89.81
02/08/2021,$91.48,9886579,$90.29,$92.04,$90.01
02/05/2021,$89.26,8017276,$89.94,$90.47,$88.64
02/04/2021,$89,7917645,$89.51,$89.65,$87.945
02/03/2021,$88.96,9256453,$87.05,$89.39,$86.89
02/02/2021,$87.06,9233059,$88.01,$88.37,$86.53
02/01/2021,$86.41,8073583,$85.99,$87.3,$84.57
01/29/2021,$85.2,14699840,$86.83,$87.34,$84.92
01/28/2021,$89.02,8155520,$88.67,$90.15,$88.25
01/27/2021,$88.2,10178500,$87.53,$90.35,$86.745
01/26/2021,$89.36,7827751,$92.2,$92.91,$89.27
01/25/2021,$90.9,7689434,$90.62,$91.0271,$89.33
01/22/2021,$91.73,7810638,$90.4,$92.03,$89.83
01/21/2021,$92.01,10395870,$93.855,$94.66,$91.22
01/20/2021,$95.38,8735375,$95,$95.56,$94.3002
01/19/2021,$94.51,9574755,$93.5,$95.03,$93.29
01/15/2021,$92.09,10244600,$94.22,$94.31,$91.71
01/14/2021,$95.49,13950230,$93.94,$96.315,$93.79
01/13/2021,$93.25,9723285,$93.2,$93.52,$91.94
01/12/2021,$93.34,10923860,$92.66,$93.9209,$91.71
01/11/2021,$91.6,10640790,$89.12,$92.1,$88.57
01/08/2021,$91.08,11152130,$92.08,$92.43,$90.45
01/07/2021,$90.22,9286622,$90.39,$90.82,$89.305
01/06/2021,$89.8,13916760,$89,$90.78,$87.82
01/05/2021,$87,13414800,$85.49,$89.22,$85.32
01/04/2021,$84.71,9234919,$85.15,$85.95,$83.89
12/31/2020,$84.45,8350679,$84.9,$85.195,$83.9601
12/30/2020,$85.33,7901846,$84.61,$86.575,$84.54
12/29/2020,$84.61,7670818,$85.26,$85.7234,$84.05
12/28/2020,$84.9,8051925,$85.61,$86.63,$84.62
12/24/2020,$85.33,3335646,$85.93,$85.93,$84.81
12/23/2020,$85.69,7223112,$85,$86.66,$85
12/22/2020,$84.36,8589973,$85.44,$85.8,$84.3
12/21/2020,$86.09,11430470,$84.35,$86.835,$83.53
12/18/2020,$87.19,27427610,$87.98,$88.71,$86.26
12/17/2020,$88.41,11748930,$89.54,$89.55,$87.55
12/16/2020,$88.69,9892928,$89.2,$89.35,$87.85
12/15/2020,$89.37,11782520,$89.42,$90.48,$88.77
12/14/2020,$89.44,12198390,$93.4,$93.7,$89.24
12/11/2020,$92.45,9584454,$92.525,$93.28,$91.03
12/10/2020,$93.35,11992090,$91.55,$94.56,$90.7756
12/09/2020,$90.44,11129430,$92.2,$93.02,$89.37
12/08/2020,$91.54,7627316,$90.34,$92.4623,$90.1887
12/07/2020,$90.76,9398377,$91.82,$92.38,$89.88
12/04/2020,$93.28,10791110,$91.22,$93.45,$90.92
12/03/2020,$89.8,8249758,$90.58,$91.11,$89.07
12/02/2020,$89.87,10509610,$87.26,$91.31,$87.1003
