Date,Close/Last,Volume,Open,High,Low
06/29/2021,$94.69,3409277,$95.94,$96.47,$94.455
06/28/2021,$95.03,1726344,$96.23,$96.27,$94.6606
06/25/2021,$96,2076210,$95.76,$96.485,$95.47
06/24/2021,$95.35,2585059,$94.97,$95.4175,$94.135
06/23/2021,$94.5,2234949,$95.11,$96.025,$94.45
06/22/2021,$94.78,2058333,$94.75,$95.52,$93.9636
06/21/2021,$94.93,2580230,$93.22,$95.08,$93.01
06/18/2021,$92.27,5239933,$92.29,$93.25,$92.07
06/17/2021,$94.02,3278245,$98.31,$98.31,$93.86
06/16/2021,$98.24,3527689,$98.52,$98.97,$97.58
06/15/2021,$98.61,3647777,$97.62,$98.65,$97.18
06/14/2021,$97.38,2497259,$96.64,$97.41,$96.19
06/11/2021,$97.03,2144351,$97.94,$98.08,$96.59
06/10/2021,$97.59,2099043,$98.48,$98.8758,$97.45
06/09/2021,$97.9,1843940,$98.28,$98.36,$97.47
06/08/2021,$98.51,2793093,$97.8,$99.09,$97.2
06/07/2021,$97.87,1916613,$98.36,$98.41,$97.27
06/04/2021,$98.21,1770141,$98,$98.74,$97.75
06/03/2021,$97.5,1911441,$97.31,$97.97,$96.66
06/02/2021,$97.48,2303437,$97.17,$97.58,$96.47
06/01/2021,$97.1,2408776,$96.91,$97.24,$96.28
05/28/2021,$95.69,2555518,$95.74,$96,$94.9568
05/27/2021,$95.45,3795286,$94.53,$95.655,$94.11
05/26/2021,$93.31,1982386,$93.34,$93.75,$92.61
05/25/2021,$93.41,1991134,$94.02,$94.63,$93.255
05/24/2021,$94.01,1872811,$94.15,$94.53,$93.31
05/21/2021,$93.65,2421873,$93.98,$94.635,$92.94
05/20/2021,$93.44,2146040,$93.55,$93.77,$92.8
05/19/2021,$93.32,2750557,$92.65,$93.35,$91.75
05/18/2021,$94.22,1993479,$95.62,$95.89,$94.08
05/17/2021,$95.52,2305061,$95.73,$96.05,$94.93
05/14/2021,$95.84,1942241,$95.34,$96.17,$94.96
05/13/2021,$94.71,2295613,$92.92,$95.115,$92.79
05/12/2021,$93.35,4069919,$95.19,$95.45,$93.19
05/11/2021,$95.26,3358636,$94.5,$95.65,$93.77
05/10/2021,$95.38,2357586,$95.6,$96.9,$95.37
05/07/2021,$95.05,3415600,$93.66,$95.26,$92.61
05/06/2021,$93.72,4282664,$91.52,$93.86,$91.01
05/05/2021,$90.89,3256363,$89.77,$91.39,$89.03
05/04/2021,$91.11,3092501,$90.51,$91.27,$89.58
05/03/2021,$90.93,2396456,$91.67,$91.93,$90.69
04/30/2021,$90.49,2537980,$92.12,$92.45,$90.13
04/29/2021,$92.79,1611683,$92.85,$92.91,$91.88
04/28/2021,$92.08,1449040,$92.11,$92.6911,$91.78
04/27/2021,$92.16,1925688,$92.29,$92.41,$91.39
04/26/2021,$92.13,2246712,$92.77,$93.57,$92.09
04/23/2021,$92.46,2374111,$91.91,$92.88,$91.345
04/22/2021,$91.52,2526059,$92.47,$92.47,$91.42
04/21/2021,$92.11,2373744,$90.6,$92.25,$90.43
04/20/2021,$90.83,2726282,$91.41,$91.7,$89.91
04/19/2021,$91.79,2532722,$92.2,$92.66,$91.11
04/16/2021,$92.2,2468757,$92.69,$93.27,$91.8097
04/15/2021,$91.72,3052997,$92.17,$92.3,$90.84
04/14/2021,$91.54,2889534,$90.54,$91.825,$90.48
04/13/2021,$90.63,2728360,$91.49,$91.65,$89.96
04/12/2021,$92.01,2258617,$91.9,$92.37,$91.58
04/09/2021,$91.94,3256348,$91.47,$92.63,$90.93
04/08/2021,$91.04,2422257,$91.03,$91.2085,$90.04
04/07/2021,$91.09,2847373,$91.32,$91.94,$90.58
04/06/2021,$91.47,2844029,$91.83,$92.63,$91.13
04/05/2021,$91.61,3658829,$91.16,$92.55,$91.15
04/01/2021,$90.41,3358574,$90.17,$90.615,$89.55
03/31/2021,$90.22,3555480,$91.14,$91.65,$90.01
03/30/2021,$91.14,2598480,$91.52,$91.91,$90.65
03/29/2021,$91.23,3267259,$91.03,$92.25,$90.76
03/26/2021,$91.57,4093255,$90.09,$91.7,$89.57
03/25/2021,$89.19,2156911,$87.62,$89.44,$86.745
