Date,Close/Last,Volume,Open,High,Low
06/29/2021,$297.89,3594497,$296,$299.5,$294.85
06/28/2021,$293.99,3537070,$293,$294.65,$289.44
06/25/2021,$291.95,11622030,$292.74,$294.75,$286.52
06/24/2021,$303.69,5016359,$301.7,$304.59,$298.98
06/23/2021,$297.37,2157370,$300,$300.65,$296.1646
06/22/2021,$297.69,2250100,$294.92,$299.12,$293.849
06/21/2021,$293.16,1922021,$287.96,$295.03,$287.795
06/18/2021,$285.32,2553783,$284.15,$289.53,$282.0084
06/17/2021,$287.57,2369393,$294.49,$294.74,$285.59
06/16/2021,$294.68,1686057,$298.47,$299.39,$292.47
06/15/2021,$299.3,1833964,$294.99,$299.88,$293.9
06/14/2021,$292.99,1275622,$296.72,$297.17,$292.04
06/11/2021,$296.09,1628876,$293.26,$296.17,$293.26
06/10/2021,$292.84,1811822,$293.59,$295.59,$291.21
06/09/2021,$293.11,4358637,$302.58,$302.62,$290.46
06/08/2021,$302.58,1498990,$302.8,$303.48,$298.62
06/07/2021,$303.34,1960434,$303,$304.21,$299.21
06/04/2021,$302.12,2111168,$306.78,$308,$299.66
06/03/2021,$306.31,1316636,$305.39,$307.78,$302.175
06/02/2021,$306.57,2088412,$313,$313,$303.825
06/01/2021,$310.85,1282365,$318.27,$318.54,$310.085
05/28/2021,$314.81,1022927,$316,$316.75,$313.01
05/27/2021,$315.59,2657327,$312.51,$319.9,$311.86
05/26/2021,$310.75,1695115,$310.72,$312.83,$308.02
05/25/2021,$308.59,1631780,$313,$313.38,$307.71
05/24/2021,$311.84,1808032,$313.52,$313.52,$309.25
05/21/2021,$309.6,1753572,$310.43,$315.29,$309.39
05/20/2021,$309.05,1278135,$309.14,$311.95,$306.76
05/19/2021,$307.93,1734976,$304,$308.43,$299.91
05/18/2021,$306.05,1046192,$309.69,$310.28,$306.05
05/17/2021,$309.26,940170,$310,$311.56,$306.68
05/14/2021,$309.43,1455230,$305.23,$310.5,$305.23
05/13/2021,$303.4,1445029,$297.06,$305.3228,$296.485
05/12/2021,$296.01,1949164,$302.18,$304.76,$294.79
05/11/2021,$305.64,2170813,$304.6,$307.88,$300.57
05/10/2021,$309.27,1733648,$314.68,$317,$309.27
05/07/2021,$314.69,1826102,$308,$315.0995,$308
05/06/2021,$310.96,2561678,$305.29,$311.96,$303.48
05/05/2021,$306.53,1671336,$305.89,$309.99,$302.39
05/04/2021,$304.28,2470499,$302.7,$305.2,$299.32
05/03/2021,$304.55,4580284,$294.89,$305.3999,$294.2
04/30/2021,$290.31,1821932,$293.52,$295.6,$289
04/29/2021,$296.06,2472170,$290,$296.3,$289.2301
04/28/2021,$287.39,1783940,$286.65,$289.15,$285.4199
04/27/2021,$287.51,4961864,$286.56,$292.2,$284.33
04/26/2021,$275.76,1746990,$279.31,$279.87,$274.195
04/23/2021,$277.74,1313752,$278.52,$279.1905,$276.97
04/22/2021,$276.54,1444775,$277.33,$281.07,$276.38
04/21/2021,$278.26,1861411,$279.05,$281.07,$277.09
04/20/2021,$280.34,1425483,$282.42,$283.8,$277.34
04/19/2021,$283.25,1676957,$286.06,$286.67,$282.09
04/16/2021,$287.59,1413296,$292.9,$292.9999,$287.13
04/15/2021,$291.2,1389774,$288.83,$292.4,$286.67
04/14/2021,$287.81,1099895,$289.51,$291.15,$287.57
04/13/2021,$290.89,1713654,$294.73,$294.76,$289.11
04/12/2021,$290.79,1773276,$285.63,$293.09,$285.14
04/09/2021,$286.58,2039379,$282.9,$287,$281.78
04/08/2021,$284.44,2275952,$282.9,$284.44,$279.75
04/07/2021,$279.11,1469193,$281.49,$282.44,$276.69
04/06/2021,$282.17,1407184,$281.66,$284.44,$280.7
04/05/2021,$281.57,1727162,$286,$286.61,$280.57
04/01/2021,$283.54,1443478,$283.54,$285,$281.79
03/31/2021,$284.04,2025998,$286,$287.88,$282.8346
03/30/2021,$285.92,2724678,$279.37,$288.1471,$278.31
03/29/2021,$279.22,1517190,$278,$281.95,$276.64
03/26/2021,$281.34,2066625,$277.7,$281.49,$274.6
03/25/2021,$274.18,2285411,$266.2,$275.02,$263.94
03/24/2021,$268.29,2122732,$269,$274.274,$267.4
03/23/2021,$266.81,2277123,$271.41,$276.95,$265.55
03/22/2021,$274.02,3276368,$279.58,$279.8,$271.68
03/19/2021,$279.58,12938790,$279.05,$282.93,$275.29
03/18/2021,$263.51,4536072,$267.82,$269.27,$262.895
03/17/2021,$265.84,1861367,$259,$266.18,$257.09
03/16/2021,$260.8,2131126,$267,$267.03,$260.3
03/15/2021,$266.88,3216705,$271,$272.85,$263.79
03/12/2021,$270.2,2137265,$267.26,$271.1895,$265.2614
03/11/2021,$268.49,3794359,$263.54,$270.16,$262.31
03/10/2021,$260.42,1600579,$259.13,$261.81,$258.06
03/09/2021,$257.92,2351978,$253.19,$262.11,$252.25
03/08/2021,$251.34,2242420,$260,$261.34,$251.01
03/05/2021,$257.29,1932899,$252.19,$258.21,$245.55
03/04/2021,$250.3,2371613,$256.56,$258.43,$247.085
03/03/2021,$258.77,1564977,$258.98,$262.7,$255.46
03/02/2021,$259.6,1400546,$262.73,$263.65,$259.48
03/01/2021,$262.09,2014472,$258.71,$265.3,$258.3
02/26/2021,$254.5,1738897,$254.93,$257.46,$250.5
02/25/2021,$254.22,1629377,$260.07,$262.97,$253.28
02/24/2021,$260.06,1690181,$254.36,$261.29,$254.01
02/23/2021,$254.63,1753589,$253.5,$255.23,$245.38
02/22/2021,$254.67,1821981,$253.24,$257.4,$253.1
02/19/2021,$254.64,1594824,$258.03,$259.38,$253.781
02/18/2021,$255.63,1684883,$255.51,$258.49,$253.0001
02/17/2021,$259.09,1455508,$259.87,$260.48,$255.41
02/16/2021,$261.83,1747609,$264,$265.46,$261.11
02/12/2021,$263,2673970,$255.09,$263.13,$254.01
02/11/2021,$254.36,1741692,$258,$258.08,$251.56
02/10/2021,$257.46,1969557,$261.72,$261.84,$256.25
02/09/2021,$259.13,1758118,$257.27,$260.5,$254
02/08/2021,$257.45,2135382,$256.76,$259.38,$255.57
02/05/2021,$255.01,2816568,$251,$255.4,$249
02/04/2021,$248.12,2898853,$241.38,$248.18,$240.87
02/03/2021,$241.29,2160532,$242.6,$243.6,$239.35
02/02/2021,$242.5,2859627,$246.39,$246.59,$240.83
02/01/2021,$239.24,2731231,$237.38,$239.75,$235.32
01/29/2021,$235.34,3241337,$242.96,$243.38,$234.79
01/28/2021,$242.79,2179045,$246.01,$246.29,$242.62
01/27/2021,$242.83,2698484,$245.61,$246.4,$240.61
01/26/2021,$249.67,1836122,$254.2,$254.84,$249.34
01/25/2021,$253.48,2009725,$252.45,$254.78,$248.29
