Date,Close/Last,Volume,Open,High,Low
6/30/2021,$536.90,181,$531.50,$537.85,$528.50
6/29/2021,$530.65,4,$532.20,$532.20,$531.45
6/28/2021,$529.15,3,$528.60,$528.70,$528.60
6/25/2021,$529.95,2,$530.75,$530.75,$529.95
6/24/2021,$528.75,9,$524.30,$525.20,$524.30
6/23/2021,$528.00,7,$531.75,$531.75,$528.00
6/22/2021,$526.00,8,$527.70,$527.70,$525.85
6/21/2021,$526.05,120,$519.00,$526.05,$517.40
6/18/2021,$519.85,49,$515.40,$520.15,$515.00
6/17/2021,$514.70,59,$523.25,$523.25,$514.05
6/16/2021,$528.40,7,$527.45,$527.45,$527.25
6/15/2021,$529.20,118,$529.00,$529.70,$528.70
6/14/2021,$529.45,53,$531.35,$532.00,$529.40
6/11/2021,$531.75,156,$532.00,$532.30,$531.40
6/10/2021,$531.10,419,$529.85,$532.10,$527.55
6/9/2021,$535.00,131,$534.25,$534.25,$534.25
6/8/2021,$535.20,2069,$535.00,$535.50,$534.65
6/7/2021,$531.45,988,$533.00,$531.55,$531.25
6/4/2021,$531.35,442,$532.70,$532.70,$532.70
6/3/2021,$526.50,57,$530.10,$527.90,$527.90
6/2/2021,$530.75,8,$529.10,$531.35,$529.10
6/1/2021,$528.50,130,$529.00,$533.15,$526.75
5/28/2021,$519.90,15,$522.50,$522.50,$520.05
5/27/2021,$521.35,15,$515.00,$522.00,$515.00
5/26/2021,$513.25,12,$510.65,$513.45,$510.50
5/25/2021,$512.55,7,$513.15,$513.15,$511.75
5/24/2021,$513.95,14,$509.25,$515.00,$508.00
5/21/2021,$506.60,1,$506.00,$506.00,$506.00
5/20/2021,$501.45,21,$504.25,$507.30,$501.60
5/19/2021,$507.30,50,$512.85,$512.85,$503.35
5/18/2021,$518.95,67,$526.10,$519.50,$515.20
5/17/2021,$520.95,38,$514.50,$522.05,$514.50
5/14/2021,$515.50,42,$515.25,$517.55,$514.95
5/13/2021,$510.75,575,$520.40,$520.40,$510.75
5/12/2021,$525.65,805,$525.75,$529.65,$524.65
5/11/2021,$524.40,1064,$521.60,$525.30,$525.30
5/10/2021,$520.45,1826,$524.25,$524.25,$519.50
5/7/2021,$522.35,201,$520.15,$523.30,$522.25
5/6/2021,$519.30,4,$518.20,$519.95,$518.20
5/5/2021,$518.50,54,$520.85,$518.35,$518.15
5/4/2021,$516.40,10,$511.85,$515.55,$511.85
5/3/2021,$511.05,79,$507.55,$511.95,$507.55
4/30/2021,$505.95,13,$503.20,$506.35,$502.20
4/29/2021,$508.45,9,$510.85,$508.70,$508.70
4/28/2021,$504.70,9,$503.15,$507.25,$503.15
