Date,Close/Last,Volume,Open,High,Low
06/29/2021,$262.09,1658166,$263.48,$265,$261.15
06/28/2021,$263.51,963785,$266.66,$266.7,$263
06/25/2021,$265.85,1452115,$266.03,$267.84,$265.26
06/24/2021,$264.94,1184388,$264.02,$265.64,$262.78
06/23/2021,$263.2,1030754,$264.85,$265.61,$262.8
06/22/2021,$264.08,1271070,$265.36,$266.9,$263.85
06/21/2021,$264.76,1299570,$263.005,$266.67,$263.005
06/18/2021,$261.43,1923123,$263.53,$264.805,$261.31
06/17/2021,$266.92,1189838,$271.32,$271.68,$264.38
06/16/2021,$271.4,1024296,$273.29,$273.4,$270.61
06/15/2021,$273.23,1169404,$272.05,$274.57,$270.93
06/14/2021,$271.52,985176,$271.31,$273,$270.7
06/11/2021,$271.49,1172097,$271.61,$272.28,$270.105
06/10/2021,$270.12,1337860,$275.45,$276.16,$269.49
06/09/2021,$273.76,818368,$275.54,$275.99,$273.62
06/08/2021,$275.46,1045004,$274.71,$276.62,$271.16
06/07/2021,$274.82,927603,$280,$280,$274.8
06/04/2021,$279.3,845265,$281.05,$281.29,$277.68
06/03/2021,$279.57,1170791,$278,$281.68,$277.215
06/02/2021,$279.13,959847,$281.95,$282.0889,$278.735
06/01/2021,$281.44,868169,$283.32,$284.28,$281.11
05/28/2021,$280.9,911267,$279.8,$281.725,$279.03
05/27/2021,$279.33,1422735,$281.99,$282.065,$278.54
05/26/2021,$279.65,921226,$277.97,$283.15,$276.93
05/25/2021,$277.96,1451060,$281.23,$283.8834,$277.75
05/24/2021,$280.48,1295377,$278.73,$280.98,$276.23
05/21/2021,$277.34,1179316,$278.58,$280.95,$276.655
05/20/2021,$276.91,1508423,$279.14,$279.88,$275.89
05/19/2021,$279.45,840938,$277,$279.73,$274.17
05/18/2021,$280.22,1194285,$286.47,$286.73,$280.09
05/17/2021,$285.74,993478,$289.27,$290.15,$284.465
05/14/2021,$289.83,795859,$287.69,$291.8412,$287.19
05/13/2021,$287.01,771405,$282.79,$287.83,$282.42
05/12/2021,$281.7,1209515,$285.96,$287.04,$281.23
05/11/2021,$286.66,1282661,$288.3,$289.95,$285
05/10/2021,$290.35,933852,$291.49,$295.14,$290.22
05/07/2021,$289.81,943555,$287.87,$290.255,$285.8
05/06/2021,$286.97,1093310,$287.01,$287.77,$284.88
05/05/2021,$287.01,762225,$289.84,$291.07,$286.52
05/04/2021,$287.68,1314562,$282.62,$288.07,$282.18
05/03/2021,$283.06,813465,$281.51,$284.84,$281.355
04/30/2021,$279.24,1638862,$280.37,$281.09,$276.93
04/29/2021,$280.7,1632680,$287.2,$287.2,$280
04/28/2021,$284.09,1119217,$281.67,$287.43,$281.67
04/27/2021,$281.85,1095709,$282.68,$283.485,$280.67
04/26/2021,$281.14,914277,$282.56,$285.12,$280.93
04/23/2021,$282,836422,$279.63,$283.12,$278.59
04/22/2021,$278.54,993758,$278.7,$283.505,$277.87
04/21/2021,$280.46,1685786,$272.81,$282.71,$272.68
04/20/2021,$273.31,1385381,$272.27,$278.37,$270.86
04/19/2021,$270.46,911841,$270.55,$270.665,$268.2
04/16/2021,$270.86,1484243,$274.51,$274.8,$269.965
04/15/2021,$272.14,794474,$272.11,$274.46,$271.65
04/14/2021,$271.84,608442,$271.15,$273.28,$270.49
04/13/2021,$270.33,752522,$270.25,$271,$267.57
04/12/2021,$271.55,917585,$271.28,$273.49,$271.1701
04/09/2021,$272.49,992376,$268.88,$272.5,$267.12
04/08/2021,$267.67,1331591,$271.56,$272.03,$267.04
04/07/2021,$271.48,976573,$271.62,$272.3583,$269.48
04/06/2021,$271.22,943161,$275.16,$276.155,$270.96
04/05/2021,$274.63,821534,$273.34,$276.1,$272.648
04/01/2021,$271.18,914773,$270.35,$271.86,$268.84
03/31/2021,$268.52,1378979,$269.99,$271.85,$268.2
03/30/2021,$270.29,885616,$269.28,$272,$269.28
03/29/2021,$270.99,826315,$272.48,$273.88,$268.57
03/26/2021,$272.91,939970,$268.57,$273.06,$267.05
03/25/2021,$268,1201050,$264.31,$268.34,$260.525
03/24/2021,$264.31,871072,$261.15,$267.12,$261.15
03/23/2021,$260.27,1260311,$258.64,$263.7983,$258.33
03/22/2021,$260.62,2261033,$267.82,$269.96,$259.575
03/19/2021,$260.46,2112435,$262.89,$263.7,$258.6
03/18/2021,$263.07,1110622,$258.16,$264.44,$257.64
03/17/2021,$258.16,847584,$256.89,$260.43,$254.84
03/16/2021,$256.39,1291411,$260.76,$260.89,$254.19
03/15/2021,$260.27,987887,$261.38,$261.58,$255.8
03/12/2021,$261.44,861928,$262.31,$264.36,$261.3
03/11/2021,$260.75,1008589,$260.76,$262.56,$259.3
03/10/2021,$259.29,1468692,$260.61,$262.58,$258.18
03/09/2021,$259.11,1261034,$260.88,$263.26,$258.96
03/08/2021,$259.22,995441,$257.33,$264.86,$255.825
03/05/2021,$256,1404756,$247.23,$257.2,$243.155
03/04/2021,$244.71,1873555,$253.5,$254.65,$240.96
03/03/2021,$254.11,1076640,$255.6,$257.18,$253.63
03/02/2021,$256.38,1708556,$256.81,$258.64,$255.73
03/01/2021,$257.83,1256541,$255.59,$260.01,$254.8
02/26/2021,$252.06,1389308,$255.28,$257.21,$251.41
02/25/2021,$254.1,2629608,$257.66,$261.04,$252.42
02/24/2021,$261.78,974053,$257.2,$264.11,$256.61
02/23/2021,$257.89,957606,$260.8,$262.17,$255.9
02/22/2021,$260.24,1323425,$257.5,$262.07,$256.21
02/19/2021,$258.03,976102,$252.89,$258.93,$252.5
02/18/2021,$251.71,938532,$251.11,$252.61,$247.06
02/17/2021,$253.03,968147,$251.93,$254.82,$250.54
02/16/2021,$256.4,1325014,$256.33,$258.4,$254.26
02/12/2021,$254.84,1303070,$248.35,$255.98,$248.14
02/11/2021,$248.91,997312,$245.6,$249.41,$244.89
02/10/2021,$245.29,747374,$246.89,$247.96,$244.225
02/09/2021,$245.82,820578,$244.07,$247.07,$241.65
02/08/2021,$243.8,919387,$246.08,$246.4,$240.78
02/05/2021,$245.66,972425,$247.34,$249.54,$245.63
02/04/2021,$245.57,1225531,$246.36,$248.57,$243.77
02/03/2021,$246.25,813245,$246.74,$247.79,$244.52
02/02/2021,$246.35,1277082,$241,$248.22,$240.72
02/01/2021,$239.91,928768,$238.24,$241.11,$237.92
01/29/2021,$236.62,1413066,$239.43,$242.34,$236.1
01/28/2021,$241.79,1297531,$239.1,$245.095,$234.39
01/27/2021,$235.64,1708646,$234.21,$241.08,$230.15
01/26/2021,$238.09,1194872,$246.89,$247.14,$237.44
01/25/2021,$245.96,1300746,$242.26,$246.48,$240.08
01/22/2021,$244.22,1205545,$245.03,$245.625,$240.68
01/21/2021,$245.36,1147991,$250.71,$251.91,$245.13
01/20/2021,$253.43,1076993,$250.95,$253.91,$247.88
01/19/2021,$249.84,1038024,$254.4,$256.465,$249.525
01/15/2021,$252.95,1065537,$250.61,$253.24,$248.1
01/14/2021,$252.46,690003,$254.82,$256.06,$251.88
01/13/2021,$254.48,1029612,$257.86,$258.17,$252.89
01/12/2021,$256.44,1015316,$253.84,$257.86,$252.05
01/11/2021,$254.37,832210,$252.23,$256.7,$252
01/08/2021,$254.04,1563200,$250.77,$257.7,$248.7801
01/07/2021,$249.85,1350704,$245,$250.03,$244.3
01/06/2021,$243.35,1199412,$235.54,$244.55,$235.54
01/05/2021,$235.71,1368498,$233,$237.5823,$232.83
01/04/2021,$233.44,1558343,$238.31,$239.82,$231.18
12/31/2020,$237.61,698287,$236.45,$238.05,$234.39
12/30/2020,$235.98,665919,$234.34,$236.94,$234
12/29/2020,$233.99,929851,$236.93,$238.37,$232.45
12/28/2020,$236.71,785210,$236.22,$238.47,$235.19
12/24/2020,$234.39,383082,$233.22,$234.935,$231.63
12/23/2020,$233.12,1209222,$231.92,$234.2,$230.5
12/22/2020,$230.5,808781,$229.76,$232.51,$229.52
12/21/2020,$230.14,891623,$228.24,$231.64,$226.09
12/18/2020,$232.39,2162262,$230.75,$233.03,$228.82
12/17/2020,$230.69,1097124,$230.12,$231.01,$227.99
12/16/2020,$228.7,1081798,$230.19,$230.72,$226.69
12/15/2020,$229.8,1210400,$231.09,$232.065,$227.77
12/14/2020,$229.25,2004873,$236.98,$237.04,$228.9
12/11/2020,$235.25,1161227,$234.89,$237.3,$234.35
12/10/2020,$236.5,1212187,$239,$240.33,$235.855
12/09/2020,$240.86,972000,$238.46,$241.58,$238.04
12/08/2020,$238.67,932549,$237.39,$239.67,$237.015
12/07/2020,$239.06,904280,$239,$240.195,$237.125
12/04/2020,$240.19,906199,$237.69,$240.38,$237.69
12/03/2020,$237.15,1308669,$241.05,$242.23,$236.6
12/02/2020,$239.67,1180050,$237.88,$241,$237.49
12/01/2020,$238.75,1822898,$240.4,$243.37,$238.4
11/30/2020,$237.02,2149114,$241.84,$244.49,$236.78
11/27/2020,$242.72,537180,$242.53,$244.02,$240.715
11/25/2020,$241.46,1340909,$242.55,$242.72,$238.46
11/24/2020,$242.52,1241745,$245.26,$245.93,$241.365
11/23/2020,$242.85,1602415,$243.33,$244.4512,$239.74
11/20/2020,$240.8,810225,$242.15,$243.87,$240.25
