Date,Close/Last,Volume,Open,High,Low
06/29/2021,$134.4,5792314,$135.51,$135.83,$133.82
06/28/2021,$135.32,6065743,$134.9,$136.16,$134.76
06/25/2021,$134.92,24504910,$133.26,$135.54,$132.95
06/24/2021,$133.02,6056719,$132.95,$133.305,$132.7
06/23/2021,$132.93,5796165,$132.95,$133.36,$132.315
06/22/2021,$133.12,6551072,$133.04,$134.02,$132.88
06/21/2021,$133.07,8014793,$132.69,$133.26,$132.4
06/18/2021,$132.03,13997630,$133.34,$133.35,$131.94
06/17/2021,$133.99,7875601,$132.82,$134.155,$132.65
06/16/2021,$132.78,8936432,$135.18,$135.58,$132.65
06/15/2021,$134.65,5543565,$135.2,$135.64,$134.55
06/14/2021,$134.91,6302202,$134.98,$135.03,$133.96
06/11/2021,$134.86,10641370,$135.75,$135.87,$133.9
06/10/2021,$135.79,6515559,$135.02,$136.35,$134.62
06/09/2021,$134.79,6200787,$135.55,$136.4384,$134.74
06/08/2021,$134.84,6911504,$136.68,$136.75,$134.75
06/07/2021,$136.42,8418233,$136.36,$136.84,$135.675
06/04/2021,$135.95,6894439,$135.7,$136.62,$135.4
06/03/2021,$135.85,11249820,$133.23,$135.91,$133.2
06/02/2021,$133.46,8254204,$133,$133.63,$132.52
06/01/2021,$132.88,9993944,$135.79,$136,$132.48
05/28/2021,$134.85,10477730,$135.15,$136.13,$134.64
05/27/2021,$134.98,33095650,$138.12,$138.28,$134.6633
05/26/2021,$138.12,8123078,$138.79,$138.86,$137.87
05/25/2021,$138.43,8142437,$138.05,$138.48,$136.75
05/24/2021,$137.96,6981325,$138,$138.8,$137.73
05/21/2021,$138,10160960,$138.2,$138.94,$137.78
05/20/2021,$138,8768374,$136.79,$138.71,$136.72
05/19/2021,$136.6,9807061,$136.06,$136.83,$135.585
05/18/2021,$136.32,9239099,$136.46,$137.83,$136.15
05/17/2021,$137.73,7689344,$137.97,$139.07,$137.61
05/14/2021,$138.01,5989760,$137.67,$139.1,$137.67
05/13/2021,$137.72,8753803,$135.89,$138.53,$135.39
05/12/2021,$135.54,8853733,$136.49,$137,$135.49
05/11/2021,$136.99,10973730,$138.49,$138.79,$136.47
05/10/2021,$137.67,8852710,$135.89,$138.4156,$135.69
05/07/2021,$135.15,6299182,$135.08,$136.03,$134.765
05/06/2021,$135.14,9771262,$134.01,$135.3659,$133.92
05/05/2021,$133.46,5683444,$134.37,$134.9713,$133.37
05/04/2021,$134.54,9624263,$134.98,$135.83,$134.205
05/03/2021,$135,8070288,$134.03,$135.68,$134.03
04/30/2021,$133.42,9188831,$132.75,$133.67,$132.265
04/29/2021,$132.51,6786955,$131.31,$132.985,$131.31
04/28/2021,$131.4,6262789,$131.71,$131.8497,$130.88
04/27/2021,$131.18,8297033,$131.24,$131.89,$130.295
04/26/2021,$131.26,9910569,$133.49,$133.76,$131.17
04/23/2021,$133.94,6708718,$134.93,$135.08,$133.25
04/22/2021,$134.63,7338314,$135.37,$135.79,$134.06
04/21/2021,$136.85,8465869,$137.89,$138.57,$136.6
04/20/2021,$137.75,10040610,$134.84,$138.59,$133.53
04/19/2021,$136.61,9149433,$136.94,$137.08,$135.39
04/16/2021,$137.25,7708478,$137.61,$137.9,$136.88
04/15/2021,$137.24,7945349,$135.97,$137.76,$135.87
04/14/2021,$135.6,7584034,$135.52,$135.79,$134.58
04/13/2021,$135.11,9161190,$136.02,$136.3899,$134.835
04/12/2021,$136.92,6441042,$136.5,$137.04,$135.71
04/09/2021,$136.37,5855637,$136.51,$137.27,$135.56
04/08/2021,$137.26,6190528,$136.9,$137.6327,$136.59
04/07/2021,$136.74,10244620,$137.12,$137.33,$136.25
04/06/2021,$136.5,6180642,$136,$137.02,$135.64
04/05/2021,$136.45,8279156,$134.96,$137.25,$134.73
04/01/2021,$134.28,9117845,$135.05,$135.48,$133.33
03/31/2021,$135.43,9202839,$135.68,$136.75,$135.26
03/30/2021,$135.45,8090641,$136.61,$137,$135.14
03/29/2021,$137.57,11175980,$135,$137.6,$135
03/26/2021,$135.45,10821240,$133.22,$135.61,$132.48
03/25/2021,$133.48,7517293,$133.09,$133.62,$132.05
03/24/2021,$132.56,8318034,$130.94,$133.14,$130.62
03/23/2021,$132.6,9503792,$130.41,$133.29,$129.99
03/22/2021,$130.18,8077630,$128.01,$130.885,$128.01
03/19/2021,$128.01,20262100,$129.1,$129.74,$127.9
03/18/2021,$128.7,6871342,$128.21,$129.035,$127.04
03/17/2021,$128.42,6192905,$129.11,$129.84,$128.3528
03/16/2021,$128.94,6485164,$128.51,$129.98,$128.51
03/15/2021,$128.56,7172764,$128.39,$129.04,$127.19
03/12/2021,$128.14,6521993,$127.65,$128.82,$127.65
03/11/2021,$126.91,6941802,$127.13,$127.85,$126.72
03/10/2021,$127.34,9070895,$126.15,$128.42,$125.47
03/09/2021,$126.18,8859731,$127.645,$128.915,$126.06
03/08/2021,$127.31,9224659,$125.76,$128.895,$125.32
03/05/2021,$125.98,10491000,$122.76,$126.33,$122.5463
03/04/2021,$122.15,10228120,$123.1,$124.77,$121.54
03/03/2021,$123.16,7536965,$123.77,$124.2,$122.785
03/02/2021,$123.9,10206560,$123.87,$124.86,$123.43
03/01/2021,$124.29,7740158,$124.16,$125.49,$124
02/26/2021,$123.53,17718790,$126.54,$126.93,$121.82
02/25/2021,$126.58,7790808,$127.49,$128.99,$126.29
02/24/2021,$127.66,7263025,$127.35,$128.24,$126.91
02/23/2021,$127.52,10145340,$127.78,$129.93,$127.19
02/22/2021,$126.58,6975470,$126.79,$127.244,$126.38
02/19/2021,$127.12,8277918,$129.35,$129.44,$127.02
02/18/2021,$129.53,6936352,$127.81,$129.845,$127.59
02/17/2021,$128.46,9188548,$127.19,$129.49,$127.11
02/16/2021,$127.92,8246039,$127.97,$128.17,$126.99
02/12/2021,$127.62,8407254,$128,$128.13,$126.58
02/11/2021,$128.33,6139426,$128.54,$129.33,$128.205
02/10/2021,$128.22,8594089,$128.75,$129.16,$127.96
02/09/2021,$128.67,5917783,$129.46,$129.94,$128.23
02/08/2021,$129.17,7011334,$129.93,$130.1,$128.11
02/05/2021,$129.57,5063663,$129.12,$130.0961,$129.03
02/04/2021,$129.03,6613694,$129.38,$129.455,$128.58
02/03/2021,$128.95,7309656,$128.95,$129.195,$127.75
02/02/2021,$128.79,6825630,$129.6,$130.72,$128.69
02/01/2021,$128.97,6534168,$129,$129.6597,$128.2
01/29/2021,$128.21,8344091,$130.19,$130.29,$128.07
