Date,Close/Last,Volume,Open,High,Low
06/29/2021,$218.65,2203258,$219.89,$220.38,$217.95
06/28/2021,$219.13,2133421,$221.25,$221.52,$218.12
06/25/2021,$221.27,4338100,$219,$221.5,$218.29
06/24/2021,$218.47,3485927,$219.55,$219.845,$216.98
06/23/2021,$219.11,2625984,$219.84,$221.4,$218.74
06/22/2021,$218.99,2311123,$216.72,$219.37,$216.03
06/21/2021,$217.51,2962062,$216.03,$218.8548,$215.57
06/18/2021,$214.81,4791604,$216.35,$217.29,$214.505
06/17/2021,$219.07,2963047,$221.92,$222.48,$217.1601
06/16/2021,$222.06,2903538,$223.58,$223.58,$220.38
06/15/2021,$222.84,2030238,$223.47,$223.89,$222.175
06/14/2021,$222.62,1764212,$220.58,$222.75,$220.2
06/11/2021,$221.33,2029956,$220.83,$222.21,$220.69
06/10/2021,$219.59,3077125,$222.33,$223.17,$219.4
06/09/2021,$221.5,2117371,$221.58,$222.52,$220.31
06/08/2021,$221.83,2511608,$222.18,$223.4692,$219.64
06/07/2021,$222.95,1926782,$226.71,$226.71,$222.82
06/04/2021,$226.17,1842465,$226.51,$227.1,$224.5315
06/03/2021,$224.95,2260362,$223.47,$226.81,$222.88
06/02/2021,$224.45,2244591,$224.24,$226.345,$223.69
06/01/2021,$225.03,2133114,$226.35,$227.38,$224.94
05/28/2021,$224.73,1663796,$225.28,$225.81,$224.35
05/27/2021,$223.9,3558933,$223.74,$225.44,$223.12
05/26/2021,$223.85,5997075,$224.36,$224.82,$221.83
05/25/2021,$221.94,2372703,$224.45,$225.39,$221.78
05/24/2021,$223.56,1931186,$222.52,$224.39,$221.91
05/21/2021,$221.52,2463185,$223.01,$224.38,$221.23
05/20/2021,$221.95,2456076,$222.02,$222.93,$220.22
05/19/2021,$222.3,2832346,$220.26,$222.34,$218.02
05/18/2021,$222.44,2937153,$225,$225.23,$221.98
05/17/2021,$224.76,3061658,$226.71,$227.3068,$224.09
05/14/2021,$227.86,1631755,$226.76,$229.37,$225.83
05/13/2021,$225.18,1915087,$222,$226.68,$222
05/12/2021,$222,2413170,$225.53,$226.34,$221.9
05/11/2021,$226.61,2085260,$226.81,$227.81,$223.86
05/10/2021,$228.44,1827220,$230.13,$231.26,$228.24
05/07/2021,$229.48,2073712,$227.73,$229.97,$226.01
05/06/2021,$227.21,1852159,$224.48,$227.35,$224.11
05/05/2021,$223.56,1796497,$226.4,$226.94,$223.3
05/04/2021,$225.67,2781620,$223.17,$225.91,$222.63
05/03/2021,$223.74,2771441,$224.01,$225.66,$223.21
04/30/2021,$222.09,3674703,$223.65,$224.35,$220.26
04/29/2021,$224.48,2239688,$227.59,$227.62,$223.41
04/28/2021,$226.19,2172903,$225.68,$228.32,$225.52
04/27/2021,$225.73,2239646,$225.7,$226.795,$223.95
04/26/2021,$224.59,2767585,$223.98,$226.96,$223.77
04/23/2021,$223.54,2975652,$219.52,$223.94,$218.57
04/22/2021,$217.98,4831739,$218.97,$221.1118,$216.06
04/21/2021,$223.43,3470155,$220.08,$226.21,$219.69
04/20/2021,$220.67,2766275,$222.77,$225.34,$220.14
04/19/2021,$223.47,1911154,$223.23,$223.51,$221.45
04/16/2021,$222.71,2539879,$224.91,$225.78,$222.14
04/15/2021,$223.1,2008771,$223.39,$224.5,$222.37
04/14/2021,$222.6,1515563,$222.48,$223.4,$221.55
04/13/2021,$221.99,1799251,$222.98,$223.39,$220.2
04/12/2021,$223.55,2286544,$222.56,$225.28,$222.51
04/09/2021,$223.24,2383736,$220.69,$223.36,$220.47
04/08/2021,$220.18,1983982,$221.08,$221.58,$220.08
04/07/2021,$221.34,1634408,$220.9,$221.94,$219.97
04/06/2021,$221.1,1590798,$223.97,$224.09,$220.8
04/05/2021,$223.47,1958370,$222.24,$224.62,$222.07
04/01/2021,$220.21,2551292,$220.88,$221.79,$219.02
03/31/2021,$220.41,3246647,$221.12,$222.57,$219.175
03/30/2021,$221.13,2601848,$221.26,$223.42,$220.54
03/29/2021,$222.98,2279848,$222.8,$223.95,$220.24
03/26/2021,$222.92,3653835,$217.16,$223.21,$216.75
03/25/2021,$216.09,2689285,$212.53,$216.53,$211.82
03/24/2021,$212.9,3245118,$208,$215.8,$208
03/23/2021,$208.05,3661653,$207.26,$210.528,$206.5
03/22/2021,$206.27,5863499,$210.08,$211,$204.78
03/19/2021,$210.8,7005198,$215.43,$215.53,$209.21
03/18/2021,$215.36,2866740,$211.44,$217.71,$211.44
03/17/2021,$212.3,2795178,$211.43,$214.2299,$209.8243
03/16/2021,$211.7,2786137,$213.12,$213.17,$208.91
03/15/2021,$212.67,2881157,$214.25,$214.89,$209.96
03/12/2021,$214.09,2321110,$215.86,$217.5,$213.92
03/11/2021,$214.52,2573693,$214.82,$216.54,$213.17
03/10/2021,$213.12,2764782,$212.5,$215.175,$211.38
03/09/2021,$211.7,2814546,$212.05,$214.9653,$211.23
03/08/2021,$210.89,3068507,$210.57,$215.68,$210.17
03/05/2021,$209.71,3187261,$203,$210.15,$200.64
03/04/2021,$201.08,3208762,$205.98,$206.695,$198.59
