Date,Close/Last,Volume,Open,High,Low
06/29/2021,$47.4,2742549,$48.35,$48.71,$47.18
06/28/2021,$47.96,2961655,$48.83,$48.96,$47.59
06/25/2021,$49.02,3276310,$48.47,$49.23,$48.3
06/24/2021,$48.21,2818003,$47.8,$48.44,$47.57
06/23/2021,$47.73,2896405,$47.56,$48.06,$47.44
06/22/2021,$47.55,3181448,$47.73,$47.84,$47.0201
06/21/2021,$47.75,7422814,$47.26,$47.76,$47.23
06/18/2021,$46.85,10722200,$47.85,$48.08,$46.83
06/17/2021,$48.77,5797507,$51.87,$51.92,$48.71
06/16/2021,$51.68,4259449,$51.36,$51.975,$50.845
06/15/2021,$51.53,3705254,$51.15,$51.91,$50.99
06/14/2021,$51.1,3130891,$51.56,$51.89,$50.85
06/11/2021,$52.02,3521806,$51.83,$52.15,$51.7
06/10/2021,$51.57,2213471,$52.91,$53.1,$51.52
06/09/2021,$52.16,2947107,$52.8,$52.88,$52.135
06/08/2021,$53.23,2227501,$52.67,$53.38,$52.29
06/07/2021,$53.07,2460674,$53.46,$53.5293,$52.865
06/04/2021,$53.42,2851746,$53.49,$53.49,$52.83
06/03/2021,$53.54,4029971,$52.95,$53.68,$52.74
06/02/2021,$53.04,4146693,$53.97,$54.08,$53.02
06/01/2021,$53.55,5278270,$53.33,$53.83,$53.115
05/28/2021,$52.84,3116295,$52.82,$52.93,$51.94
05/27/2021,$52.71,6287715,$52.02,$52.8,$51.82
05/26/2021,$51.37,2516510,$51.27,$51.515,$50.72
05/25/2021,$50.8,3569632,$51.99,$52.54,$50.69
05/24/2021,$51.88,2600721,$51.5,$51.99,$51.3
05/21/2021,$51.31,4198760,$50.75,$51.69,$50.75
05/20/2021,$50.53,3123523,$50.7,$50.92,$50.03
05/19/2021,$50.67,4145486,$50.47,$50.7616,$49.55
05/18/2021,$51.11,3856373,$51.42,$51.71,$51.08
05/17/2021,$51.57,3247900,$51.75,$51.9,$51.06
05/14/2021,$51.9,4844791,$51,$51.9,$50.8506
05/13/2021,$50.85,5064367,$49.71,$51.255,$49.71
05/12/2021,$50.08,5970566,$51.01,$51.04,$49.92
05/11/2021,$50.38,4646563,$51.72,$51.86,$49.92
05/10/2021,$51.92,6870071,$51.32,$52.7,$51.3
05/07/2021,$51.19,5582252,$50.17,$51.5,$49.69
05/06/2021,$50.17,5557777,$49,$50.35,$48.67
05/05/2021,$48.87,7013697,$48.46,$49.08,$48.07
05/04/2021,$48.4,6640924,$48.9,$49.3,$48.39
05/03/2021,$49.05,2585587,$48.98,$49.46,$48.65
04/30/2021,$48.45,3201185,$48.66,$49.09,$48.305
04/29/2021,$48.94,3800582,$48.75,$49.42,$48.57
04/28/2021,$48.21,2703439,$48.47,$48.725,$48.03
04/27/2021,$48.44,3580356,$47.38,$48.515,$47.38
04/26/2021,$47.53,3203514,$47.67,$48.55,$47.45
04/23/2021,$47.34,3242131,$46.62,$47.5499,$46.35
04/22/2021,$46.46,4388467,$46.68,$47.2,$46.29
04/21/2021,$46.76,3682675,$45.39,$46.8,$45.19
04/20/2021,$45.53,4261954,$46.47,$46.65,$45.23
04/19/2021,$46.73,2809233,$47.14,$47.28,$46.39
04/16/2021,$47.1,4369094,$47.11,$47.69,$46.855
04/15/2021,$46.66,4451862,$47.48,$47.48,$46.425
04/14/2021,$47.49,3391139,$46.6,$47.81,$46.6
04/13/2021,$46.69,2958141,$46.72,$47.09,$46.25
04/12/2021,$47.16,3095347,$46.7,$47.225,$46.605
04/09/2021,$46.6,3141601,$46.45,$46.65,$46.04
04/08/2021,$46.06,3474887,$46.5,$46.55,$45.7938
04/07/2021,$47.08,2719652,$46.68,$47.1,$46.47
04/06/2021,$46.66,3753055,$46.7,$47.04,$46.24
04/05/2021,$46.75,3437736,$46.95,$47.16,$46.5
04/01/2021,$46.38,3547723,$45.99,$46.425,$45.882
03/31/2021,$46.21,4318663,$46.93,$47.38,$46.19
03/30/2021,$47.34,3525263,$46.97,$47.565,$46.6
03/29/2021,$46.58,4409438,$46.13,$47.06,$45.93
03/26/2021,$46.82,3801816,$47.04,$47.3,$46.205
03/25/2021,$46.5,4707256,$45.06,$46.6,$44.54
03/24/2021,$44.99,3813467,$45.6,$46.15,$44.95
03/23/2021,$44.98,3497802,$45.72,$46.19,$44.8
03/22/2021,$46.23,4906970,$46.56,$46.65,$45.82
03/19/2021,$46.83,7285657,$47.49,$47.618,$46.56
03/18/2021,$47.82,5577588,$48.08,$49,$47.74
03/17/2021,$47.67,5361361,$47.63,$48.03,$47.15
03/16/2021,$47.33,4247349,$47.94,$48.01,$46.88
03/15/2021,$48.34,2994026,$48.07,$48.4,$47.515
03/12/2021,$48.44,3069732,$48.84,$48.92,$48.29
03/11/2021,$48.01,4514636,$47.66,$48.375,$47.5
03/10/2021,$47.85,3822617,$46.97,$48.01,$46.7
03/09/2021,$46.62,5638356,$46.57,$47.24,$45.81
03/08/2021,$47.24,5921205,$47.61,$48.22,$47.14
03/05/2021,$46.97,5327804,$46.94,$47.27,$45.9
03/04/2021,$46.27,4876381,$47.18,$47.58,$44.98
03/03/2021,$47.01,5633184,$46.05,$47.675,$46.05
03/02/2021,$45.96,4611068,$45.26,$46.28,$45.22
03/01/2021,$45.31,7865329,$44.9,$48,$44.76
02/26/2021,$43.95,6181111,$45,$45.25,$43.63
02/25/2021,$43.95,5388391,$45.97,$46.13,$43.88
02/24/2021,$45.43,4552849,$44.51,$45.96,$44.46
02/23/2021,$44.37,5021630,$44.74,$44.74,$43.84
02/22/2021,$44.1,6263491,$42.5,$44.35,$42.46
02/19/2021,$42.58,3664416,$42.5,$42.815,$42.075
02/18/2021,$42.11,4032567,$42.46,$43,$41.485
02/17/2021,$43.27,5009814,$41.28,$43.36,$41.17
02/16/2021,$42.15,4937302,$41.74,$42.63,$41.51
02/12/2021,$41.4,4154929,$41.46,$42.19,$41.19
02/11/2021,$41.6,3445649,$42.33,$42.53,$41.29
02/10/2021,$42.43,3705301,$42.35,$42.77,$41.96
02/09/2021,$42.14,3464705,$42.12,$42.51,$41.75
02/08/2021,$42.29,3899619,$41.65,$42.32,$41.47
02/05/2021,$41.68,3968178,$41.82,$41.9316,$41.18
02/04/2021,$41.34,5088092,$39.19,$41.35,$38.945
02/03/2021,$38.95,4680787,$38.53,$39.35,$38.48
02/02/2021,$38.57,4878504,$38.09,$38.995,$37.85
02/01/2021,$37.42,3649546,$37.73,$37.91,$36.865
01/29/2021,$37.44,5291006,$38.11,$38.11,$36.8
01/28/2021,$38.48,5048376,$38.06,$38.93,$37.93
01/27/2021,$37.6,5772036,$38.57,$38.735,$37.095
01/26/2021,$39.11,3741388,$39.87,$39.94,$39.01
01/25/2021,$39.58,4084306,$39.53,$39.8,$38.985
01/22/2021,$40.08,4752334,$40.53,$40.93,$39.955
01/21/2021,$41.05,5608281,$41.95,$42.14,$41.045
01/20/2021,$42.08,6421338,$42.23,$42.57,$42
01/19/2021,$42.25,5159437,$41.58,$42.42,$41.52
01/15/2021,$41.35,7124391,$40.88,$41.51,$40.53
