Date,Close/Last,Volume,Open,High,Low
06/29/2021,$154.15,2151085,$157.37,$158.32,$153.82
06/28/2021,$156,2693097,$159.41,$160.01,$155.295
06/25/2021,$159.99,4238375,$160.54,$162,$159.79
06/24/2021,$157.57,2077679,$157.59,$158.17,$155.4
06/23/2021,$156.37,2032263,$155.61,$157.61,$155.04
06/22/2021,$154.89,2363883,$154.3,$155.91,$152.85
06/21/2021,$154.89,2874967,$151.55,$154.99,$151.22
06/18/2021,$150.02,8383912,$149.6,$150.44,$147.52
06/17/2021,$153.55,4308524,$163.47,$163.59,$151.43
06/16/2021,$162.2,3140857,$161.44,$163.31,$159.79
06/15/2021,$162.11,2789526,$159.38,$162.7,$158.72
06/14/2021,$158.71,3372876,$160.4,$160.8,$157.17
06/11/2021,$160.65,3826811,$159.2,$160.69,$159.1
06/10/2021,$158.74,3710653,$162.99,$163.86,$158.6
06/09/2021,$160.6,3284502,$162.6,$162.615,$159.3
06/08/2021,$162.73,3513600,$162.7,$163.84,$161.04
06/07/2021,$163.55,3223914,$163.5,$165.31,$162.59
06/04/2021,$166.26,2886628,$167.07,$168,$165.03
06/03/2021,$166.29,2513709,$165.06,$167.34,$164.31
06/02/2021,$165.92,3099481,$167,$167.4,$164.965
06/01/2021,$166.25,4188041,$165.27,$166.625,$163.74
05/28/2021,$160.78,3365804,$161.83,$162.24,$159.22
05/27/2021,$161.79,3488705,$161.85,$162.75,$160.34
05/26/2021,$159.84,3143592,$159.32,$160.5,$157.98
05/25/2021,$158.22,2670448,$161.47,$162.48,$158.13
05/24/2021,$160.74,2087707,$159.99,$161.68,$159.34
05/21/2021,$159.05,3551974,$158.59,$162.33,$158.3943
05/20/2021,$157.81,2893447,$157.64,$159.01,$155.6375
05/19/2021,$157.15,3298149,$154.12,$157.34,$152.86
05/18/2021,$156.91,2247776,$159.285,$160.85,$156.83
05/17/2021,$159.9,2229512,$158.03,$160.48,$157.57
05/14/2021,$158.11,2855769,$156.98,$159.26,$156.815
05/13/2021,$156.29,2953590,$152.24,$157.21,$152
05/12/2021,$152.97,3298067,$155.9,$156.7757,$152.3
05/11/2021,$154.76,4332075,$154.81,$156.93,$153.26
05/10/2021,$157.38,3298351,$159.14,$160.365,$157.3
05/07/2021,$157.71,2480930,$153.68,$157.98,$153.23
05/06/2021,$156.44,3664265,$155,$156.51,$152.51
05/05/2021,$153.6,2027647,$152.82,$154.47,$151.45
05/04/2021,$152.02,4227293,$148.89,$152.38,$147.8
05/03/2021,$149.92,2636469,$151.07,$151.84,$148.53
04/30/2021,$149.08,3817339,$148.13,$150.01,$147.775
04/29/2021,$149.23,3349505,$146.01,$149.67,$145.71
04/28/2021,$144.36,4601830,$143,$147.04,$142
04/27/2021,$138.95,3486680,$138.61,$139.54,$138.04
04/26/2021,$138.29,2169588,$137,$139.935,$136.81
04/23/2021,$135.68,2531263,$132.59,$136.23,$131.38
04/22/2021,$133,2305256,$133.55,$134.735,$132.23
