Date,Close/Last,Volume,Open,High,Low
06/29/2021,$22.67,6486332,$22.87,$23.26,$22.65
06/28/2021,$22.71,8073815,$23.82,$23.84,$22.635
06/25/2021,$23.94,7052420,$23.835,$24.09,$23.81
06/24/2021,$23.8,7406103,$23.66,$23.89,$23.305
06/23/2021,$23.51,8914366,$23.82,$24.4,$23.5
06/22/2021,$23.49,5495593,$23.2,$23.59,$22.92
06/21/2021,$23.35,9359951,$22.26,$23.49,$22.22
06/18/2021,$21.99,11542170,$22.22,$22.5,$21.92
06/17/2021,$22.72,12237910,$24.07,$24.32,$22.25
06/16/2021,$24.1,8582489,$24.03,$24.44,$23.692
06/15/2021,$24.19,10108140,$23.5,$24.33,$23.5
06/14/2021,$23.6,5402392,$24.17,$24.36,$23.44
06/11/2021,$24.03,4832152,$24.11,$24.305,$23.87
06/10/2021,$23.91,5863612,$24.53,$24.7,$23.66
06/09/2021,$24.26,5067920,$24.5,$24.645,$24.19
06/08/2021,$24.41,6459317,$24.11,$24.52,$23.78
06/07/2021,$24.3,5643612,$24.675,$24.96,$24.18
06/04/2021,$24.72,10380280,$24.83,$25,$24.27
06/03/2021,$24.7,12619770,$24.32,$25,$24.14
06/02/2021,$24.35,14759360,$23.6,$24.67,$23.18
06/01/2021,$23.34,7880718,$23,$23.515,$22.96
05/28/2021,$22.45,4709587,$22.71,$22.73,$22.29
05/27/2021,$22.52,7733097,$22.38,$22.825,$22.38
05/26/2021,$22.28,6775978,$21.94,$22.515,$21.91
05/25/2021,$21.94,7403813,$22.43,$22.65,$21.905
05/24/2021,$22.51,4422484,$22.59,$22.67,$22.19
05/21/2021,$22.46,6088671,$22.67,$22.8181,$22.33
05/20/2021,$22.38,8067995,$22.46,$22.57,$21.9
05/19/2021,$22.54,9944532,$22.7,$22.855,$22.19
05/18/2021,$23.29,8574199,$23.78,$23.975,$23.28
05/17/2021,$23.78,8381173,$22.89,$23.82,$22.755
05/14/2021,$23.06,7658978,$22.66,$23.255,$22.65
05/13/2021,$22.37,8775628,$22.31,$22.81,$21.79
05/12/2021,$22.63,11139700,$22.63,$23.51,$22.5
05/11/2021,$22.61,9101644,$22.19,$22.89,$22.04
05/10/2021,$22.74,9825799,$23.12,$23.62,$22.73
05/07/2021,$22.95,12249370,$21.72,$22.99,$21.6717
05/06/2021,$22.17,10781360,$21.9,$22.18,$21.305
05/05/2021,$22,8224892,$21.25,$22.01,$21.058
05/04/2021,$20.96,9996159,$20.77,$21.095,$20.425
05/03/2021,$20.66,9550542,$20.13,$20.79,$19.96
04/30/2021,$19.56,8428268,$20.06,$20.39,$19.51
04/29/2021,$20.36,9489077,$20.39,$20.61,$19.9
04/28/2021,$20.14,9161589,$19.5,$20.24,$19.43
04/27/2021,$19.32,9372463,$19.4,$19.52,$18.64
04/26/2021,$19.43,9396598,$19.04,$19.68,$19.03
04/23/2021,$19.06,12330440,$19.27,$19.36,$18.89
04/22/2021,$19.22,11119110,$19.27,$19.53,$18.91
04/21/2021,$19.1,19098930,$18.51,$19.44,$18.35
04/20/2021,$19.81,10589350,$20.5,$20.6,$19.58
04/19/2021,$20.67,6721143,$20.62,$21.05,$20.58
04/16/2021,$20.69,8430551,$21.26,$21.35,$20.545
04/15/2021,$21.08,6516579,$21.84,$21.86,$20.95
04/14/2021,$21.66,9667028,$20.98,$21.985,$20.91
04/13/2021,$20.68,5474801,$20.98,$21.05,$20.54
04/12/2021,$21.02,4839823,$21.28,$21.4953,$20.8
04/09/2021,$21.07,4708192,$21.4,$21.62,$20.93
04/08/2021,$21.35,7057683,$21.14,$21.49,$20.6715
04/07/2021,$21.42,5875531,$21.35,$21.6,$21.135
04/06/2021,$21.26,7135938,$21.48,$22,$21.23
04/05/2021,$21.32,7572727,$21.92,$21.95,$21.11
04/01/2021,$21.92,7419020,$21.66,$21.95,$21.255
03/31/2021,$21.46,6526774,$21.58,$21.795,$21.28
03/30/2021,$21.5,7878549,$21,$21.68,$20.96
03/29/2021,$21.24,6864150,$21.55,$21.58,$20.88
03/26/2021,$21.79,9763513,$21.71,$21.81,$21.23
03/25/2021,$21.2,11137270,$20.71,$21.255,$20.03
03/24/2021,$21.3,9751828,$21.29,$21.725,$21.155
03/23/2021,$20.81,11882490,$21,$21.445,$20.57
03/22/2021,$21.54,11003910,$21.75,$21.82,$21.28
03/19/2021,$21.79,23241140,$22.03,$22.42,$21.7101
03/18/2021,$22.17,11327090,$23.13,$23.4,$22.04
03/17/2021,$23.35,11645320,$22.61,$23.43,$22.56
03/16/2021,$22.87,11014050,$23.53,$23.53,$22.63
03/15/2021,$23.97,8136447,$24.09,$24.43,$23.665
03/12/2021,$24.02,7245346,$23.85,$24.255,$23.675
03/11/2021,$23.84,9177849,$24.17,$24.695,$23.79
03/10/2021,$24.14,8827056,$23.42,$24.275,$23.32
03/09/2021,$23.47,11555610,$24.07,$24.33,$23.45
03/08/2021,$24.36,14469610,$23.95,$24.74,$23.75
03/05/2021,$23.84,16439020,$22.85,$23.9,$22.045
03/04/2021,$22.08,17516130,$22.49,$22.99,$21.08
03/03/2021,$22.28,12317140,$22.5,$22.89,$22.16
03/02/2021,$22.28,9704588,$22.87,$23.43,$22.26
03/01/2021,$23.01,12628570,$22.33,$23.03,$22.16
02/26/2021,$21.83,12612820,$21.82,$22.13,$20.87
02/25/2021,$22.03,13896160,$22.55,$22.73,$21.72
02/24/2021,$22.27,14926450,$21.06,$22.545,$20.93
02/23/2021,$20.94,10620140,$21.26,$21.33,$19.77
02/22/2021,$21.13,12612290,$20.2,$21.712,$19.4
02/19/2021,$20.2,7533359,$19.57,$20.3,$19.5
02/18/2021,$19.57,11382410,$20.34,$20.37,$19.385
02/17/2021,$20.55,9253120,$20.9,$20.95,$20.01
02/16/2021,$20.6,10700650,$20.59,$20.9,$20.355
02/12/2021,$20.17,9487850,$19.26,$20.27,$19.15
02/11/2021,$19.43,9644296,$20.06,$20.07,$19.03
02/10/2021,$20.26,9761013,$19.92,$20.31,$19.59
02/09/2021,$19.79,14852710,$19.82,$20.09,$19.2901
02/08/2021,$20.04,9163435,$19.26,$20.105,$19.15
02/05/2021,$18.98,12027510,$19.55,$19.67,$18.96
02/04/2021,$19.11,8435493,$18.98,$19.14,$18.54
02/03/2021,$18.81,9751508,$18.15,$18.835,$18.1
02/02/2021,$18.02,8862827,$18.49,$18.63,$18.02
02/01/2021,$17.86,8551823,$18.02,$18.185,$17.57
01/29/2021,$17.63,11373160,$18.12,$18.31,$17.51
01/28/2021,$18.27,11646770,$17.5,$18.5,$17.5
01/27/2021,$17.28,16088450,$17.72,$18.23,$17.23
01/26/2021,$18.2,9965627,$18.88,$19.12,$18.195
01/25/2021,$18.63,12581770,$18.99,$19.14,$18.24
01/22/2021,$19.24,14149590,$18.9,$19.29,$18.455
01/21/2021,$19.41,12081860,$19.97,$20.39,$19.23
01/20/2021,$20.08,13376050,$21.39,$21.39,$19.81
01/19/2021,$20.54,16808940,$21.11,$21.35,$20.3
01/15/2021,$20.74,12252400,$21.29,$21.45,$20.44
01/14/2021,$21.76,10215380,$21.63,$22.19,$21.56
01/13/2021,$21.57,10586580,$21.97,$21.99,$21.39
01/12/2021,$22.13,15816250,$20.89,$22.23,$20.67
