Date,Close/Last,Volume,Open,High,Low
06/29/2021,$368,3394538,$369.01,$371.39,$367.91
06/28/2021,$367.68,4800274,$380.92,$380.92,$365.12
06/25/2021,$379.61,3983881,$375.45,$379.65,$373.325
06/24/2021,$374.75,2788325,$379,$380.06,$372.9
06/23/2021,$375.14,2241911,$378,$378.7159,$374.29
06/22/2021,$378.04,3582650,$373.99,$378.76,$372.02
06/21/2021,$373.09,3094644,$368.62,$376.45,$366.2
06/18/2021,$367.42,5009378,$362.12,$370.375,$362
06/17/2021,$367.29,3824917,$363.5,$369.15,$361.23
06/16/2021,$363.82,3081046,$369.38,$369.38,$361.3
06/15/2021,$368.12,3562471,$367.336,$368.75,$362.74
06/14/2021,$366.52,2515618,$366,$366.63,$362.095
06/11/2021,$365.5,2708482,$365.54,$366.85,$363.8
06/10/2021,$364.3,2460441,$364.69,$365.64,$361.96
06/09/2021,$363.33,2521216,$366.94,$369.32,$363.33
06/08/2021,$365.26,3224152,$365,$367.68,$363.23
06/07/2021,$364.08,2133427,$367.8,$371.35,$363.28
06/04/2021,$366.02,2295380,$364.31,$366.63,$363.7
06/03/2021,$361.82,2606231,$363.36,$366.69,$361.731
06/02/2021,$366.85,3531164,$363.53,$371.17,$362.88
06/01/2021,$359.79,3119928,$364.48,$365.4,$359.54
05/28/2021,$360.58,3625914,$363.5,$365.41,$360.415
05/27/2021,$362,5416264,$364.55,$366.395,$360.54
05/26/2021,$362.65,3101919,$369,$369.905,$362.05
05/25/2021,$367.22,3916510,$373.13,$373.75,$366.82
05/24/2021,$372.38,2351777,$370.08,$373.7446,$369.64
05/21/2021,$367.6,2708772,$369.14,$372.53,$367.46
05/20/2021,$367.7,4087452,$362.94,$369.41,$362.49
05/19/2021,$360.98,3578231,$357.33,$361.15,$355.37
05/18/2021,$363.07,3421210,$367,$369.84,$362.88
05/17/2021,$363.3,2511536,$362.3,$364.06,$358.06
05/14/2021,$363.91,2959734,$363.03,$364.7137,$361.4944
05/13/2021,$360.02,2626369,$359.33,$362.84,$357.92
05/12/2021,$356.62,3293468,$364.75,$365.38,$355.64
05/11/2021,$367.61,3073389,$361.01,$368.93,$359.27
05/10/2021,$366.34,3193732,$375.79,$376,$365.41
05/07/2021,$375.4,2936035,$377.26,$378.64,$373.56
05/06/2021,$375.48,3787276,$371.14,$375.73,$365.7
05/05/2021,$369.14,2342039,$377.93,$379.64,$368.03
05/04/2021,$375.91,3321356,$377.07,$378.21,$371.58
05/03/2021,$379.4,3344081,$385.47,$386.865,$376.85
04/30/2021,$382.06,4043225,$382.86,$385,$375.61
04/29/2021,$388.95,4637096,$391.5,$392.39,$383.805
04/28/2021,$395.65,4065306,$390.7,$401.5,$390.7
04/27/2021,$389.07,2270000,$388.22,$390.43,$386.14
04/26/2021,$387.47,2255026,$387.83,$392.94,$387.1
04/23/2021,$387.06,2295300,$384.35,$389.88,$383.46
04/22/2021,$383.36,3713712,$383.08,$389.5,$381.99
04/21/2021,$383.1,2466385,$378.59,$384.1,$376.67
04/20/2021,$376.63,3135947,$380.19,$381.31,$373.56
04/19/2021,$382.16,3361053,$384.9,$387.743,$381.32
04/16/2021,$386.17,2725766,$389,$389.1,$383.67
04/15/2021,$386.49,2942155,$381.17,$387.37,$380.97
04/14/2021,$378.32,2317388,$377,$380.95,$375.6044
04/13/2021,$378.13,2652779,$379.06,$380.1,$376.8001
04/12/2021,$379.84,2896632,$378.08,$380.94,$376.18
04/09/2021,$380.08,2429302,$376.08,$380.35,$374.44
04/08/2021,$377.74,3528391,$373,$379.31,$372.75
04/07/2021,$371.08,2958447,$369.14,$373.96,$369
04/06/2021,$369.57,2662240,$364.9,$370.75,$362.5
04/05/2021,$368.32,2180282,$366.8,$370.52,$364.34
04/01/2021,$363.3,3701843,$357.04,$363.4,$355.24
03/31/2021,$356.05,4372765,$359.59,$361.5,$355.78
03/30/2021,$358.2,2885757,$360.78,$364.57,$357.1
03/29/2021,$362.91,4055044,$364.24,$365.35,$358.61
03/26/2021,$366.14,2741425,$359.93,$366.61,$357.26
03/25/2021,$358.36,2961996,$358.01,$359.47,$354.15
03/24/2021,$359.65,3549982,$357.08,$364.99,$356
03/23/2021,$355.27,3756440,$359.3,$359.3,$353.5106
03/22/2021,$358.4,4140708,$355.94,$361.65,$354
03/19/2021,$356.51,12224320,$364.8,$366.28,$350.1401
03/18/2021,$367,7205724,$375.03,$375.475,$365.04
03/17/2021,$378.68,3240916,$381.85,$385.1,$375.87
03/16/2021,$382.38,3445088,$382.7,$385.28,$378.685
03/15/2021,$381.76,4216398,$383.31,$387.86,$378.64
03/12/2021,$382.71,2467524,$381.14,$383.9332,$379.235
03/11/2021,$384.38,3729655,$385.5,$389.5,$382.6
03/10/2021,$381.7,4509457,$376.6,$384,$373
